#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.33993     1.45395   0.0147561
         148     1.32364     1.45307   0.0146826
         149     1.30147     1.45205   0.0146193
         150     1.28596     1.45095   0.0145637
         151     1.28686     1.44986   0.0145077
         152     1.30801     1.44893   0.0144422
         153     1.32172     1.44809   0.0143718
         154     1.33018     1.44733   0.0142988
         155     1.34496     1.44667   0.0142218
         156     1.30576     1.44576   0.0141593
         157     1.29312     1.44479   0.0141025
         158     1.31442     1.44397   0.0140373
         159     1.31099     1.44313   0.0139739
         160     1.28739     1.44216   0.0139205
         161     1.29024     1.44121   0.0138659
         162     1.28652     1.44026   0.0138132
         163     1.27679     1.43926   0.0137648
         164     1.27065     1.43823   0.0137192
         165      1.2883     1.43732   0.0136661
         166     1.29381     1.43645   0.0136111
         167     1.30381     1.43566   0.0135528
         168     1.30158     1.43486   0.0134956
         169     1.30538      1.4341   0.0134374
         170     1.31744     1.43341   0.0133759
         171     1.33059     1.43281   0.0133112
         172     1.34405     1.43229   0.0132438
         173     1.36757     1.43192   0.0131725
         174     1.35126     1.43145    0.013105
         175     1.33047     1.43088   0.0130428
         176      1.3022     1.43015   0.0129892
         177     1.29745      1.4294   0.0129374
         178     1.30041     1.42867    0.012885
         179     1.30512     1.42798   0.0128315
         180     1.33004     1.42744   0.0127717
         181     1.32022     1.42685   0.0127149
         182     1.32436     1.42628   0.0126575
         183      1.3399     1.42581   0.0125971
         184     1.34778     1.42539   0.0125358
         185     1.35614     1.42501   0.0124736
         186     1.34708     1.42459   0.0124136
         187     1.33383     1.42411   0.0123567
         188     1.32917      1.4236   0.0123013
         189     1.32723     1.42309   0.0122468
         190     1.31777     1.42254   0.0121949
         191     1.29802     1.42189   0.0121484
         192     1.30729     1.42129   0.0120998
         193      1.3199     1.42076   0.0120485
         194     1.29367     1.42011   0.0120042
         195     1.29552     1.41947   0.0119596
         196     1.29705     1.41885   0.0119149
         197     1.30734     1.41828   0.0118679
         198     1.31714     1.41777   0.0118189
         199     1.36037     1.41748    0.011763
         200     1.37356     1.41726   0.0117063
         201     1.35479     1.41695   0.0116522
         202     1.33628     1.41655   0.0116013
         203     1.30991     1.41603   0.0115561
         204     1.30707     1.41549   0.0115117
         205     1.33896     1.41512   0.0114616
         206     1.34055     1.41476   0.0114117
         207     1.33327     1.41436   0.0113634
         208     1.30671     1.41384   0.0113205
         209     1.31113     1.41335    0.011277
         210     1.30657     1.41284   0.0112348
         211     1.31249     1.41237   0.0111916
         212     1.32288     1.41195   0.0111468
         213     1.32013     1.41152   0.0111028
         214     1.35192     1.41124   0.0110544
         215     1.35529     1.41098    0.011006
         216     1.36194     1.41075   0.0109574
         217     1.35869     1.41051   0.0109095
         218     1.33492     1.41016    0.010865
         219     1.33692     1.40983   0.0108205
         220     1.30455     1.40935   0.0107819
         221     1.28912     1.40881   0.0107469
         222     1.28765     1.40826   0.0107123
         223     1.29408     1.40775   0.0106765
         224     1.30761      1.4073   0.0106382
         225     1.31541     1.40689   0.0105987
         226     1.31179     1.40647   0.0105602
         227     1.31608     1.40607   0.0105212
         228     1.28135     1.40553   0.0104892
         229     1.26985     1.40493   0.0104602
         230     1.25876      1.4043    0.010434
         231     1.25644     1.40366   0.0104084
         232     1.26665     1.40307   0.0103803
