#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.31267     1.39399   0.0110207
         148     1.28394     1.39324   0.0109713
         149     1.26274     1.39237   0.0109325
         150     1.26237      1.3915    0.010894
         151     1.26559     1.39067   0.0108537
         152     1.29122     1.39001    0.010802
         153     1.28497     1.38933   0.0107532
         154     1.28693     1.38866   0.0107039
         155     1.26887     1.38789   0.0106627
         156     1.28525     1.38723   0.0106146
         157     1.30442      1.3867   0.0105601
         158     1.31027     1.38622   0.0105043
         159     1.31648     1.38578   0.0104474
         160     1.32413     1.38539   0.0103892
         161     1.31027     1.38493   0.0103352
         162     1.31671     1.38451     0.01028
         163     1.30035     1.38399   0.0102298
         164     1.29894     1.38347   0.0101806
         165     1.29132     1.38291   0.0101342
         166     1.32303     1.38255   0.0100796
         167     1.34958     1.38236   0.0100212
         168     1.34262     1.38212   0.0099643
         169     1.31704     1.38173  0.00991278
         170     1.30275     1.38127  0.00986535
         171     1.32481     1.38094  0.00981318
         172     1.34342     1.38072  0.00975855
         173     1.33388     1.38045   0.0097059
         174      1.3338     1.38018  0.00965382
         175     1.34069     1.37996  0.00960129
         176     1.30453     1.37953   0.0095563
         177     1.30207     1.37909  0.00951233
         178     1.32093     1.37876   0.0094645
         179     1.32807     1.37848  0.00941586
         180     1.32417     1.37818  0.00936838
         181     1.32102     1.37786  0.00932194
         182     1.33108     1.37761  0.00927427
         183     1.33364     1.37737   0.0092267
         184     1.32216     1.37707  0.00918143
         185     1.31104     1.37671  0.00913873
         186     1.32508     1.37643  0.00909382
         187     1.33817     1.37623  0.00904749
         188     1.33222     1.37599  0.00900239
         189     1.33489     1.37577  0.00895738
         190     1.36659     1.37573  0.00891037
         191     1.37346     1.37571  0.00886373
         192     1.38977     1.37579  0.00881786
         193     1.38967     1.37586  0.00877247
         194     1.39951     1.37598   0.0087281
         195      1.3535     1.37587   0.0086841
         196     1.33361     1.37565  0.00864247
         197     1.32526     1.37539  0.00860238
         198     1.32247     1.37513  0.00856309
         199     1.32031     1.37485  0.00852449
         200     1.31887     1.37457  0.00848646
         201     1.30137     1.37421  0.00845205
         202     1.29871     1.37383  0.00841847
         203     1.30902     1.37352  0.00838305
         204     1.31227     1.37321  0.00834733
         205     1.32983       1.373  0.00830929
         206     1.32587     1.37277  0.00827211
         207      1.3232     1.37253  0.00823561
         208     1.33104     1.37234  0.00819843
         209     1.34732     1.37222  0.00816008
         210     1.38619     1.37228  0.00812149
         211     1.40379     1.37243  0.00808437
         212     1.42581     1.37268  0.00805016
         213     1.41439     1.37288  0.00801475
         214     1.37824      1.3729  0.00797733
         215     1.35034      1.3728  0.00794092
         216     1.34099     1.37265  0.00790552
         217     1.32789     1.37245  0.00787178
         218      1.3148     1.37218  0.00784011
         219      1.3153     1.37192  0.00780861
         220     1.33223     1.37174   0.0077752
         221      1.3497     1.37164  0.00774066
         222     1.34319     1.37151  0.00770686
         223      1.3285     1.37132  0.00767471
         224     1.34699     1.37121  0.00764121
         225     1.34858     1.37111  0.00760792
         226     1.33986     1.37097  0.00757551
         227     1.33087      1.3708   0.0075442
         228     1.32474     1.37059  0.00751381
         229     1.32019     1.37037  0.00748422
         230     1.31463     1.37013  0.00745561
         231     1.30635     1.36986  0.00742844
         232     1.29193     1.36952  0.00740401
         233     1.28365     1.36915   0.0073814
         234      1.2909     1.36882  0.00735743
         235     1.30675     1.36855  0.00733086
         236     1.31328     1.36832  0.00730354
         237     1.30644     1.36806  0.00727738
         238     1.30434     1.36779  0.00725173
         239     1.32615     1.36762  0.00722348
         240       1.328     1.36745  0.00719527
         241     1.32348     1.36727  0.00716773
         242      1.3203     1.36707  0.00714073
         243     1.31266     1.36685  0.00711486
         244     1.29249     1.36655  0.00709222
         245     1.28679     1.36622  0.00707074
         246      1.2751     1.36585   0.0070517
         247     1.28384     1.36552  0.00703096
         248     1.29563     1.36524  0.00700825
         249     1.31355     1.36503  0.00698318
         250      1.3271     1.36488  0.00695689
         251     1.32167      1.3647  0.00693131
         252     1.31402      1.3645  0.00690672
         253      1.3252     1.36435  0.00688117
         254     1.32735      1.3642  0.00685562
         255     1.31745     1.36402  0.00683118
         256     1.31091     1.36381  0.00680765
         257     1.33207     1.36369  0.00678228
         258      1.3361     1.36358  0.00675684
         259     1.33558     1.36347  0.00673161
         260     1.32294     1.36332  0.00670753
         261     1.31864     1.36315  0.00668401
         262     1.33022     1.36302  0.00665968
         263     1.32233     1.36287  0.00663616
         264     1.31504     1.36268  0.00661349
         265     1.29231     1.36242  0.00659386
         266     1.29035     1.36215  0.00657464
         267      1.2904     1.36188   0.0065555
         268     1.28815      1.3616  0.00653681
         269     1.29744     1.36137  0.00651686
         270     1.31578      1.3612  0.00649491
         271     1.31726     1.36103  0.00647297
         272     1.30842     1.36084  0.00645206
         273     1.30513     1.36064  0.00643165
         274     1.30871     1.36045  0.00641097
         275     1.28766     1.36018  0.00639312
         276       1.275     1.35987   0.0063774
         277     1.29288     1.35963  0.00635896
         278      1.3088     1.35945  0.00633872
         279     1.31659      1.3593  0.00631786
         280     1.29188     1.35905  0.00629988
         281     1.29894     1.35884  0.00628109
         282     1.32584     1.35872  0.00625991
         283      1.3302     1.35862   0.0062386
         284     1.31783     1.35848  0.00621829
         285     1.33209     1.35839  0.00619716
         286     1.33878     1.35832  0.00617587
         287     1.33825     1.35825  0.00615475
         288     1.31065     1.35808  0.00613559
         289     1.30493      1.3579  0.00611712
         290     1.30023      1.3577  0.00609926
         291     1.31678     1.35756  0.00607992
         292     1.34012      1.3575  0.00605939
         293     1.35226     1.35748  0.00603874
         294     1.33657     1.35741  0.00601861
         295     1.34066     1.35735  0.00599848
         296     1.35145     1.35733  0.00597825
         297     1.36961     1.35738  0.00595826
         298     1.36043     1.35739  0.00593828
         299     1.34927     1.35736  0.00591848
         300     1.35386     1.35735  0.00589876
         301     1.35812     1.35735  0.00587916
         302     1.37811     1.35742   0.0058601
         303     1.36134     1.35743  0.00584077
         304     1.35308     1.35742  0.00582158
         305      1.3413     1.35736  0.00580273
         306     1.34576     1.35733  0.00578389
         307     1.33665     1.35726  0.00576544
         308     1.33827      1.3572  0.00574705
         309     1.33093     1.35711  0.00572908
         310     1.35796     1.35711   0.0057106
         311     1.35957     1.35712  0.00569225
