#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         153     1.59612     1.59652 2.78428e-05
         154      1.5964     1.59652 2.76721e-05
         155     1.59694     1.59652  2.7624e-05
         156     1.59646     1.59652 2.74502e-05
         157     1.59674     1.59652 2.73112e-05
         158     1.59605     1.59652 2.73006e-05
         159     1.59685     1.59652 2.72097e-05
         160     1.59662     1.59652 2.70471e-05
         161     1.59626     1.59652 2.69275e-05
         162     1.59688     1.59652 2.68521e-05
         163      1.5963     1.59652 2.67223e-05
         164     1.59643     1.59652 2.65659e-05
         165     1.59666     1.59652 2.64187e-05
         166     1.59602     1.59652 2.64341e-05
         167     1.59689     1.59652 2.63686e-05
         168     1.59592     1.59652 2.64531e-05
         169     1.59642     1.59652 2.63025e-05
         170     1.59646     1.59652 2.61502e-05
         171     1.59676     1.59652  2.6037e-05
         172     1.59625     1.59652 2.59323e-05
         173     1.59655     1.59652 2.57833e-05
         174     1.59626     1.59652  2.5676e-05
         175     1.59621     1.59651 2.55901e-05
         176     1.59606     1.59651 2.55732e-05
         177     1.59647     1.59651 2.54298e-05
         178     1.59666     1.59651    2.53e-05
         179     1.59696     1.59651 2.52807e-05
         180     1.59677     1.59652 2.51802e-05
         181     1.59637     1.59652 2.50536e-05
         182     1.59654     1.59652 2.49162e-05
         183     1.59669     1.59652 2.47991e-05
         184     1.59687     1.59652 2.47388e-05
         185     1.59744     1.59652 2.51028e-05
         186     1.59661     1.59652 2.49718e-05
         187       1.597     1.59653 2.49693e-05
         188     1.59636     1.59653 2.48514e-05
         189     1.59684     1.59653 2.47756e-05
         190     1.59683     1.59653 2.46958e-05
         191     1.59647     1.59653 2.45686e-05
         192     1.59653     1.59653 2.44407e-05
         193       1.597     1.59653 2.44371e-05
         194     1.59668     1.59653 2.43228e-05
         195     1.59665     1.59653 2.42062e-05
         196     1.59677     1.59653 2.41127e-05
         197     1.59683     1.59654 2.40384e-05
         198     1.59637     1.59653  2.3931e-05
         199     1.59635     1.59653 2.38283e-05
         200      1.5966     1.59653 2.37111e-05
         201     1.59596     1.59653 2.37631e-05
         202     1.59658     1.59653  2.3647e-05
         203     1.59728     1.59653 2.38167e-05
         204     1.59669     1.59654 2.37129e-05
         205     1.59628     1.59653 2.36298e-05
         206     1.59649     1.59653 2.35163e-05
         207     1.59677     1.59654 2.34313e-05
         208     1.59725     1.59654 2.35679e-05
         209     1.59619     1.59654 2.35133e-05
         210     1.59574     1.59653 2.37033e-05
         211     1.59668     1.59653 2.36005e-05
         212     1.59685     1.59654 2.35372e-05
         213     1.59672     1.59654 2.34425e-05
         214     1.59675     1.59654 2.33548e-05
         215     1.59677     1.59654 2.32723e-05
         216     1.59631     1.59654 2.31884e-05
         217     1.59622     1.59654 2.31287e-05
         218     1.59676     1.59654 2.30454e-05
         219     1.59663     1.59654 2.29443e-05
         220     1.59657     1.59654 2.28404e-05
         221     1.59671     1.59654 2.27504e-05
         222     1.59644     1.59654 2.26524e-05
         223     1.59651     1.59654 2.25512e-05
         224     1.59633     1.59654 2.24701e-05
         225     1.59677     1.59654 2.23939e-05
         226     1.59692     1.59654 2.23589e-05
         227     1.59653     1.59654 2.22604e-05
         228     1.59664     1.59654  2.2167e-05
         229     1.59718     1.59654 2.22448e-05
         230     1.59586     1.59654 2.23456e-05
         231     1.59671     1.59654 2.22613e-05
         232     1.59711     1.59654 2.23011e-05
         233     1.59657     1.59654 2.22056e-05
         234     1.59752     1.59655  2.2503e-05
         235     1.59589     1.59654  2.2581e-05
         236     1.59684     1.59655 2.25194e-05
         237     1.59596     1.59654 2.25597e-05
         238      1.5964     1.59654 2.24727e-05
         239     1.59676     1.59654 2.23974e-05
         240     1.59744     1.59655 2.26158e-05
         241     1.59607     1.59655 2.26074e-05
         242     1.59643     1.59654 2.25192e-05
         243     1.59658     1.59654  2.2427e-05
         244     1.59662     1.59655 2.23373e-05
         245       1.597     1.59655 2.23247e-05
         246     1.59644     1.59655 2.22379e-05
         247     1.59648     1.59655 2.21497e-05
         248     1.59672     1.59655  2.2071e-05
         249     1.59672     1.59655 2.19931e-05
         250     1.59623     1.59655 2.19424e-05
         251     1.59691     1.59655 2.19019e-05
         252     1.59749     1.59655 2.21346e-05
         253     1.59621     1.59655  2.2088e-05
         254     1.59676     1.59655 2.20166e-05
         255     1.59636     1.59655 2.19435e-05
         256     1.59678     1.59655 2.18757e-05
         257     1.59639     1.59655 2.18001e-05
         258     1.59654     1.59655 2.17156e-05
         259     1.59657     1.59655 2.16319e-05
         260      1.5961     1.59655 2.16174e-05
         261     1.59677     1.59655 2.15515e-05
         262      1.5971     1.59655  2.1571e-05
         263     1.59646     1.59655 2.14917e-05
         264     1.59707     1.59655 2.15007e-05
         265      1.5961     1.59655  2.1489e-05
         266     1.59664     1.59655 2.14106e-05
         267     1.59716     1.59655 2.14497e-05
         268     1.59581     1.59655 2.15505e-05
         269      1.5966     1.59655 2.14711e-05
         270     1.59661     1.59655 2.13928e-05
         271     1.59593     1.59655 2.14384e-05
         272     1.59677     1.59655 2.13748e-05
         273     1.59703     1.59655 2.13684e-05
         274     1.59658     1.59655 2.12906e-05
         275     1.59645     1.59655 2.12164e-05
         276     1.59628     1.59655 2.11624e-05
         277     1.59701     1.59655 2.11504e-05
         278     1.59667     1.59655 2.10784e-05
         279     1.59683     1.59655 2.10261e-05
         280     1.59648     1.59655 2.09525e-05
         281     1.59609     1.59655 2.09423e-05
         282     1.59637     1.59655 2.08775e-05
         283      1.5976     1.59656 2.11311e-05
         284     1.59577     1.59655 2.12383e-05
         285     1.59659     1.59655 2.11642e-05
         286     1.59635     1.59655 2.11024e-05
         287     1.59732     1.59655 2.11989e-05
         288     1.59704     1.59656 2.11932e-05
         289     1.59675     1.59656  2.1131e-05
         290     1.59649     1.59656 2.10593e-05
         291     1.59617     1.59656 2.10298e-05
         292     1.59646     1.59656 2.09606e-05
         293       1.597     1.59656 2.09429e-05
         294      1.5967     1.59656 2.08775e-05
         295     1.59702     1.59656 2.08666e-05
         296     1.59646     1.59656 2.07988e-05
         297     1.59678     1.59656 2.07421e-05
         298      1.5968     1.59656 2.06877e-05
         299     1.59687     1.59656 2.06438e-05
         300     1.59652     1.59656 2.05754e-05
         301     1.59684     1.59656 2.05273e-05
         302     1.59648     1.59656 2.04609e-05
         303     1.59638     1.59656 2.04024e-05
         304      1.5966     1.59656 2.03357e-05
         305     1.59636     1.59656 2.02793e-05
         306     1.59674     1.59656 2.02216e-05
         307     1.59667     1.59656 2.01586e-05
         308     1.59667     1.59656 2.00963e-05
         309     1.59707     1.59656 2.00972e-05
         310     1.59663     1.59656 2.00336e-05
         311     1.59672     1.59656 1.99757e-05
         312     1.59647     1.59656 1.99141e-05
         313     1.59626     1.59656 1.98738e-05
         314     1.59741     1.59657 1.99928e-05
         315     1.59643     1.59656 1.99343e-05
         316     1.59679     1.59657 1.98845e-05
         317     1.59692     1.59657  1.9854e-05
         318     1.59697     1.59657 1.98318e-05
         319     1.59648     1.59657 1.97714e-05
         320     1.59688     1.59657 1.97332e-05
         321     1.59671     1.59657 1.96767e-05
         322     1.59596     1.59657 1.97056e-05
         323     1.59649     1.59657 1.96461e-05
         324     1.59658     1.59657 1.95855e-05
         325     1.59734     1.59657 1.96707e-05
         326     1.59641     1.59657 1.96162e-05
         327     1.59632     1.59657 1.95705e-05
         328     1.59653     1.59657 1.95113e-05
         329     1.59714     1.59657 1.95289e-05
         330     1.59718     1.59657 1.95562e-05
         331      1.5968     1.59657 1.95095e-05
         332     1.59658     1.59657 1.94508e-05
         333      1.5962     1.59657 1.94245e-05
         334      1.5961     1.59657 1.94173e-05
         335     1.59663     1.59657   1.936e-05
         336     1.59678     1.59657 1.93125e-05
         337     1.59684     1.59657 1.92713e-05
         338     1.59654     1.59657 1.92144e-05
         339     1.59633     1.59657 1.91706e-05
         340     1.59626     1.59657 1.91356e-05
         341     1.59674     1.59657 1.90861e-05
         342     1.59646     1.59657 1.90332e-05
         343     1.59621     1.59657 1.90072e-05
         344     1.59668     1.59657 1.89545e-05
         345     1.59681     1.59657 1.89127e-05
         346     1.59717     1.59657 1.89373e-05
         347     1.59687     1.59657 1.89023e-05
         348     1.59657     1.59657  1.8848e-05
         349     1.59629     1.59657 1.88117e-05
         350     1.59602     1.59657 1.88238e-05
         351     1.59697     1.59657 1.88042e-05
         352     1.59648     1.59657 1.87525e-05
         353     1.59678     1.59657 1.87088e-05
         354     1.59712     1.59657 1.87205e-05
