#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153   -0.330911   -0.487721   0.0161919
         154   -0.333201   -0.486717   0.0161178
         155   -0.306879   -0.485557   0.0160555
         156   -0.331461   -0.484569    0.015983
         157   -0.359509   -0.483773    0.015901
         158   -0.369426   -0.483049   0.0158168
         159   -0.378134   -0.482389   0.0157311
         160   -0.389587   -0.481809   0.0156435
         161   -0.368395   -0.481105   0.0155622
         162   -0.378816   -0.480473   0.0154789
         163   -0.353311   -0.479693   0.0154036
         164   -0.351316    -0.47891   0.0153296
         165   -0.340304    -0.47807   0.0152596
         166   -0.388362    -0.47753   0.0151773
         167   -0.428019   -0.477233   0.0150893
         168   -0.416929   -0.476874   0.0150038
         169   -0.378752   -0.476294   0.0149262
         170   -0.357404   -0.475594   0.0148548
         171   -0.391009     -0.4751   0.0147761
         172   -0.418445    -0.47477   0.0146939
         173   -0.403921   -0.474361   0.0146147
         174   -0.404299   -0.473958   0.0145362
         175   -0.413958   -0.473615   0.0144572
         176   -0.359874   -0.472969   0.0143895
         177   -0.356593   -0.472312   0.0143232
         178   -0.384973   -0.471821   0.0142512
         179   -0.395684   -0.471396   0.0141779
         180   -0.389399    -0.47094   0.0141064
         181   -0.384973   -0.470465   0.0140365
         182   -0.400176   -0.470079   0.0139647
         183   -0.403726   -0.469716   0.0138931
         184   -0.386441   -0.469264   0.0138249
         185   -0.369839   -0.468726   0.0137607
         186   -0.391414   -0.468311   0.0136929
         187   -0.410487   -0.468001   0.0136232
         188   -0.401594   -0.467648   0.0135553
         189   -0.405707    -0.46732   0.0134876
         190   -0.453831   -0.467249   0.0134168
         191   -0.463401   -0.467229   0.0133465
         192   -0.488003   -0.467337   0.0132775
         193   -0.488187   -0.467445   0.0132091
         194   -0.502094   -0.467624   0.0131422
         195   -0.433225   -0.467448    0.013076
         196   -0.403689   -0.467122   0.0130133
         197   -0.391175   -0.466737    0.012953
         198   -0.387286   -0.466336   0.0128938
         199   -0.383447   -0.465919   0.0128357
         200   -0.382067     -0.4655   0.0127784
         201   -0.355185   -0.464951   0.0127266
         202   -0.350961   -0.464387   0.0126761
         203   -0.367454   -0.463909   0.0126226
         204   -0.372323    -0.46346   0.0125688
         205   -0.397915    -0.46314   0.0125115
         206   -0.391898   -0.462795   0.0124556
         207   -0.388502   -0.462436   0.0124005
         208   -0.400364   -0.462137   0.0123445
         209   -0.425374   -0.461961   0.0122867
         210   -0.482757    -0.46206   0.0122286
         211   -0.509682   -0.462286   0.0121727
         212   -0.542462   -0.462664   0.0121212
         213   -0.524589   -0.462955   0.0120678
         214   -0.470205   -0.462989   0.0120114
         215   -0.428893    -0.46283   0.0119566
         216    -0.41493   -0.462609   0.0119033
         217   -0.395353   -0.462299   0.0118525
         218   -0.375598   -0.461901   0.0118048
         219     -0.3766   -0.461511   0.0117573
         220   -0.402385   -0.461243   0.0117069
         221   -0.428286   -0.461094   0.0116549
         222   -0.417949   -0.460899    0.011604
         223   -0.396141   -0.460609   0.0115556
         224   -0.424513   -0.460448   0.0115052
         225   -0.425963   -0.460294    0.011455
         226   -0.413244   -0.460086   0.0114063
         227   -0.399682    -0.45982   0.0113591
         228   -0.390532   -0.459516   0.0113134
         229   -0.383777   -0.459185   0.0112688
         230   -0.375295   -0.458821   0.0112257
         231   -0.362548   -0.458404   0.0111848
         232   -0.341027   -0.457898   0.0111481
         233   -0.329001   -0.457345   0.0111139
         234    -0.34007   -0.456844   0.0110777
         235   -0.363969   -0.456448   0.0110376
         236   -0.372996   -0.456095   0.0109965
         237    -0.36279   -0.455701   0.0109572
         238   -0.360315     -0.4553   0.0109185
         239   -0.392745   -0.455039   0.0108759
         240   -0.395214   -0.454789   0.0108335
         241   -0.388614   -0.454515    0.010792
         242   -0.383716   -0.454222   0.0107514
         243   -0.372214   -0.453885   0.0107124
         244   -0.341851   -0.453426   0.0106783
         245   -0.333625   -0.452937   0.0106459
         246   -0.315602   -0.452378   0.0106173
         247   -0.329515   -0.451881    0.010586
         248   -0.347117   -0.451458   0.0105517
         249   -0.373876   -0.451147   0.0105139
         250   -0.393704   -0.450917   0.0104744
         251   -0.386041   -0.450659   0.0104358
         252   -0.373844   -0.450354   0.0103989
         253   -0.391629   -0.450122   0.0103604
         254   -0.394687   -0.449903   0.0103219
         255   -0.378972   -0.449625   0.0102851
         256   -0.370201   -0.449315   0.0102496
         257   -0.401231   -0.449128   0.0102115
         258   -0.407504   -0.448967   0.0101732
         259   -0.407054   -0.448805   0.0101352
         260   -0.387373   -0.448569   0.0100989
         261   -0.381668   -0.448312   0.0100635
         262   -0.398866   -0.448123   0.0100269
         263   -0.385943   -0.447887  0.00999152
         264   -0.376465   -0.447617  0.00995733
         265   -0.341763   -0.447217  0.00992777
         266   -0.339232   -0.446811  0.00989874
         267   -0.338901   -0.446407  0.00986991
         268   -0.335471   -0.445993  0.00984176
         269   -0.349872   -0.445636  0.00981166
         270   -0.376869   -0.445381  0.00977863
         271   -0.379553   -0.445138  0.00974556
         272   -0.366282   -0.444848  0.00971404
         273   -0.360775    -0.44454  0.00968334
         274   -0.366331   -0.444255   0.0096522
         275   -0.334589   -0.443856  0.00962534
         276   -0.315762   -0.443392  0.00960165
         277   -0.343314   -0.443031  0.00957378
         278   -0.366718   -0.442756  0.00954328
         279    -0.37803   -0.442524  0.00951189
         280   -0.341367   -0.442163  0.00948478
         281   -0.351642   -0.441841  0.00945649
         282   -0.392665   -0.441666  0.00942457
         283   -0.398721   -0.441515  0.00939249
         284   -0.379919   -0.441298  0.00936192
         285   -0.401983    -0.44116  0.00933009
         286   -0.411713   -0.441057  0.00929803
         287   -0.411268   -0.440953  0.00926621
