#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         176       -0.12    0.119773   0.0151217
         177        0.04    0.119322    0.015043
         178        -0.2    0.117528   0.0150651
         179        0.32    0.118659   0.0150233
         180         0.2    0.119111   0.0149467
         181        0.16    0.119337   0.0148658
         182       -0.04    0.118462   0.0148099
         183        0.04    0.118033   0.0147352
         184       -0.08    0.116957   0.0146943
         185           0    0.116324   0.0146285
         186        -0.2    0.114624   0.0146484
         187       -0.32    0.112299   0.0147533
         188       -0.32        0.11   0.0148529
         189       -0.52    0.106667   0.0151437
         190       -0.56    0.103158   0.0154652
         191       -0.44    0.100314   0.0156435
         192       -0.56    0.096875   0.0159356
         193       -0.36   0.0945078   0.0160279
         194       -0.16   0.0931959   0.0159988
         195        -0.2   0.0916923   0.0159873
         196       -0.12   0.0906122   0.0159422
         197       -0.44   0.0879188   0.0160872
         198        -0.4   0.0854545   0.0161936
         199       -0.36   0.0832161   0.0162662
         200       -0.44      0.0806   0.0163938
         201       -0.28    0.078806   0.0164102
         202           0   0.0784158   0.0163336
         203       -0.04   0.0778325   0.0162635
         204           0    0.077451   0.0161883
         205        0.08   0.0774634   0.0161093
         206        0.08   0.0774757   0.0160311
         207       -0.16   0.0763285   0.0159947
         208        -0.2       0.075   0.0159728
         209       -0.04   0.0744498   0.0159059
         210        0.12   0.0746667   0.0158316
         211       -0.04   0.0741232   0.0157659
         212         0.2    0.074717   0.0157027
         213         0.4   0.0762441   0.0157031
         214        0.48   0.0781308   0.0157426
         215        0.32   0.0792558   0.0157096
         216        0.08   0.0792593   0.0156368
         217         0.2   0.0798157   0.0155747
         218        0.28   0.0807339   0.0155303
         219        0.24   0.0814612   0.0154764
         220       -0.16   0.0803636   0.0154449
         221           0        0.08   0.0153793
         222       -0.12   0.0790991   0.0153364
         223           0   0.0787444   0.0152717
         224        0.28   0.0796429   0.0152299
         225        0.24   0.0803556   0.0151789
         226         0.2    0.080885    0.015121
         227           0   0.0805286   0.0150586
         228        0.12   0.0807018   0.0149935
         229       -0.12   0.0798253   0.0149536
         230         0.2   0.0803478   0.0148977
