#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.51976    -5.69747   0.0161577
         153    -5.44181     -5.6958   0.0161383
         154    -5.50261    -5.69454   0.0160821
         155    -5.54752    -5.69359   0.0160063
         156    -5.45397    -5.69206   0.0159773
         157    -5.53254    -5.69104   0.0159078
         158    -5.57977    -5.69034   0.0158227
         159    -5.65039    -5.69008   0.0157251
         160    -5.59281    -5.68948   0.0156386
         161    -5.71354    -5.68963   0.0155422
         162    -5.62505    -5.68923   0.0154514
         163     -5.5435    -5.68833   0.0153824
         164     -5.5876    -5.68772   0.0153009
         165    -5.58078    -5.68707   0.0152219
         166    -5.59049    -5.68649   0.0151413
         167    -5.59576    -5.68595   0.0150604
         168    -5.59408     -5.6854   0.0149806
         169    -5.58179    -5.68479   0.0149045
         170    -5.49213    -5.68365   0.0148599
         171    -5.50656    -5.68262    0.014809
         172    -5.50845     -5.6816   0.0147575
         173    -5.49944    -5.68055   0.0147097
         174    -5.47164    -5.67935   0.0146741
         175    -5.42073    -5.67787   0.0146645
         176     -5.5126    -5.67693   0.0146112
         177     -5.5116      -5.676   0.0145585
         178    -5.58254    -5.67548   0.0144861
         179     -5.5592    -5.67483   0.0144198
         180    -5.52705      -5.674    0.014363
         181    -5.47074    -5.67288   0.0143275
         182    -5.49835    -5.67192   0.0142808
         183    -5.45407    -5.67073   0.0142523
         184    -5.45143    -5.66954   0.0142246
         185     -5.5238    -5.66875   0.0141695
         186    -5.46352    -5.66765   0.0141362
         187     -5.4567    -5.66652   0.0141056
         188     -5.5343    -5.66582   0.0140481
         189    -5.53358    -5.66512   0.0139912
         190     -5.5358    -5.66444   0.0139341
         191    -5.57085    -5.66395   0.0138697
         192    -5.41336    -5.66264   0.0138588
         193    -5.50645    -5.66183   0.0138106
         194    -5.44936    -5.66074   0.0137827
         195    -5.48604    -5.65984   0.0137411
         196    -5.40289    -5.65853   0.0137334
         197    -5.39145    -5.65718   0.0137305
         198    -5.42328    -5.65599   0.0137118
         199    -5.44984    -5.65496    0.013682
         200    -5.41455    -5.65376   0.0136663
         201    -5.54424    -5.65321   0.0136092
         202    -5.55878    -5.65274   0.0135498
         203    -5.55619    -5.65227   0.0134914
         204    -5.46231    -5.65134   0.0134574
         205    -5.53208    -5.65076   0.0134043
         206    -5.42657    -5.64967   0.0133833
         207    -5.35597    -5.64825   0.0133937
         208    -5.36755     -5.6469   0.0133971
         209    -5.38709    -5.64566   0.0133906
         210    -5.34409    -5.64422   0.0134036
         211    -5.43447    -5.64323   0.0133769
         212    -5.46312    -5.64238   0.0133407
         213    -5.53361    -5.64187   0.0132878
         214    -5.57841    -5.64157   0.0132291
         215    -5.56937    -5.64123   0.0131718
         216    -5.68758    -5.64145   0.0131126
         217    -5.67767    -5.64161   0.0130532
         218    -5.66858    -5.64174   0.0129939
         219    -5.79162    -5.64242   0.0129526
         220    -5.75413    -5.64293   0.0129037
         221    -5.62717    -5.64286   0.0128455
         222    -5.63212    -5.64281   0.0127877
         223    -5.66331     -5.6429   0.0127307
         224     -5.6734    -5.64304   0.0126746
         225    -5.68316    -5.64322   0.0126195
         226    -5.61527    -5.64309   0.0125643
         227     -5.6009    -5.64291   0.0125103
         228    -5.46986    -5.64215   0.0124784
         229    -5.34044    -5.64083   0.0124933
