# VELOCITY:     ACTUAL_POFV:
         0.2           0
         0.6    0.221296
           1    0.405556
         1.4    0.424074
         1.8    0.329167
         2.2    0.528241
         2.6    0.280556
           3    0.116204
         3.4    0.180556
         3.8   0.0143519
         4.2           0
         4.6           0
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
