# VELOCITY:     ACTUAL_POFV:
         0.2   0.0037037
         0.6   0.0203704
           1    0.264815
         1.4    0.187963
         1.8    0.433796
         2.2    0.554167
         2.6    0.469444
           3    0.243981
         3.4    0.174537
         3.8   0.0467593
         4.2   0.0564815
         4.6   0.0203704
           5   0.0236111
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
