# VELOCITY:     ACTUAL_POFV:
         0.2   0.0472222
         0.6       0.175
           1    0.324074
         1.4    0.527778
         1.8    0.404167
         2.2    0.418981
         2.6    0.276389
           3    0.241204
         3.4    0.050463
         3.8   0.0347222
         4.2           0
         4.6           0
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
