#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420334    0.420334           0
           2    0.424646     0.42249  0.00152463
           3    0.425483    0.423487  0.00130258
           4    0.421585    0.423012  0.00106019
           5    0.423426    0.423095 0.000851385
           6     0.42381    0.423214 0.000717793
           7    0.419771    0.422722 0.000765463
           8    0.423731    0.422848 0.000680092
           9    0.420107    0.422544  0.00066928
          10    0.429303    0.423219 0.000879773
          11    0.426377    0.423507 0.000845316
          12    0.423074     0.42347  0.00077564
          13     0.42697     0.42374 0.000761267
          14    0.421259    0.423563 0.000727213
          15    0.420338    0.423348 0.000709796
          16    0.420097    0.423144 0.000693899
          17    0.426222    0.423325 0.000676277
          18    0.420073    0.423145   0.0006624
          19    0.423917    0.423185 0.000628784
          20    0.422767    0.423164 0.000597693
          21    0.425152    0.423259 0.000576676
          22    0.424285    0.423306 0.000552344
          23    0.428374    0.423526 0.000570597
          24    0.423983    0.423545  0.00054714
          25    0.426863    0.423678 0.000541109
          26     0.42269     0.42364  0.00052163
          27    0.422602    0.423601 0.000503724
          28    0.418505    0.423419 0.000517569
          29    0.426153    0.423514 0.000508234
          30    0.420168    0.423402 0.000503381
          31    0.424299    0.423431 0.000487974
          32    0.416357     0.42321 0.000520398
          33    0.424909    0.423262 0.000507169
          34    0.421454    0.423208  0.00049503
          35    0.424192    0.423236 0.000481684
          36    0.428237    0.423375 0.000487922
          37    0.431927    0.423607 0.000526643
          38    0.426896    0.423693 0.000519849
          39    0.430315    0.423863 0.000533531
          40    0.420422    0.423777 0.000527084
