#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.58374     3.58374           0
           2     3.58461     3.58417 0.000307037
           3     3.59705     3.58847  0.00351086
           4     3.58408     3.58737  0.00279953
           5     3.58385     3.58667  0.00232645
           6     3.57787      3.5852  0.00235603
           7     3.55423     3.58078  0.00456653
           8     3.58194     3.58092  0.00399804
           9     3.56611     3.57928  0.00387782
          10     3.59649       3.581  0.00385338
          11     3.57863     3.58078  0.00350905
          12     3.58515     3.58115  0.00323549
          13     3.57518     3.58069    0.003019
          14      3.5962      3.5818  0.00299979
          15     3.57381     3.58126  0.00284659
          16     3.57828     3.58108  0.00267477
          17     3.59183     3.58171   0.0025911
          18     3.62356     3.58403  0.00333069
          19      3.5826     3.58396  0.00315624
          20     3.60177     3.58485  0.00312152
          21     3.58894     3.58504  0.00297896
          22     3.57562     3.58462   0.0028742
          23     3.59193     3.58493  0.00276679
          24     3.55298      3.5836  0.00295462
          25     3.56543     3.58288  0.00292453
          26     3.58221     3.58285  0.00281216
          27     3.57228     3.58246   0.0027351
          28      3.5741     3.58216  0.00265366
          29     3.56852     3.58169   0.0026035
          30     3.59558     3.58215  0.00255756
          31     3.59731     3.58264  0.00252135
          32     3.59158     3.58292  0.00245799
          33     3.56065     3.58225  0.00247441
          34     3.57059      3.5819  0.00242528
          35     3.58711     3.58205  0.00236054
          36      3.5839      3.5821  0.00229553
          37     3.57757     3.58198  0.00223676
          38      3.5826       3.582  0.00217796
          39     3.56655      3.5816  0.00215785
          40     3.59779     3.58201  0.00214154
