#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.42731     0.42731           0
           2    0.432995    0.430153  0.00200998
           3    0.437944     0.43275  0.00250849
           4     0.43433    0.433145  0.00191222
           5    0.432845    0.433085  0.00153072
           6    0.434591    0.433336  0.00129601
           7      0.4325    0.433216  0.00111635
           8    0.436434    0.433619  0.00104677
           9    0.435895    0.433872  0.00096052
          10    0.434514    0.433936 0.000866612
          11    0.432126    0.433771 0.000803297
          12    0.433024    0.433709 0.000738763
          13    0.437347    0.433989 0.000733037
          14    0.432959    0.433915 0.000684361
          15    0.435712    0.434035  0.00064913
          16    0.432652    0.433949 0.000614284
          17    0.434753    0.433996 0.000579969
          18    0.431182     0.43384  0.00056843
          19    0.433077      0.4338 0.000539928
          20    0.434787    0.433849 0.000515184
          21    0.439048    0.434096 0.000546923
          22    0.432138    0.434007 0.000529259
          23    0.437295     0.43415 0.000525199
          24    0.433958    0.434142 0.000503377
          25    0.434894    0.434172 0.000484139
          26    0.427326    0.433909 0.000532336
          27    0.432217    0.433846 0.000516294
          28    0.436392    0.433937 0.000505794
          29    0.432627    0.433892 0.000490366
          30    0.433505    0.433879  0.00047419
          31    0.433348    0.433862 0.000459203
          32    0.431384    0.433785 0.000451338
          33    0.433359    0.433772 0.000437845
          34    0.428566    0.433619 0.000450945
          35    0.432317    0.433581 0.000439593
          36    0.434645    0.433611 0.000428373
          37    0.435181    0.433653 0.000418892
          38    0.434297     0.43367 0.000408211
          39    0.434397    0.433689 0.000398169
          40    0.436491    0.433759 0.000394331
