#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.212309    0.212309           0
           2    0.211951     0.21213 0.000126704
           3    0.212056    0.212105 8.68567e-05
           4    0.211905    0.212055  7.8234e-05
           5    0.212614    0.212167 0.000117957
           6    0.212458    0.212216 0.000107785
           7    0.212957    0.212322 0.000134777
           8    0.212909    0.212395 0.000136485
           9    0.212278    0.212382  0.00012194
          10     0.21204    0.212348 0.000114429
          11    0.211987    0.212315 0.000108631
          12    0.212734     0.21235 0.000105036
          13    0.212565    0.212366 9.82524e-05
          14    0.212275     0.21236 9.14522e-05
          15    0.212557    0.212373 8.62929e-05
          16    0.212437    0.212377 8.09908e-05
          17    0.212696    0.212396 7.83692e-05
          18      0.2129    0.212424 7.88597e-05
          19    0.212153    0.212409 7.59886e-05
          20    0.212372    0.212408 7.22126e-05
          21    0.212672     0.21242 6.98657e-05
          22    0.212942    0.212444 7.06071e-05
          23    0.212491    0.212446 6.75663e-05
          24    0.211964    0.212426 6.76664e-05
          25    0.212567    0.212432 6.51945e-05
          26    0.212384     0.21243 6.27132e-05
          27    0.212393    0.212428 6.04053e-05
          28    0.212863    0.212444 6.02071e-05
          29    0.212705    0.212453 5.87994e-05
          30    0.212992    0.212471 5.95205e-05
          31    0.213359    0.212499  6.4123e-05
          32    0.212839     0.21251  6.2991e-05
          33    0.212194      0.2125 6.18062e-05
          34    0.212216    0.212492 6.05535e-05
          35    0.212156    0.212483 5.95792e-05
          36    0.213127      0.2125 6.05545e-05
          37    0.212475      0.2125 5.89217e-05
          38    0.213046    0.212514 5.90996e-05
          39    0.212948    0.212525 5.86235e-05
          40    0.212433    0.212523 5.72031e-05
