#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.60266     5.60266           0
           2     5.58493      5.5938  0.00626895
           3     5.64973     5.61244    0.015787
           4     5.62422     5.61539   0.0121118
           5     5.55747      5.6038    0.014185
           6     5.61641      5.6059   0.0119754
           7     5.55311     5.59836   0.0124143
           8      5.6361     5.60308   0.0117246
           9     5.58753     5.60135   0.0105485
          10     5.57696     5.59891  0.00977164
          11     5.57563      5.5968  0.00910964
          12     5.61084     5.59797  0.00842531
          13     5.54673     5.59403  0.00865004
          14     5.65198     5.59816  0.00896804
          15     5.65635     5.60204  0.00917085
          16     5.59505     5.60161  0.00860808
          17     5.59807      5.6014  0.00810423
          18     5.65528     5.60439  0.00818815
          19     5.60998     5.60469  0.00776247
          20     5.61213     5.60506  0.00738327
          21     5.56746     5.60327  0.00724554
          22     5.61075     5.60361  0.00692417
          23     5.62377     5.60448  0.00667836
          24     5.54242      5.6019  0.00688262
          25     5.60582     5.60206   0.0066091
          26     5.58664     5.60146  0.00638146
          27      5.6003     5.60142  0.00614525
          28     5.61273     5.60182  0.00593903
          29     5.55993     5.60038  0.00590731
          30     5.58847     5.59998  0.00572373
          31     5.60249     5.60006  0.00553966
          32     5.61151     5.60042  0.00537808
          33     5.57139     5.59954  0.00528655
          34     5.62083     5.60017  0.00516802
          35       5.644     5.60142   0.0051699
          36     5.56923     5.60053  0.00510302
          37      5.5542     5.59927  0.00511636
          38     5.63678     5.60026  0.00507605
          39     5.54882     5.59894  0.00511438
          40     5.56388     5.59806  0.00506108
