#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.52173     2.52173           0
           2     2.51915     2.52044 0.000912187
           3     2.53705     2.52598  0.00455955
           4     2.53058     2.52713  0.00356196
           5     2.51796     2.52529  0.00328757
           6     2.52939     2.52598  0.00280952
           7     2.52709     2.52614  0.00241265
           8     2.53015     2.52664  0.00216256
           9     2.52502     2.52646   0.0019297
          10     2.52848     2.52666   0.0017473
          11     2.53079     2.52704  0.00162826
          12     2.52544      2.5269    0.001498
          13     2.51582     2.52605  0.00160715
          14     2.53349     2.52658  0.00157783
          15      2.5122     2.52562  0.00173961
          16     2.51743     2.52511  0.00170468
          17     2.53822     2.52588  0.00177035
          18     2.55851     2.52769  0.00242859
          19     2.52974      2.5278  0.00230314
          20     2.52756     2.52779  0.00218802
          21     2.53836     2.52829  0.00214098
          22     2.53074      2.5284  0.00204656
          23     2.53524      2.5287  0.00197902
          24     2.51949     2.52832  0.00193345
          25     2.52528      2.5282  0.00185994
          26     2.52004     2.52788  0.00181467
          27     2.53166     2.52802  0.00175284
          28      2.5258     2.52794  0.00169203
          29     2.52234     2.52775  0.00164468
          30     2.54265     2.52825  0.00166316
          31     2.53702     2.52853  0.00163343
          32     2.53062      2.5286   0.0015837
          33     2.53751     2.52887  0.00155858
          34     2.52558     2.52877  0.00151574
          35     2.53958     2.52908  0.00150358
          36     2.53394     2.52921  0.00146788
          37       2.535     2.52937  0.00143653
          38     2.54175     2.52969   0.0014352
          39     2.51014     2.52919  0.00148337
          40      2.5271     2.52914  0.00144721
