#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.34096     0.34096           0
           2    0.322935    0.331948  0.00637281
           3    0.323473    0.329123  0.00483426
           4     0.32439    0.327939  0.00376773
           5    0.325493     0.32745   0.0030458
           6    0.321527    0.326463  0.00269337
           7    0.326334    0.326445  0.00230867
           8     0.33173    0.327105   0.0021125
           9    0.326274    0.327013  0.00187979
          10     0.33381    0.327693  0.00181055
          11    0.328906    0.327803  0.00164931
          12     0.32561     0.32762  0.00152196
          13    0.321218    0.327128  0.00148243
          14     0.33189    0.327468  0.00141503
          15    0.334877    0.327962  0.00140427
          16     0.32942    0.328053  0.00131946
          17    0.337552    0.328612  0.00135501
          18     0.33197    0.328798  0.00129251
          19    0.332473    0.328992  0.00123887
          20    0.325784    0.328831  0.00118727
          21    0.323894    0.328596  0.00115378
          22    0.324767    0.328422  0.00111438
          23    0.326546    0.328341  0.00106891
          24    0.326808    0.328277  0.00102628
          25    0.320965    0.327984  0.00102605
          26    0.326685    0.327934 0.000987806
          27    0.326084    0.327866 0.000953595
          28    0.329032    0.327907 0.000920448
          29    0.333564    0.328102 0.000909143
          30    0.333341    0.328277 0.000895454
          31    0.333568    0.328448 0.000882685
          32    0.324887    0.328336 0.000862085
          33    0.328818    0.328351 0.000836085
          34    0.330303    0.328408 0.000813463
          35    0.320424     0.32818 0.000821589
          36    0.323586    0.328053  0.00080862
          37     0.32846    0.328064  0.00078684
          38    0.332167    0.328172 0.000773509
          39    0.334853    0.328343 0.000772413
          40    0.327652    0.328326 0.000753296
