#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.90548     1.90548           0
           2     1.90382     1.90465 0.000588496
           3     1.90985     1.90639  0.00146905
           4     1.91059     1.90744  0.00142911
           5     1.89958     1.90587  0.00181236
           6     1.90692     1.90604  0.00151883
           7     1.90587     1.90602  0.00130206
           8     1.89712      1.9049  0.00154296
           9     1.90784     1.90523  0.00140558
          10     1.90929     1.90564  0.00132225
          11     1.90281     1.90538  0.00122667
          12     1.90645     1.90547  0.00112766
          13     1.90335     1.90531  0.00105266
          14      1.9058     1.90534 0.000978058
          15     1.90322      1.9052 0.000923012
          16     1.89516     1.90457  0.00105737
          17     1.91697      1.9053  0.00122093
          18      1.9284     1.90658  0.00169851
          19     1.91525     1.90704  0.00166919
          20     1.90852     1.90711  0.00158737
          21     1.91057     1.90728   0.0015203
          22     1.91201     1.90749  0.00146632
          23     1.91518     1.90783  0.00144018
          24     1.89692     1.90737  0.00145012
          25     1.90221     1.90717  0.00140677
          26       1.906     1.90712  0.00135337
          27     1.90451     1.90703  0.00130671
          28     1.91325     1.90725  0.00127879
          29     1.90472     1.90716  0.00123765
          30     1.91132      1.9073  0.00120412
          31     1.91077     1.90741  0.00117049
          32     1.91642     1.90769  0.00116725
          33     1.91418     1.90789  0.00114829
          34     1.91663     1.90815  0.00114295
          35     1.91198     1.90826  0.00111553
          36     1.90461     1.90815  0.00108912
          37     1.90921     1.90818  0.00106005
          38     1.91534     1.90837  0.00104877
          39     1.90654     1.90832  0.00102293
          40     1.90717      1.9083 0.000997761
