#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0508004   0.0508004           0
           2   0.0486798   0.0497401 0.000749745
           3   0.0510963   0.0501922 0.000621345
           4   0.0486266   0.0498008 0.000576251
           5   0.0515274   0.0501461 0.000554905
           6   0.0517704   0.0504168 0.000524311
           7   0.0505404   0.0504345 0.000449707
           8   0.0501013   0.0503928 0.000395417
           9   0.0484696   0.0501791 0.000405132
          10   0.0485316   0.0500144 0.000396708
          11   0.0509278   0.0500974 0.000369232
          12   0.0494238   0.0500413 0.000342704
          13   0.0499182   0.0500318 0.000316473
          14   0.0502228   0.0500455 0.000294161
          15   0.0494588   0.0500063 0.000277139
          16   0.0504751   0.0500356 0.000261362
          17   0.0497348   0.0500179 0.000246586
          18   0.0500763   0.0500212 0.000232908
          19   0.0523217   0.0501423 0.000250151
          20   0.0486696   0.0500686 0.000248244
          21   0.0501197   0.0500711 0.000236435
          22   0.0516424   0.0501425 0.000236229
          23   0.0512531   0.0501908 0.000230841
          24   0.0505374   0.0502052 0.000221674
          25   0.0495128   0.0501775  0.00021453
          26   0.0482175   0.0501021 0.000219124
          27    0.049113   0.0500655 0.000214049
          28   0.0507304   0.0500893 0.000207717
          29   0.0497287   0.0500768 0.000200926
          30   0.0495515   0.0500593  0.00019499
          31   0.0504307   0.0500713 0.000189068
          32   0.0501052   0.0500723 0.000183163
          33   0.0498484   0.0500656 0.000177738
          34   0.0508943   0.0500899 0.000174174
          35     0.05227   0.0501522 0.000179991
          36   0.0506986   0.0501674  0.00017563
          37   0.0494512    0.050148 0.000171946
          38   0.0497906   0.0501386 0.000167679
          39   0.0498633   0.0501316 0.000163528
          40   0.0516093   0.0501685 0.000163559
