#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196571    0.196571           0
           2    0.196093    0.196332 0.000169101
           3     0.19605    0.196238 0.000136397
           4    0.196321    0.196259 0.000103847
           5    0.196759    0.196359 0.000122124
           6    0.196229    0.196337 0.000103671
           7    0.196783    0.196401 0.000106637
           8    0.196705    0.196439  9.9868e-05
           9    0.196425    0.196437 8.87835e-05
          10    0.196284    0.196422  8.1221e-05
          11    0.196226    0.196404 7.57752e-05
          12    0.197054    0.196458 8.66688e-05
          13     0.19677    0.196482 8.32427e-05
          14    0.196644    0.196494 7.80946e-05
          15    0.196737     0.19651 7.45544e-05
          16    0.196689    0.196521 7.07273e-05
          17    0.196696    0.196532 6.73112e-05
          18    0.196775    0.196545 6.49214e-05
          19    0.196341    0.196534 6.23836e-05
          20    0.196782    0.196547 6.04764e-05
          21    0.196676    0.196553 5.79071e-05
          22    0.196693    0.196559 5.56221e-05
          23    0.196509    0.196557 5.32466e-05
          24    0.196082    0.196537 5.45839e-05
          25    0.196785    0.196547 5.32919e-05
          26    0.196418    0.196542  5.1473e-05
          27    0.196561    0.196543 4.95714e-05
          28    0.196485    0.196541 4.78438e-05
          29    0.196903    0.196553 4.77953e-05
          30    0.196815    0.196562 4.69895e-05
          31     0.19705    0.196578 4.80401e-05
          32    0.196967     0.19659 4.80554e-05
          33    0.196141    0.196576 4.84852e-05
          34     0.19668    0.196579  4.7155e-05
          35    0.196288    0.196571 4.65378e-05
          36     0.19701    0.196583 4.68167e-05
          37    0.196331    0.196576 4.60439e-05
          38    0.196801    0.196582 4.52097e-05
          39    0.197128    0.196596 4.61661e-05
          40    0.196527    0.196595 4.50443e-05
