#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434248    0.434248           0
           2    0.435539    0.434894 0.000456449
           3    0.432995    0.434261 0.000599587
           4    0.438414    0.435299  0.00100541
           5    0.437392    0.435718 0.000887188
           6    0.433721    0.435385 0.000799318
           7     0.43659    0.435557 0.000703432
           8    0.435939    0.435605 0.000617123
           9    0.436468    0.435701 0.000555953
          10    0.434399    0.435571  0.00051538
          11    0.433996    0.435427 0.000488009
          12    0.437674    0.435615 0.000481921
          13     0.43612    0.435654 0.000446418
          14    0.436838    0.435738 0.000422466
          15    0.437838    0.435878 0.000416849
          16    0.437556    0.435983 0.000403771
          17    0.439311    0.436179 0.000424836
          18    0.436483    0.436196  0.00040157
          19    0.432428    0.435997 0.000426595
          20     0.43749    0.436072 0.000411741
          21    0.437682    0.436149 0.000399205
          22    0.434941    0.436094 0.000384813
          23    0.436874    0.436128 0.000369576
          24     0.43776    0.436196 0.000360377
          25    0.435535    0.436169 0.000346929
          26    0.433785    0.436078 0.000345491
          27     0.43847    0.436166 0.000343866
          28    0.437922    0.436229 0.000337257
          29    0.434844    0.436181 0.000328992
          30    0.433932    0.436106 0.000326457
          31    0.436901    0.436132 0.000316931
          32     0.43545     0.43611 0.000307741
          33    0.433362    0.436027  0.00030948
          34    0.434914    0.435994 0.000302104
          35    0.437979    0.436051 0.000298746
          36    0.433103    0.435969 0.000301465
          37     0.43538    0.435953 0.000293737
          38    0.437373    0.435991 0.000288374
          39    0.434995    0.435965 0.000282108
          40    0.435271    0.435948 0.000275589
