#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200676    0.200676           0
           2    0.200397    0.200537 9.87982e-05
           3    0.197622    0.199565 0.000795951
           4      0.1934    0.198024  0.00146231
           5     0.19402    0.197223  0.00137167
           6    0.199366     0.19758  0.00118862
           7    0.194807    0.197184  0.00108281
           8    0.200008    0.197537  0.00100334
           9    0.199126    0.197714 0.000907249
          10    0.199016    0.197844 0.000825821
          11     0.19353    0.197452 0.000838714
          12    0.197333    0.197442  0.00076888
          13    0.195831    0.197318  0.00071965
          14    0.194051    0.197084 0.000705052
          15    0.198618    0.197187 0.000665417
          16     0.19752    0.197207 0.000624154
          17    0.198763    0.197299 0.000594109
          18      0.2004    0.197471 0.000585551
          19    0.198691    0.197535 0.000558242
          20    0.193199    0.197319 0.000570879
          21    0.197758     0.19734 0.000544078
          22    0.199647    0.197444 0.000529356
          23    0.195895    0.197377 0.000510609
          24    0.194127    0.197242 0.000506969
          25    0.195455     0.19717 0.000491704
          26    0.195371    0.197101 0.000477637
          27    0.198724    0.197161 0.000463714
          28    0.194957    0.197082 0.000453785
          29    0.193829     0.19697 0.000451792
          30    0.195869    0.196933 0.000438221
          31    0.196381    0.196916 0.000424447
          32    0.194634    0.196844 0.000417127
          33    0.194843    0.196784 0.000408873
          34    0.194325    0.196711 0.000403193
          35    0.194956    0.196661 0.000394781
          36    0.194785    0.196609 0.000387239
          37    0.193286    0.196519 0.000387048
          38    0.193602    0.196443   0.0003844
          39    0.199441    0.196519 0.000382155
          40    0.197496    0.196544 0.000373381
          41    0.198009     0.19658 0.000365981
          42    0.198225    0.196619 0.000359357
          43    0.198881    0.196671 0.000354831
          44    0.193334    0.196596 0.000354779
          45      0.1958    0.196578 0.000347335
          46    0.195825    0.196561  0.00034017
          47    0.192824    0.196482   0.0003421
          48    0.195585    0.196463 0.000335483
          49     0.19886    0.196512 0.000332183
          50    0.198778    0.196558 0.000328616
          51    0.196785    0.196562 0.000322202
          52    0.196554    0.196562 0.000316006
          53    0.196184    0.196555 0.000310124
          54    0.197906     0.19658  0.00030539
          55    0.195821    0.196566 0.000300148
          56     0.19804    0.196592 0.000295941
          57    0.191592    0.196505 0.000303471
          58    0.197143    0.196516 0.000298438
          59    0.196427    0.196514 0.000293384
          60    0.192028    0.196439 0.000297869
          61    0.196314    0.196437 0.000292993
          62     0.19452    0.196406 0.000289894
          63    0.196101    0.196401 0.000285333
          64    0.200209    0.196461 0.000287011
          65    0.197792    0.196481 0.000283325
          66    0.196652    0.196484 0.000279044
          67    0.194175     0.19645 0.000276998
          68     0.19783     0.19647 0.000273667
          69      0.1966    0.196472 0.000269707
          70    0.196756    0.196476 0.000265885
          71    0.197977    0.196497 0.000262979
          72    0.197307    0.196508 0.000259567
          73    0.195162     0.19649 0.000256666
          74     0.19429     0.19646 0.000254914
          75    0.195365    0.196445 0.000251933
          76    0.196454    0.196446 0.000248618
          77    0.194486     0.19642 0.000246688
          78    0.192328    0.196368 0.000249043
          79      0.1943    0.196341 0.000247262
          80    0.196229     0.19634 0.000244175
          81    0.195097    0.196325 0.000241643
          82    0.194042    0.196297 0.000240295
          83     0.19529    0.196285 0.000237705
          84    0.194076    0.196258 0.000236325
          85    0.194977    0.196243 0.000234025
          86    0.195397    0.196234 0.000231511
          87    0.197321    0.196246 0.000229187
          88    0.196296    0.196247 0.000226584
          89    0.195937    0.196243 0.000224065
          90     0.19447    0.196223 0.000222439
          91    0.198051    0.196243   0.0002209
          92     0.19488    0.196229 0.000218996
          93     0.19921    0.196261 0.000218975
          94    0.196954    0.196268 0.000216769
          95    0.198268    0.196289 0.000215507
          96    0.197194    0.196299 0.000213468
          97    0.197431     0.19631 0.000211587
          98     0.19572    0.196304 0.000209513
          99    0.196757    0.196309 0.000207447
         100    0.197289    0.196319 0.000205604
