#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      66.445      66.445           0
           2     70.8327     68.6389     1.55127
           3        71.8     69.6926     1.34526
           4     77.0295     71.5268     1.88183
           5     68.7042     70.9623     1.58789
           6     75.5051     71.7194     1.49287
           7     79.3049     72.8031     1.62601
           8      84.266     74.2359     1.95466
           9     75.5046     74.3769     1.74256
          10     80.4819     74.9874     1.67183
          11     77.4836     75.2143     1.53517
          12     77.3497     75.3923     1.41751
          13     79.9501     75.7429     1.35114
          14     76.0538     75.7651     1.25481
          15     79.4386       76.01     1.19481
          16     77.1594     76.0818      1.1223
          17     83.1262     76.4962     1.13019
          18      79.407     76.6579     1.07891
          19     73.4497     76.4891     1.03525
          20     79.7875      76.654     0.99654
          21     78.6502      76.749    0.953609
          22     86.7093     77.2018     1.01205
          23     74.2396      77.073    0.976204
          24     78.6283     77.1378    0.937677
          25     82.9663     77.3709    0.928702
          26     78.4268     77.4115     0.89387
          27     75.6991     77.3481    0.863011
          28     81.5762     77.4991    0.845296
          29     71.8958     77.3059     0.83794
          30     74.6656     77.2179    0.814617
          31     70.9704     77.0164    0.812886
          32     79.0046     77.0785    0.789855
          33     78.9766      77.136    0.768011
          34      80.843      77.245    0.753122
          35     77.5731     77.2544    0.731662
          36     85.9712     77.4965    0.750335
          37     86.1363     77.7301    0.765528
          38     81.8544     77.8386    0.753037
          39     78.6383     77.8591    0.734007
          40     84.7056     78.0303    0.735343
          41     68.0893     77.7878    0.756326
          42     88.3913     78.0403    0.779317
          43      82.088     78.1344    0.766857
          44     74.9947      78.063    0.752741
          45     70.4332     77.8935    0.754868
          46     72.0341     77.7661    0.749127
          47     79.5598     77.8043     0.73416
          48     83.5492      77.924    0.728556
          49     81.4351     77.9956    0.717202
          50     80.5821     78.0473    0.704721
          51     84.6584      78.177    0.702724
          52     79.0273     78.1933    0.689401
          53     82.7795     78.2799    0.681802
          54     82.7954     78.3635    0.674285
          55     80.0747     78.3946    0.662742
          56     79.3167     78.4111    0.651112
          57     87.5766     78.5719    0.659246
          58     72.9642     78.4752    0.654931
          59     84.6966     78.5806    0.652264
          60     84.4239      78.678    0.648623
          61     79.6988     78.6947    0.638205
          62       71.61     78.5805     0.63806
          63     71.7295     78.4717    0.637131
          64     83.0414     78.5431    0.631164
          65     79.4686     78.5574    0.621615
          66     76.8017     78.5308    0.612765
          67     77.5577     78.5162    0.603792
          68     74.9798     78.4642    0.597148
          69     79.6955     78.4821     0.58876
          70     82.4462     78.5387    0.583066
          71     77.2912     78.5211    0.575119
          72     80.2711     78.5454    0.567644
          73     75.0738     78.4979    0.561857
          74     78.8572     78.5027    0.554285
          75     82.5232     78.5563    0.549481
          76     81.8019     78.5991    0.543908
          77     72.3372     78.5177    0.542889
          78     84.2033     78.5906    0.540801
          79     75.8075     78.5554    0.535101
          80     80.4141     78.5786    0.528917
          81     79.4609     78.5895    0.522499
          82     73.3932     78.5261    0.519956
          83     79.2888     78.5353    0.513772
          84     83.3556     78.5927    0.510851
          85      81.069     78.6219    0.505671
          86     82.6477     78.6687    0.501953
          87     78.9987     78.6725    0.496198
          88     78.3755     78.6691    0.490571
          89     81.6616     78.7027    0.486209
          90     78.1569     78.6966    0.480845
          91     81.9023     78.7319    0.476849
          92     88.7244     78.8405    0.483878
          93     78.7632     78.8397    0.478676
          94     78.7343     78.8385    0.473585
          95     82.8443     78.8807    0.470473
          96     89.9826     78.9963    0.479575
          97     77.2256     78.9781    0.474978
          98     78.3329     78.9715    0.470177
          99     79.1633     78.9734    0.465432
         100     81.3822     78.9975      0.4614
