# Throws Block r100_Mean r100_Error
11930 1 1.50347 0
23860 2 1.49722 0.00624259
35790 3 1.48292 0.0147486
47720 4 1.48072 0.0106592
59650 5 1.48797 0.0109883
71580 6 1.48972 0.00914036
83510 7 1.48394 0.00964725
95440 8 1.4891 0.00982169
107370 9 1.48817 0.00871155
119300 10 1.48847 0.00779737
131230 11 1.48593 0.00749599
143160 12 1.48363 0.0072185
155090 13 1.48946 0.00884029
167020 14 1.49247 0.00871772
178950 15 1.49623 0.00894631
190880 16 1.49548 0.00840234
202810 17 1.49594 0.0079059
214740 18 1.49577 0.00745567
226670 19 1.49703 0.00716471
238600 20 1.49872 0.00700481
250530 21 1.50085 0.00699532
262460 22 1.49801 0.00724945
274390 23 1.49793 0.00692757
286320 24 1.49928 0.00676852
298250 25 1.49851 0.00653816
310180 26 1.49896 0.00629759
322110 27 1.49894 0.00605986
334040 28 1.5012 0.00625807
345970 29 1.50048 0.00608014
357900 30 1.50102 0.00589874
369830 31 1.50128 0.00571103
381760 32 1.50135 0.00553014
393690 33 1.50105 0.00536869
405620 34 1.50045 0.00524207
417550 35 1.50109 0.00513048
429480 36 1.50095 0.00498791
441410 37 1.49921 0.00515561
453340 38 1.49831 0.00509848
465270 39 1.49916 0.00503895
477200 40 1.49861 0.0049418
489130 41 1.49846 0.00482215
501060 42 1.49899 0.00473569
512990 43 1.49794 0.00474244
524920 44 1.49733 0.00467337
536850 45 1.49876 0.00478656
548780 46 1.49765 0.00481106
560710 47 1.49702 0.00474899
572640 48 1.49677 0.00465602
584570 49 1.49601 0.00462241
596500 50 1.49627 0.00453672
608430 51 1.49705 0.00451473
620360 52 1.49746 0.00444554
632290 53 1.4969 0.00439633
644220 54 1.49741 0.00434392
656150 55 1.4967 0.00432218
668080 56 1.49755 0.00432734
680010 57 1.49761 0.00425124
691940 58 1.49832 0.00423675
703870 59 1.49887 0.00420014
715800 60 1.49812 0.00419592
727730 61 1.49911 0.00424373
739660 62 1.49989 0.00424633
751590 63 1.49987 0.00417845
763520 64 1.49917 0.0041705
775450 65 1.49887 0.00411681
787380 66 1.49914 0.00406276
799310 67 1.49876 0.00402006
811240 68 1.4981 0.00401532
823170 69 1.49811 0.00395673
835100 70 1.49787 0.00390721
847030 71 1.49773 0.00385447
858960 72 1.49776 0.00380072
870890 73 1.4969 0.00384558
882820 74 1.49685 0.00379354
894750 75 1.49672 0.00374511
906680 76 1.49751 0.00377857
918610 77 1.49727 0.00373674
930540 78 1.49795 0.00375121
942470 79 1.49776 0.00370825
954400 80 1.49726 0.00369612
966330 81 1.49713 0.00365249
978260 82 1.49742 0.00361915
990190 83 1.49751 0.00357657
1002120 84 1.49753 0.0035338
1014050 85 1.49794 0.00351584
1025980 86 1.49774 0.00348034
1037910 87 1.49788 0.00344284
1049840 88 1.49782 0.00340414
1061770 89 1.49843 0.00342098
1073700 90 1.499 0.00343129
1085630 91 1.49857 0.00342032
1097560 92 1.49876 0.00338795
1109490 93 1.49832 0.00338026
1121420 94 1.49827 0.00334446
1133350 95 1.49898 0.00338358
1145280 96 1.49886 0.00335022
1157210 97 1.49787 0.00345985
1169140 98 1.49797 0.00342579
1181070 99 1.49856 0.00344157
1193000 100 1.49889 0.00342377
