# Throws Block r100_Mean r100_Error
11930 1 1.53161 0
23860 2 1.51523 0.0163832
35790 3 1.51303 0.0097114
47720 4 1.50399 0.0113535
59650 5 1.50414 0.00879564
71580 6 1.51166 0.0104038
83510 7 1.51308 0.00890623
95440 8 1.52172 0.0115813
107370 9 1.52766 0.0118133
119300 10 1.52376 0.0112609
131230 11 1.51976 0.0109425
143160 12 1.51636 0.0105526
155090 13 1.51864 0.00996999
167020 14 1.5122 0.0112502
178950 15 1.51136 0.0105072
190880 16 1.50821 0.010321
202810 17 1.50784 0.00970213
214740 18 1.50679 0.00920762
226670 19 1.50567 0.00878123
238600 20 1.50763 0.0085601
250530 21 1.50884 0.00823091
262460 22 1.50953 0.00787844
274390 23 1.50837 0.00761724
286320 24 1.50722 0.00738326
298250 25 1.50528 0.00734163
310180 26 1.50676 0.00720706
322110 27 1.50591 0.00698719
334040 28 1.50593 0.00673306
345970 29 1.50443 0.00666865
357900 30 1.50357 0.00649928
369830 31 1.50451 0.00635547
381760 32 1.50598 0.00632722
393690 33 1.50308 0.00678345
405620 34 1.50371 0.00661137
417550 35 1.50335 0.00643007
429480 36 1.50152 0.00650943
441410 37 1.50178 0.00633607
453340 38 1.5016 0.0061695
465270 39 1.50189 0.00601619
477200 40 1.50189 0.00586386
489130 41 1.50184 0.00571922
501060 42 1.50002 0.00587251
512990 43 1.50015 0.00573594
524920 44 1.50105 0.00567491
536850 45 1.50148 0.00556437
548780 46 1.50067 0.00550224
560710 47 1.50093 0.00539011
572640 48 1.50167 0.00532911
584570 49 1.50128 0.00523372
596500 50 1.50107 0.00513231
608430 51 1.50025 0.00509785
620360 52 1.49986 0.00501374
632290 53 1.50088 0.00502136
644220 54 1.50179 0.00501125
656150 55 1.50185 0.00491967
668080 56 1.50151 0.00484262
680010 57 1.50125 0.00476445
691940 58 1.50032 0.00477289
703870 59 1.50076 0.00471264
715800 60 1.50057 0.0046377
727730 61 1.50056 0.00456105
739660 62 1.50072 0.00448974
751590 63 1.50078 0.00441838
763520 64 1.50077 0.00434882
775450 65 1.5009 0.00428342
787380 66 1.50143 0.00425142
799310 67 1.50189 0.00421273
811240 68 1.50233 0.00417377
823170 69 1.5017 0.00416062
835100 70 1.50194 0.00410736
847030 71 1.50139 0.00408541
858960 72 1.50236 0.00414225
870890 73 1.50142 0.00419098
882820 74 1.50219 0.00420411
894750 75 1.50248 0.00415814
906680 76 1.50189 0.00414496
918610 77 1.50117 0.0041542
930540 78 1.5008 0.00411703
942470 79 1.50057 0.00407135
954400 80 1.50053 0.00402035
966330 81 1.50068 0.00397343
978260 82 1.49971 0.00404199
990190 83 1.50026 0.00403068
1002120 84 1.4998 0.00400894
1014050 85 1.49941 0.00398113
1025980 86 1.49966 0.0039426
1037910 87 1.49953 0.00389922
1049840 88 1.49943 0.00385604
1061770 89 1.49984 0.00383463
1073700 90 1.49991 0.00379249
1085630 91 1.5002 0.00376184
1097560 92 1.49976 0.00374623
1109490 93 1.49963 0.00370812
1121420 94 1.50031 0.00373151
1133350 95 1.50067 0.00370954
1145280 96 1.50059 0.00367157
1157210 97 1.50008 0.00366942
1169140 98 1.50017 0.00363288
1181070 99 1.50001 0.00359957
1193000 100 1.49937 0.00362056
