# --- TSP Genetic Algorithm Run ---
# Number of Cities: 34
# Population Size: 200
# Total Generations: 200
# Map Shape: Circular
# ---------------------------------
Generation Rank Fitness City_1 City_2 City_3 City_4 City_5 City_6 City_7 City_8 City_9 City_10 City_11 City_12 City_13 City_14 City_15 City_16 City_17 City_18 City_19 City_20 City_21 City_22 City_23 City_24 City_25 City_26 City_27 City_28 City_29 City_30 City_31 City_32 City_33 City_34 City_35 
0 0 34.2458 1 10 4 17 23 28 29 26 33 31 25 16 20 21 30 11 34 13 9 3 22 6 7 18 14 8 12 19 5 27 15 24 2 32 1 
0 1 34.5505
0 2 35.2817
0 3 35.5274
0 4 35.842
0 5 35.925
0 6 36.0436
0 7 36.4269
0 8 36.7427
0 9 36.8609
0 10 36.9063
0 11 36.9286
0 12 37.005
0 13 37.3773
0 14 37.4834
0 15 37.5214
0 16 37.6142
0 17 37.6428
0 18 37.9256
0 19 37.9781
0 20 38.0279
0 21 38.0862
0 22 38.0919
0 23 38.1462
0 24 38.151
0 25 38.1738
0 26 38.2112
0 27 38.2316
0 28 38.255
0 29 38.3069
0 30 38.32
0 31 38.336
0 32 38.3777
0 33 38.539
0 34 38.7594
0 35 39.1189
0 36 39.1605
0 37 39.3062
0 38 39.4689
0 39 39.5211
0 40 39.6074
0 41 39.6346
0 42 39.755
0 43 39.7926
0 44 39.9516
0 45 40.0027
0 46 40.0382
0 47 40.1153
0 48 40.2546
0 49 40.307
0 50 40.3179
0 51 40.3493
0 52 40.3924
0 53 40.4607
0 54 40.5145
0 55 40.6963
0 56 40.8274
0 57 40.9487
0 58 41.046
0 59 41.1025
0 60 41.1063
0 61 41.1109
0 62 41.1418
0 63 41.2
0 64 41.2983
0 65 41.5183
0 66 41.5381
0 67 41.5621
0 68 41.6079
0 69 41.6565
0 70 41.7385
0 71 41.8098
0 72 41.8174
0 73 41.9043
0 74 41.9111
0 75 41.926
0 76 41.9781
0 77 42.0547
0 78 42.1686
0 79 42.192
0 80 42.2378
0 81 42.2828
0 82 42.2901
0 83 42.3542
0 84 42.3731
0 85 42.3963
0 86 42.403
0 87 42.4476
0 88 42.4747
0 89 42.5634
0 90 42.5822
0 91 42.628
0 92 42.7003
0 93 42.7042
0 94 42.7178
0 95 42.7251
0 96 42.8667
0 97 42.9442
0 98 42.9504
0 99 42.9706
0 100 43.0012
0 101 43.0801
0 102 43.206
0 103 43.2517
0 104 43.3817
0 105 43.4972
0 106 43.4989
0 107 43.6068
0 108 43.6736
0 109 43.6834
0 110 43.8013
0 111 43.8273
0 112 43.9109
0 113 43.929
0 114 44.0038
0 115 44.0246
0 116 44.1464
0 117 44.1484
0 118 44.3346
0 119 44.3609
0 120 44.3923
0 121 44.4358
0 122 44.4868
0 123 44.4908
0 124 44.5548
0 125 44.5641
0 126 44.5813
0 127 44.6749
0 128 44.7034
0 129 44.7535
0 130 44.7689
0 131 44.8641
0 132 44.9601
0 133 45.0362
0 134 45.0681
0 135 45.0698
0 136 45.0867
0 137 45.1461
0 138 45.2398
0 139 45.2444
0 140 45.2513
0 141 45.3163
0 142 45.3449
0 143 45.4935
0 144 45.5458
0 145 45.5461
0 146 45.5938
0 147 45.6919
0 148 45.8657
0 149 45.872
0 150 46.0034
0 151 46.0517
0 152 46.1308
0 153 46.1552
0 154 46.3204
0 155 46.37
0 156 46.392
0 157 46.395
0 158 46.4372
0 159 46.5508
0 160 46.5527
0 161 46.6114
0 162 46.6305
0 163 46.6498
0 164 46.6757
0 165 46.6903
0 166 46.7652
0 167 46.8388
0 168 46.8714
0 169 46.9038
0 170 46.9206
0 171 46.931
0 172 46.9533
0 173 47.0924
0 174 47.132
0 175 47.4628
0 176 47.5537
0 177 47.5901
0 178 47.5972
0 179 47.6957
0 180 47.7218
0 181 47.8498
0 182 48.2152
0 183 48.2235
0 184 48.5191
0 185 48.6354
0 186 48.8048
0 187 48.8552
0 188 48.8773
0 189 49.4633
0 190 49.5294
0 191 50.2976
0 192 50.4154
0 193 50.5148
0 194 50.8358
0 195 50.8705
0 196 50.9932
0 197 51.1948
0 198 51.5018
0 199 51.961
1 0 31.5398 1 24 32 10 8 14 7 33 3 34 16 17 2 21 28 18 31 30 15 12 13 25 27 29 5 20 9 6 4 23 11 26 22 19 1 
1 1 32.7834
1 2 33.1555
1 3 33.497
1 4 33.6112
1 5 34.0509
1 6 34.2319
1 7 34.2458
1 8 34.2458
1 9 34.2458
1 10 34.2458
1 11 34.2458
1 12 34.2458
1 13 34.2458
1 14 34.2458
1 15 34.2458
1 16 34.2458
1 17 34.2458
1 18 34.2458
1 19 34.2458
1 20 34.3356
1 21 34.408
1 22 34.5505
1 23 34.5505
1 24 34.5505
1 25 34.6006
1 26 34.6343
1 27 34.8095
1 28 34.8625
1 29 35.4767
1 30 35.4789
1 31 35.5274
1 32 35.5274
1 33 35.5541
1 34 35.6257
1 35 35.7725
1 36 35.8109
1 37 35.8923
1 38 36.0436
1 39 36.0436
1 40 36.0436
1 41 36.4269
1 42 36.4269
1 43 36.4333
1 44 36.525
1 45 36.6013
1 46 36.6289
