#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.5139     78.5139           0
           2     79.2175     78.8657    0.248766
           3     75.1446     77.6253     1.02623
           4     75.8393     77.1788    0.861352
           5     80.1214     77.7673     0.86713
           6     77.0427     77.6466    0.730971
           7     73.2553     77.0192    0.854332
           8      81.069     77.5255    0.884896
           9     80.9253     77.9032    0.863449
          10     83.2131     78.4342    0.926093
          11     83.7927     78.9213    0.961525
          12     78.9837     78.9265    0.881412
          13     77.5015     78.8169    0.820399
          14     75.0442     78.5474    0.804841
          15     83.9443     78.9072    0.827706
          16     83.5527     79.1976    0.825328
          17     84.8066     79.5275    0.840145
          18     71.7934     79.0978    0.896638
          19      80.332     79.1628    0.851796
          20     76.4382     79.0266    0.820027
          21     79.9695     79.0715    0.782206
          22     78.3597     79.0391     0.74732
          23     78.7785     79.0278    0.714914
          24     83.2144     79.2022    0.706088
          25     73.8903     78.9897    0.709093
          26     80.2727     79.0391    0.683535
          27     79.4854     79.0556    0.658419
          28      76.847     78.9767    0.639611
          29     77.2551     78.9174    0.620305
          30     78.3842     78.8996    0.599883
          31     72.3815     78.6893     0.61628
          32     79.8393     78.7253    0.598068
          33     77.3918     78.6849    0.581308
          34     82.6041     78.8001    0.575526
          35     83.2969     78.9286    0.573244
          36      76.626     78.8647    0.560877
          37     80.7865     78.9166    0.548118
          38     81.4172     78.9824     0.53763
          39     75.6145      78.896    0.530735
          40     78.2871     78.8808    0.517685
          41       82.38     78.9662    0.512045
          42     75.8494      78.892    0.505202
          43      85.742     79.0513    0.517961
          44     81.2136     79.1004    0.508515
          45     75.4656     79.0196    0.503589
          46     77.6704     78.9903    0.493495
          47     79.5347     79.0019    0.483131
          48     85.5035     79.1373    0.491687
          49     75.1038      79.055    0.488494
          50     81.0801     79.0955    0.480401
          51     84.2509     79.1966    0.481499
          52     81.7614     79.2459    0.474759
          53     78.4411     79.2307    0.466044
          54     81.0883     79.2651    0.458681
          55     81.8187     79.3116    0.452685
          56      77.975     79.2877     0.44523
          57     78.2588     79.2697    0.437785
          58     80.7058     79.2944    0.430936
          59     74.6842     79.2163    0.430659
          60     79.7297     79.2248    0.423566
          61     79.8378     79.2349    0.416741
          62     80.4549     79.2546    0.410484
          63      78.494     79.2425    0.404146
          64     85.0136     79.3327    0.407767
          65     83.0889     79.3905    0.405568
          66     83.4149     79.4514    0.403981
          67     84.3259     79.5242    0.404449
          68     80.3793     79.5368    0.398697
          69     81.5427     79.5658    0.393977
          70     79.4612     79.5643    0.388352
          71     81.5507     79.5923    0.383888
          72     84.7829     79.6644    0.385266
          73     73.5607     79.5808    0.388956
          74     82.3428     79.6181    0.385486
          75     76.3212     79.5742    0.382844
          76     77.4053     79.5456    0.378869
          77     77.3614     79.5173    0.375009
          78      83.419     79.5673    0.373523
          79     74.2646     79.5002    0.374777
          80     77.0801     79.4699    0.371311
          81     81.0862     79.4899    0.367263
          82     77.5911     79.4667    0.363513
          83     85.4354     79.5386    0.366177
          84     81.5727     79.5628    0.362618
          85     76.7937     79.5302    0.359812
          86     79.8139     79.5335    0.355644
          87     80.1314     79.5404    0.351622
          88     76.7572     79.5088    0.349046
          89     84.0903     79.5603    0.348899
          90     75.7776     79.5182    0.347545
          91     78.5576     79.5077    0.343886
          92     82.8279     79.5438    0.342037
          93     78.6019     79.5336    0.338509
          94     73.8369      79.473    0.340289
          95     80.1701     79.4804    0.336786
          96     75.2622     79.4364    0.336132
          97     77.2203     79.4136    0.333443
          98     81.3743     79.4336     0.33064
          99     83.4018     79.4737    0.329721
         100     77.3604     79.4525      0.3271
