#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.31826     7.31826           0
           2     7.34296     7.33061  0.00873418
           3     7.52976     7.39699   0.0545153
           4     7.96491     7.53897    0.129577
           5     7.51689     7.53456    0.103737
           6     7.54997     7.53712   0.0864791
           7     7.24499     7.49539   0.0835904
           8     7.17041     7.45477   0.0824233
           9     7.48775     7.45843   0.0733466
          10     7.61478     7.47407   0.0676579
          11     7.29342     7.45765   0.0634691
          12     7.39968     7.45282   0.0583635
          13     7.23512     7.43607    0.056225
          14     7.45598     7.43749   0.0522269
          15     8.00576     7.47538   0.0609559
          16     7.38997     7.47004   0.0573794
          17     7.28217     7.45899    0.055058
          18     7.41816     7.45672   0.0520459
          19     7.69512     7.46927   0.0507967
          20     7.59746     7.47568   0.0486596
          21     7.11168     7.45834   0.0493331
          22     7.26707     7.44965   0.0478507
          23     7.31539     7.44381   0.0461249
          24     7.35143     7.43996   0.0443633
          25     7.36862     7.43711   0.0426805
          26     7.54023     7.44107   0.0412228
          27     7.47216     7.44223   0.0397121
          28     7.61416     7.44837   0.0387656
          29     7.50886     7.45045    0.037485
          30     7.65004     7.45711   0.0368211
          31     7.35184     7.45371   0.0357896
          32     7.59494     7.45812   0.0349422
          33     7.47926     7.45876   0.0338892
          34     7.59577     7.46279   0.0331312
          35     7.37399     7.46026   0.0322816
          36     7.01056     7.44776   0.0337152
          37     7.28294     7.44331   0.0330969
          38     7.68902     7.44978   0.0328515
          39     6.88879     7.43539    0.035017
          40     7.42184     7.43505   0.0341432
          41     7.32694     7.43242   0.0334121
          42     7.09906     7.42448   0.0335461
          43     7.26601     7.42079   0.0329677
          44     7.66126     7.42626   0.0326683
          45     7.50057     7.42791    0.031984
          46     7.16461     7.42219   0.0317968
          47     6.81159      7.4092   0.0336698
          48      7.0633     7.40199   0.0337307
          49     7.66805     7.40742   0.0334765
          50     7.85684     7.41641   0.0339923
          51     7.67028     7.42139   0.0336883
          52     7.33269     7.41968   0.0330836
          53     7.69381     7.42485   0.0328612
          54     7.53354     7.42686   0.0323142
          55      7.0597     7.42019   0.0324089
          56     7.30801     7.41819    0.031892
          57     7.51243     7.41984   0.0313754
          58     7.43773     7.42015   0.0308359
          59     7.30617     7.41822   0.0303737
          60     7.24305      7.4153   0.0300075
          61     7.15376     7.41101   0.0298203
          62     7.44322     7.41153   0.0293438
          63     7.31954     7.41007   0.0289144
          64     7.81108     7.41633   0.0291336
          65     6.76292     7.40628   0.0303702
          66     7.85185     7.41303   0.0306512
          67     7.61236     7.41601   0.0303378
          68     7.17337     7.41244   0.0301007
          69     7.48272     7.41346   0.0296817
          70     7.18874     7.41025   0.0294308
          71     7.83595     7.41624   0.0296207
          72     7.55198     7.41813   0.0292693
          73     7.55955     7.42007   0.0289323
          74     7.22878     7.41748   0.0286566
          75       7.353     7.41662   0.0282874
          76     7.22618     7.41412    0.028026
          77     7.70616     7.41791   0.0279175
          78     7.68104     7.42128   0.0277626
          79     7.22296     7.41877   0.0275245
          80     7.11128     7.41493   0.0274475
          81     7.33075     7.41389   0.0271283
          82     7.43111      7.4141   0.0267983
          83     7.59214     7.41624   0.0265611
          84     6.88509     7.40992   0.0269871
          85     7.99369     7.41679   0.0275296
          86     7.32521     7.41572   0.0272301
          87     7.91849      7.4215   0.0275235
          88     7.05095     7.41729   0.0275309
          89     7.28896     7.41585   0.0272593
          90     7.46151     7.41636   0.0269612
          91     7.28876     7.41495   0.0267013
          92     7.32846     7.41401   0.0264276
          93     7.41542     7.41403   0.0261435
          94     7.16181     7.41135   0.0260027
          95     7.31697     7.41035   0.0257479
          96     7.38467     7.41009   0.0254811
          97     7.23906     7.40832   0.0252794
          98     7.40409     7.40828   0.0250214
          99     7.36823     7.40787    0.024772
         100     7.58003      7.4096    0.024584
