#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.52   -0.455901  0.00952742
         162       -0.36   -0.455309  0.00948698
         163       -0.28   -0.454233  0.00948955
         164        -0.6   -0.455122  0.00947322
         165        -0.6      -0.456  0.00945641
         166       -0.36   -0.455422  0.00941711
         167       -0.44   -0.455329  0.00936117
         168       -0.44   -0.455238   0.0093059
         169       -0.44   -0.455148  0.00925127
         170       -0.44   -0.455059  0.00919728
         171       -0.44   -0.454971  0.00914392
         172       -0.76   -0.456744  0.00926113
         173       -0.68   -0.458035  0.00929708
         174       -0.68    -0.45931  0.00933075
         175       -0.76   -0.461029  0.00943431
         176       -0.44   -0.460909  0.00938146
         177       -0.28   -0.459887  0.00938397
         178       -0.36   -0.459326  0.00934802
         179       -0.44   -0.459218  0.00929642
         180       -0.44   -0.459111  0.00924538
         181       -0.52   -0.459448  0.00920042
         182       -0.28   -0.458462  0.00920255
         183       -0.44   -0.458361  0.00915281
         184       -0.36   -0.457826  0.00911867
         185       -0.44    -0.45773  0.00906989
         186       -0.04   -0.455484  0.00929502
         187       -0.36   -0.454973  0.00925933
         188       -0.52   -0.455319  0.00921654
         189        -0.6   -0.456085  0.00919951
         190       -0.36   -0.455579  0.00916498
         191       -0.52   -0.455916   0.0091232
         192       -0.28      -0.455  0.00912157
         193       -0.28   -0.454093  0.00911927
         194       -0.28   -0.453196  0.00911631
         195       -0.52   -0.453538  0.00907599
         196       -0.36   -0.453061  0.00904223
         197        -0.2   -0.451777  0.00908711
         198       -0.52   -0.452121  0.00904775
         199       -0.52   -0.452462  0.00900871
         200        -0.6     -0.4532  0.00899382
         201       -0.52   -0.453532  0.00895521
         202       -0.28   -0.452673  0.00895199
         203       -0.44   -0.452611  0.00890811
         204       -0.52   -0.452941  0.00887057
         205        -0.6   -0.453659  0.00885625
         206       -0.52   -0.453981  0.00881912
         207       -0.36   -0.453527  0.00878819
         208       -0.28   -0.452692  0.00878545
         209       -0.52   -0.453014  0.00874931
         210       -0.44   -0.452952  0.00870787
         211       -0.44   -0.452891  0.00866682
         212       -0.36   -0.452453    0.008637
         213       -0.52    -0.45277  0.00860227
         214       -0.68   -0.453832  0.00862736
         215        -0.6   -0.454512  0.00861398
         216       -0.68   -0.455556  0.00863712
         217       -0.44   -0.455484  0.00859762
         218       -0.44   -0.455413  0.00855847
         219       -0.36   -0.454977  0.00853048
         220       -0.44   -0.454909  0.00849197
         221       -0.52   -0.455204  0.00845865
         222       -0.52   -0.455495  0.00842559
         223        -0.6   -0.456143  0.00841268
         224       -0.36   -0.455714  0.00838607
         225       -0.28   -0.454933  0.00838508
         226       -0.28   -0.454159  0.00838363
         227        -0.2    -0.45304  0.00842113
         228       -0.36   -0.452632  0.00839408
         229       -0.44   -0.452576   0.0083576
         230       -0.52    -0.45287  0.00832641
         231       -0.52    -0.45316  0.00829543
         232       -0.44   -0.453103  0.00825987
         233       -0.68   -0.454077  0.00828162
         234       -0.52   -0.454359  0.00825102
         235       -0.44   -0.454298  0.00821614
         236       -0.36   -0.453898  0.00819103
         237       -0.36   -0.453502  0.00816605
         238       -0.52   -0.453782  0.00813652
         239       -0.44   -0.453724  0.00810268
         240       -0.28      -0.453  0.00810118
         241       -0.28   -0.452282  0.00809931
