#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         170        0.08        0.06   0.0135053
         171        0.04    0.059883   0.0134269
         172           0   0.0595349   0.0133533
         173       -0.16   0.0582659   0.0133363
         174       -0.04   0.0577011   0.0132716
         175       -0.12   0.0566857   0.0132346
         176        0.08   0.0568182     0.01316
         177       -0.04   0.0562712    0.013097
         178       -0.16   0.0550562   0.0130797
         179       -0.16   0.0538547   0.0130617
         180       -0.16   0.0526667    0.013043
         181       -0.04   0.0521547    0.012981
         182       -0.08   0.0514286     0.01293
         183       -0.08   0.0507104   0.0128793
         184        0.04   0.0506522   0.0128094
         185        -0.2   0.0492973   0.0128116
         186           0   0.0490323   0.0127455
         187        -0.2   0.0477005   0.0127467
         188       -0.24   0.0461702   0.0127704
         189       -0.44   0.0435979   0.0129593
         190       -0.28   0.0418947   0.0130026
         191       -0.32        0.04   0.0130718
         192       -0.12   0.0391667   0.0130303
         193           0   0.0389637   0.0129643
         194        0.04   0.0389691   0.0128975
         195       -0.04   0.0385641   0.0128377
         196       -0.08   0.0379592   0.0127865
         197       -0.12   0.0371574   0.0127467
         198       -0.08   0.0365657    0.012696
         199       -0.24   0.0351759   0.0127081
         200       -0.16      0.0342   0.0126819
         201       -0.16   0.0332338   0.0126556
         202       -0.12   0.0324752   0.0126157
         203       -0.12   0.0317241   0.0125759
         204       -0.12   0.0309804   0.0125362
         205       -0.08    0.030439   0.0124867
         206        -0.2   0.0293204   0.0124761
         207           0   0.0291787   0.0124166
         208       -0.04   0.0288462   0.0123614
         209       -0.08   0.0283254   0.0123132
         210        0.24   0.0293333   0.0122958
         211        0.04   0.0293839   0.0122376
         212        0.12   0.0298113   0.0121873
         213        0.12   0.0302347   0.0121375
         214           0   0.0300935   0.0120816
         215       -0.04   0.0297674   0.0120298
         216       -0.36    0.027963   0.0121087
         217        -0.2   0.0269124   0.0120984
         218       -0.04   0.0266055   0.0120468
         219       -0.12   0.0259361   0.0120103
         220        -0.4       0.024   0.0121108
         221        -0.4   0.0220814    0.012207
         222       -0.36   0.0203604   0.0122727
         223       -0.16   0.0195516   0.0122443
         224       -0.12   0.0189286   0.0122055
         225       -0.04   0.0186667   0.0121541
         226         0.2    0.019469   0.0121267
         227           0   0.0193833   0.0120736
         228        0.04   0.0194737    0.012021
         229        0.28   0.0206114   0.0120222
         230        0.12   0.0210435   0.0119777
         231       -0.08   0.0206061   0.0119339
         232       -0.12        0.02   0.0118978
         233       -0.16   0.0192275   0.0118718
         234        -0.4   0.0174359   0.0119555
         235        -0.2   0.0165106   0.0119404
         236       -0.24   0.0154237   0.0119391
         237        -0.2   0.0145148   0.0119233
         238        0.28   0.0156303   0.0119253
         239         0.2   0.0164017   0.0119003
         240        0.08   0.0166667   0.0118537
         241           0   0.0165975   0.0118047
         242        -0.2   0.0157025   0.0117898
         243       -0.24   0.0146502   0.0117881
         244        0.12    0.015082   0.0117477
         245       -0.08   0.0146939   0.0117062
         246        -0.2   0.0138211   0.0116911
         247       -0.36   0.0123077   0.0117413
