#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         161     1.47881   -0.918275    0.213981
         162     1.47647   -0.903492     0.21317
         163     1.47368   -0.888908    0.212361
         164     1.47066   -0.874521    0.211552
         165     1.46835   -0.860321    0.210746
         166     1.46556    -0.84631    0.209942
         167      1.4613   -0.832492    0.209139
         168     1.45752   -0.818861    0.208338
         169     1.45329   -0.805416    0.207539
         170     1.44935   -0.792153    0.206741
         171     1.44574   -0.779066    0.205946
         172     1.44205   -0.766152    0.205153
         173     1.43857   -0.753408    0.204363
         174     1.43442   -0.740835    0.203575
         175     1.43111   -0.728424    0.202789
         176     1.42751   -0.716174    0.202007
         177     1.42417   -0.704082    0.201227
         178     1.42046   -0.692146     0.20045
         179     1.41861   -0.680354    0.199677
         180     1.41652   -0.668705    0.198907
         181     1.41521   -0.657191    0.198141
         182     1.41497   -0.645806    0.197379
         183     1.41414   -0.634549    0.196621
         184     1.41421   -0.623415    0.195868
         185     1.41637   -0.612389    0.195119
         186     1.41824   -0.601472    0.194375
         187     1.42149   -0.590654    0.193637
         188     1.42465   -0.579934    0.192903
         189     1.42818   -0.569309    0.192175
         190     1.43204   -0.558775    0.191452
         191     1.43714   -0.548326    0.190735
         192     1.44271   -0.537956    0.190023
         193     1.44772   -0.527667    0.189317
         194     1.45381   -0.517453    0.188616
         195     1.46113   -0.507307    0.187921
         196     1.46817   -0.497228    0.187233
         197     1.47464   -0.487218     0.18655
         198     1.48166   -0.477275    0.185872
         199     1.48796   -0.467399    0.185201
         200     1.49421   -0.457591    0.184534
         201     1.50081   -0.447848    0.183873
         202     1.50675   -0.438171    0.183217
         203     1.51245   -0.428563    0.182566
         204      1.5181    -0.41902    0.181921
         205     1.52365   -0.409544     0.18128
         206     1.52858   -0.400135    0.180644
         207     1.53332   -0.390795    0.180013
         208     1.53759   -0.381524    0.179386
         209     1.54136   -0.372323    0.178763
         210     1.54483   -0.363194    0.178145
         211     1.54723    -0.35414    0.177531
         212     1.54999   -0.345158     0.17692
         213      1.5509   -0.336257    0.176313
         214     1.55088   -0.327438     0.17571
         215     1.55062   -0.318703     0.17511
         216     1.54889   -0.310057    0.174512
         217     1.54732   -0.301497    0.173918
         218     1.54492   -0.293028    0.173326
         219     1.54212   -0.284648    0.172737
         220     1.53794   -0.276363    0.172151
         221     1.53209    -0.26818    0.171566
         222     1.52648   -0.260096    0.170983
         223     1.51915   -0.252118    0.170403
         224     1.51107   -0.244246    0.169824
         225     1.50125   -0.236489    0.169246
         226     1.49067   -0.228846     0.16867
         227     1.47981   -0.221319    0.168094
         228     1.46824   -0.213909     0.16752
         229     1.45502   -0.206621    0.166947
         230      1.4407   -0.199459    0.166375
         231      1.4263   -0.192421    0.165804
         232     1.41119   -0.185509    0.165233
         233     1.39424   -0.178729    0.164663
         234     1.37677   -0.172081    0.164093
         235     1.35912   -0.165565    0.163524
         236     1.34117   -0.159181    0.162956
         237     1.32327   -0.152926    0.162389
         238     1.30555   -0.146798    0.161822
         239     1.28789   -0.140795    0.161256
         240     1.27062   -0.134914    0.160691
         241     1.25314   -0.129154    0.160128
         242     1.23603   -0.123513    0.159565
         243      1.2189   -0.117989    0.159004
         244     1.20328   -0.112574    0.158445
         245     1.18756   -0.107267    0.157887
         246     1.17324   -0.102062    0.157331
         247     1.15868  -0.0969576    0.156777
         248     1.14538  -0.0919482    0.156225
         249     1.13336  -0.0870273    0.155675
         250     1.12215  -0.0821906    0.155127
         251     1.11201  -0.0774328    0.154582
         252     1.10197  -0.0727526    0.154039
         253     1.09203  -0.0681487    0.153499
         254     1.08433  -0.0636114    0.152962
         255     1.07764  -0.0591359    0.152428
         256     1.07099  -0.0547214    0.151896
         257      1.0653  -0.0503633    0.151368
         258     1.05933  -0.0460622    0.150842
         259      1.0545  -0.0418129    0.150319
         260     1.05052  -0.0376116      0.1498
         261     1.04711  -0.0334556    0.149284
         262     1.04375  -0.0293441    0.148771
         263     1.04209  -0.0252703    0.148261
         264      1.0404  -0.0212336    0.147754
         265     1.03937  -0.0172314    0.147251
         266     1.03872  -0.0132616    0.146751
         267     1.03794  -0.0093245    0.146254
         268     1.03724 -0.00541942     0.14576
         269     1.03682 -0.00154492     0.14527
         270     1.03667  0.00230031    0.144783
         271     1.03723  0.00611924    0.144299
         272     1.03729  0.00991029    0.143818
         273     1.03778   0.0136754     0.14334
