#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.42218     1.54354    0.018005
         148     1.43166     1.54279   0.0178992
         149     1.44185     1.54211   0.0177919
         150     1.42952     1.54136   0.0176891
         151     1.43421     1.54065   0.0175862
         152     1.43957     1.53998   0.0174831
         153     1.44244     1.53935   0.0173804
         154     1.43847     1.53869   0.0172799
         155     1.40275     1.53782   0.0171907
         156     1.39906     1.53693   0.0171035
         157     1.39404     1.53602   0.0170187
         158     1.37431     1.53499   0.0169418
         159     1.36166      1.5339   0.0168703
         160     1.36361     1.53284   0.0167984
         161     1.33626     1.53162   0.0167383
         162       1.349     1.53049   0.0166729
         163     1.37328     1.52953   0.0165985
         164     1.36642     1.52853   0.0165271
         165     1.38207     1.52764   0.0164507
         166      1.3724     1.52671   0.0163782
         167     1.35892      1.5257   0.0163109
         168      1.3674     1.52476    0.016241
         169     1.35237     1.52374   0.0161769
         170     1.36558     1.52281   0.0161085
         171     1.36484     1.52189   0.0160407
         172     1.37503     1.52103   0.0159702
         173     1.37118     1.52017   0.0159013
         174     1.37564     1.51934   0.0158316
         175     1.37925     1.51854   0.0157614
         176     1.38134     1.51776   0.0156911
         177     1.37979     1.51698   0.0156218
         178     1.37435     1.51618   0.0155546
         179     1.36767     1.51535   0.0154898
         180     1.36288      1.5145   0.0154269
         181     1.35704     1.51363   0.0153662
         182      1.3413     1.51268   0.0153109
         183     1.34455     1.51176   0.0152547
         184     1.34985     1.51088   0.0151972
         185     1.34388     1.50998   0.0151418
         186     1.37287     1.50924   0.0150784
         187     1.38207     1.50856   0.0150131
         188     1.34947     1.50772    0.014957
         189     1.36166     1.50694   0.0148979
         190     1.35662     1.50615   0.0148404
         191     1.37265     1.50545   0.0147792
         192     1.36707     1.50473   0.0147198
         193     1.35401     1.50395   0.0146642
         194     1.34751     1.50315   0.0146108
         195     1.34283     1.50232    0.014559
         196     1.33681     1.50148   0.0145092
         197     1.34372     1.50068   0.0144576
         198     1.37046     1.50002   0.0143995
         199     1.34197     1.49923    0.014349
         200     1.37084     1.49858   0.0142916
         201     1.36434     1.49792   0.0142361
         202     1.36336     1.49725   0.0141812
         203     1.38312     1.49669   0.0141225
         204     1.41441     1.49628   0.0140591
         205     1.39459     1.49579   0.0139992
         206     1.41258     1.49538   0.0139371
         207     1.39528      1.4949   0.0138781
         208     1.35913     1.49425   0.0138268
         209     1.37906      1.4937   0.0137716
         210       1.339     1.49296   0.0137257
         211     1.36198     1.49234   0.0136747
         212     1.36013     1.49172   0.0136244
         213     1.38717     1.49123   0.0135693
         214      1.3857     1.49073   0.0135148
         215     1.39484     1.49029   0.0134593
         216     1.37671     1.48976   0.0134073
         217     1.41204      1.4894   0.0133503
         218     1.40946     1.48904   0.0132941
         219     1.39836     1.48862   0.0132398
         220     1.40842     1.48826   0.0131846
         221     1.39938     1.48786   0.0131311
         222     1.40054     1.48746   0.0130779
         223     1.37056     1.48694   0.0130297
         224     1.37788     1.48645   0.0129806
         225     1.33778     1.48579   0.0129397
         226     1.33663     1.48513   0.0128993
         227     1.32733     1.48443   0.0128612
         228     1.31203     1.48368    0.012827
         229     1.31004     1.48292   0.0127934
         230      1.3184     1.48221   0.0127577
         231     1.31096     1.48146    0.012724
         232     1.32077     1.48077    0.012688
         233     1.32547      1.4801   0.0126511
         234     1.34076     1.47951    0.012611
         235     1.31284      1.4788   0.0125773
         236     1.32598     1.47815   0.0125406
         237     1.32819     1.47752   0.0125037
         238      1.3156     1.47684   0.0124696
         239     1.32907     1.47622   0.0124328
         240     1.31618     1.47555   0.0123988
         241     1.31394     1.47488   0.0123655
         242     1.32075     1.47425   0.0123308
         243     1.33235     1.47366   0.0122939
         244     1.34127     1.47312   0.0122555
         245     1.35196     1.47263   0.0122154
         246     1.36972     1.47221   0.0121729
         247     1.37105      1.4718   0.0121305
         248     1.39333     1.47148   0.0120857
         249     1.39186     1.47116   0.0120414
         250     1.37882     1.47079   0.0119989
         251     1.37467     1.47041   0.0119572
         252     1.36915     1.47001   0.0119165
         253     1.34618     1.46952   0.0118795
         254     1.35392     1.46906   0.0118414
         255     1.35931     1.46863   0.0118028
         256     1.34761     1.46816   0.0117662
         257      1.3772     1.46781   0.0117257
         258     1.38223     1.46747    0.011685
         259     1.41041     1.46725   0.0116419
         260     1.39188     1.46696   0.0116007
         261     1.39353     1.46668   0.0115597
         262     1.38998     1.46639   0.0115193
         263      1.3675     1.46601   0.0114816
         264     1.35825     1.46561   0.0114454
         265     1.36449     1.46522   0.0114086
         266     1.33399     1.46473   0.0113763
         267     1.34871      1.4643    0.011342
         268     1.34793     1.46386    0.011308
         269       1.339      1.4634   0.0112755
         270     1.35372     1.46299    0.011241
         271      1.3666     1.46264   0.0112052
         272     1.37261      1.4623   0.0111689
         273     1.36259     1.46194   0.0111339
         274     1.37068     1.46161   0.0110983
         275     1.33979     1.46116   0.0110668
         276     1.35147     1.46077   0.0110338
         277     1.32509     1.46028   0.0110048
         278      1.3342     1.45982   0.0109746
         279     1.32624     1.45934   0.0109457
         280     1.33106     1.45889   0.0109162
         281     1.34216     1.45847   0.0108852
         282     1.33617     1.45804   0.0108553
         283     1.36432     1.45771    0.010822
         284     1.35402     1.45734     0.01079
         285     1.36509     1.45702    0.010757
         286      1.3676      1.4567   0.0107239
         287     1.36903      1.4564   0.0106909
         288      1.3601     1.45606    0.010659
         289     1.37351     1.45578    0.010626
         290     1.34517      1.4554   0.0105962
         291     1.35937     1.45507   0.0105649
         292     1.35694     1.45473   0.0105341
         293     1.34477     1.45436   0.0105048
         294     1.33509     1.45395   0.0104769
         295     1.34206     1.45357   0.0104482
         296     1.30521     1.45307    0.010425
         297     1.30965     1.45259    0.010401
         298      1.2933     1.45205   0.0103799
         299     1.27736     1.45147   0.0103616
         300     1.29455     1.45095   0.0103402
         301     1.28199     1.45038   0.0103211
         302     1.29172     1.44986   0.0103003
         303     1.31085      1.4494   0.0102765
         304     1.30517     1.44893   0.0102537
         305     1.31742     1.44849   0.0102291
         306     1.32602     1.44809   0.0102035
         307     1.32247     1.44768   0.0101785
         308     1.33789     1.44733   0.0101517
