# VELOCITY:     ACTUAL_POFV:
         0.2   0.0231481
         0.6   0.0685185
           1    0.261111
         1.4    0.330093
         1.8    0.502315
         2.2    0.358796
         2.6    0.359259
           3    0.230556
         3.4    0.187037
         3.8       0.125
         4.2   0.0402778
         4.6   0.0138889
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
