#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.47349    -5.93542      0.0455
         153    -5.47423     -5.9324   0.0453023
         154    -5.47538    -5.92943   0.0451052
         155    -5.47619    -5.92651   0.0449089
         156    -5.47667    -5.92363   0.0447135
         157    -5.47697    -5.92078   0.0445191
         158    -5.47757    -5.91798   0.0443257
         159    -5.47818    -5.91521   0.0441331
         160    -5.47865    -5.91248   0.0439415
         161    -5.47914    -5.90979    0.043751
         162    -5.48013    -5.90714   0.0435612
         163    -5.48132    -5.90453   0.0433722
         164    -5.48257    -5.90195    0.043184
         165    -5.48328    -5.89942   0.0429968
         166    -5.48422    -5.89691   0.0428104
         167    -5.48598    -5.89445   0.0426248
         168    -5.48737    -5.89203   0.0424399
         169    -5.48896    -5.88965   0.0422557
         170    -5.49032     -5.8873   0.0420724
         171    -5.49141    -5.88498     0.04189
         172    -5.49253     -5.8827   0.0417085
         173    -5.49351    -5.88045   0.0415281
         174    -5.49492    -5.87823   0.0413485
         175    -5.49584    -5.87605   0.0411699
         176    -5.49701     -5.8739   0.0409923
         177    -5.49808    -5.87177   0.0408156
         178     -5.4995    -5.86968   0.0406399
         179    -5.49988    -5.86762   0.0404653
         180    -5.50055    -5.86558   0.0402918
         181     -5.5009    -5.86356   0.0401196
         182    -5.50076    -5.86157   0.0399486
         183    -5.50117     -5.8596   0.0397788
         184    -5.50122    -5.85765   0.0396103
         185    -5.50015    -5.85572   0.0394433
         186    -5.49947     -5.8538   0.0392777
         187    -5.49812     -5.8519   0.0391137
         188    -5.49702    -5.85001   0.0389512
         189    -5.49587    -5.84814   0.0387901
         190    -5.49468    -5.84628   0.0386306
         191    -5.49288    -5.84443   0.0384726
         192    -5.49093    -5.84259   0.0383162
         193    -5.48945    -5.84076   0.0381614
         194     -5.4874    -5.83894   0.0380081
         195    -5.48467    -5.83712   0.0378566
         196    -5.48217    -5.83531   0.0377067
         197    -5.48008    -5.83351   0.0375584
         198    -5.47768    -5.83171   0.0374117
         199    -5.47572    -5.82992   0.0372664
         200    -5.47378    -5.82814   0.0371226
         201    -5.47159    -5.82637   0.0369803
         202    -5.46976     -5.8246   0.0368393
         203      -5.468    -5.82284   0.0366997
         204    -5.46618    -5.82109   0.0365615
         205    -5.46432    -5.81935   0.0364245
         206    -5.46274    -5.81762   0.0362888
         207    -5.46114     -5.8159   0.0361543
         208    -5.45969    -5.81419    0.036021
         209    -5.45839    -5.81249   0.0358889
         210    -5.45711    -5.81079   0.0357579
         211    -5.45631    -5.80911   0.0356279
         212    -5.45509    -5.80744   0.0354989
