#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      2.0226      2.0283  0.00290676
         169     2.06581     2.02852  0.00289802
         170     2.08987     2.02889  0.00290335
         171     2.06472      2.0291  0.00289392
         172     2.05899     2.02927  0.00288231
         173     2.03739     2.02932  0.00286604
         174     2.01817     2.02925  0.00285028
         175     2.02058      2.0292  0.00283442
         176      1.9951     2.02901  0.00282493
         177     1.98567     2.02876  0.00281957
         178     1.95739     2.02836  0.00283209
         179     1.97128     2.02804  0.00283417
         180     1.99128     2.02784  0.00282578
         181     2.00868     2.02773  0.00281215
         182     1.97541     2.02745  0.00281135
         183     1.96467      2.0271  0.00281684
         184     1.99141     2.02691   0.0028082
         185     1.98471     2.02668  0.00280227
         186     1.96196     2.02633  0.00280872
         187     1.98375     2.02611  0.00280292
         188     1.99224     2.02593  0.00279379
         189     1.98519     2.02571  0.00278731
         190     1.97149     2.02542  0.00278721
         191     1.95512     2.02506  0.00279682
         192      1.9605     2.02472  0.00280239
         193      1.9703     2.02444  0.00280202
         194     1.97788      2.0242  0.00279783
         195     1.94676      2.0238  0.00281153
         196      1.9412     2.02338  0.00282859
         197     1.95305     2.02302  0.00283667
         198     1.95171     2.02266  0.00284512
         199     1.98254     2.02246  0.00283796
         200      1.9894      2.0223  0.00282858
         201     1.98056     2.02209  0.00282212
         202     1.99997     2.02198  0.00281027
         203     1.99202     2.02183   0.0028003
         204     1.96695     2.02156  0.00279946
         205     1.97928     2.02136   0.0027934
         206     1.96734     2.02109  0.00279212
         207      1.9289     2.02065  0.00281393
         208     1.91113     2.02012  0.00284924
         209     1.90008     2.01955  0.00289291
         210     1.91138     2.01903  0.00292463
         211     1.93448     2.01863   0.0029381
         212     1.90753     2.01811  0.00297061
         213     1.89431     2.01753  0.00301299
         214     1.89136     2.01694  0.00305605
         215      1.9247     2.01651   0.0030718
         216     1.95935     2.01624  0.00306895
         217     1.96319       2.016  0.00306453
         218     1.93485     2.01563    0.003073
         219     1.93371     2.01525  0.00308164
         220     1.92536     2.01484  0.00309461
         221     1.91591      2.0144  0.00311282
         222     1.89643     2.01386  0.00314382
         223     1.87868     2.01326  0.00318763
         224     1.87387     2.01264  0.00323357
         225     1.88627     2.01207  0.00326761
         226      1.9132     2.01164   0.0032823
         227     1.93113     2.01128  0.00328695
         228     1.94901     2.01101  0.00328386
         229     1.95938     2.01078  0.00327725
         230     1.95838     2.01056  0.00327092
         231     1.95006     2.01029  0.00326722
         232     1.93011     2.00995  0.00327137
         233     1.91234     2.00953  0.00328404
         234     1.91528     2.00913  0.00329461
         235      1.9175     2.00874  0.00330359
         236     1.90079     2.00828   0.0033211
         237     1.91266     2.00788  0.00333151
         238     1.96134     2.00768  0.00332324
         239     1.97739     2.00755  0.00331175
         240     1.95999     2.00736  0.00330388
         241     1.95783     2.00715  0.00329655
         242     1.92813     2.00682  0.00329906
         243     1.95081     2.00659  0.00329352
         244     1.94976     2.00636  0.00328825
         245        1.96     2.00617  0.00328027
         246     1.93676     2.00589  0.00327905
         247     1.96741     2.00573  0.00326947
         248     1.96247     2.00556  0.00326094
         249     1.91639      2.0052  0.00326745
         250     1.88584     2.00472  0.00328907
         251     1.90098     2.00431  0.00330184
         252     1.91657     2.00396  0.00330704
         253     1.89569     2.00353  0.00332155
         254     1.90272     2.00314   0.0033321
         255      1.9164      2.0028  0.00333635
         256     1.92077     2.00248  0.00333866
         257     1.96335     2.00232  0.00332914
         258     1.99378     2.00229   0.0033164
         259     1.99825     2.00227  0.00330364
         260     1.98431     2.00221  0.00329165
         261      1.9677     2.00207  0.00328169
         262     1.95601      2.0019  0.00327387
         263     1.97262     2.00179  0.00326332
         264     2.02542     2.00188  0.00325219
         265     2.04388     2.00203  0.00324377
         266      2.0484     2.00221  0.00323626
         267     2.05379      2.0024   0.0032299
         268     2.07134     2.00266  0.00322807
         269     2.08501     2.00297  0.00323056
         270     2.07864     2.00325  0.00323073
         271     2.03252     2.00335  0.00322061
         272     1.98985      2.0033  0.00320915
         273     2.01634     2.00335  0.00319776
         274     2.04394      2.0035  0.00318951
         275     2.04987     2.00367  0.00318237
         276     2.03626     2.00379  0.00317303
         277     2.00349     2.00379  0.00316157
         278      1.9531      2.0036  0.00315545
         279     1.92725     2.00333  0.00315599
         280     1.91324     2.00301  0.00316108
         281     1.92635     2.00273  0.00316158
         282     1.90576     2.00239  0.00316901
         283      1.9072     2.00205  0.00317562
         284     1.90816     2.00172   0.0031816
         285     1.92913     2.00147  0.00318061
         286     1.94516     2.00127  0.00317558
         287     1.94421     2.00107  0.00317073
         288     1.93625     2.00085   0.0031677
         289      1.9343     2.00062   0.0031651
         290     1.93322     2.00039  0.00316271
         291     1.91702      2.0001  0.00316479
         292     1.88224      1.9997  0.00317958
         293     1.91444      1.9994  0.00318202
         294     1.93121     1.99917  0.00317964
         295      1.9416     1.99898  0.00317484
         296     1.95036     1.99881  0.00316836
         297     1.94595     1.99864  0.00316269
         298     1.98671      1.9986  0.00315233
         299     2.00894     1.99863  0.00314198
         300     2.05777     1.99883  0.00313768
         301     2.05125       1.999  0.00313209
         302     2.03555     1.99912  0.00312405
         303     1.99837     1.99912  0.00311374
         304     1.96998     1.99902  0.00310498
         305     1.95122     1.99887  0.00309875
         306     1.96325     1.99875  0.00309081
         307     1.96486     1.99864  0.00308271
         308     1.96805     1.99854   0.0030743
         309     1.96396     1.99843  0.00306639
         310     1.98065     1.99837  0.00305703
         311     2.00059     1.99838  0.00304721
         312     2.00199     1.99839  0.00303746
         313     1.99153     1.99837  0.00302784
         314      1.9925     1.99835  0.00301825
         315     1.98527     1.99831  0.00300896
         316       1.956     1.99817  0.00300241
         317      1.9399     1.99799  0.00299856
         318     1.92915     1.99777  0.00299694
         319      1.9365     1.99758  0.00299369
         320     1.91888     1.99734  0.00299442
         321     1.89581     1.99702  0.00300175
         322     1.90151     1.99672  0.00300705
         323     1.90245     1.99643  0.00301187
         324     1.89207     1.99611  0.00301975
         325     1.91137     1.99585  0.00302169
         326     1.90339     1.99557   0.0030257
         327     1.94504     1.99541  0.00302039
         328     1.97322     1.99534  0.00301194
         329     2.01056     1.99539  0.00300314
         330     2.02827     1.99549  0.00299569
         331      2.0063     1.99552  0.00298682
         332     2.01433     1.99558  0.00297836
         333     2.02801     1.99568  0.00297101
         334      2.0404     1.99581  0.00296513
         335     2.06775     1.99602  0.00296405
         336     2.08802      1.9963  0.00296784
         337     2.08808     1.99657  0.00297151
         338     2.07336      1.9968  0.00297139
         339     2.06143     1.99699  0.00296873
         340     2.02047     1.99706   0.0029608
         341     1.99248     1.99704  0.00295215
         342     1.98952     1.99702   0.0029436
         343     1.96619     1.99693  0.00293639
         344      1.9503      1.9968  0.00293098
         345     1.93658     1.99662  0.00292768
         346     1.98088     1.99658  0.00291957
         347     2.01643     1.99663  0.00291172
         348     2.03178     1.99673   0.0029051
         349     2.04131     1.99686  0.00289958
         350     2.02696     1.99695  0.00289257
         351     2.03318     1.99705  0.00288618
         352     2.02322     1.99713  0.00287893
         353     2.01456     1.99718   0.0028712
         354     1.99962     1.99718   0.0028631
         355     1.98934     1.99716  0.00285512
         356     2.00668     1.99719  0.00284722
         357     2.03713      1.9973  0.00284145
         358     2.04264     1.99743  0.00283633
         359     2.00121     1.99744  0.00282845
         360     1.97765     1.99738  0.00282113
         361     1.95591     1.99727  0.00281565
         362     1.96977     1.99719   0.0028089
         363     1.99078     1.99717  0.00280122
         364     1.97927     1.99712  0.00279395
         365     1.99611     1.99712   0.0027863
         366     1.99776     1.99712  0.00277869
         367      1.9714     1.99705    0.002772
         368     1.94443     1.99691  0.00276815
         369      1.9309     1.99673  0.00276642
         370      1.9446     1.99659  0.00276253
         371     1.96673     1.99651  0.00275626
         372     1.98446     1.99648  0.00274904
         373     1.97869     1.99643  0.00274208
         374     1.96957     1.99636  0.00273569
         375     1.96915     1.99628  0.00272936
         376     2.02199     1.99635  0.00272295
         377     2.02028     1.99642  0.00271647
         378     2.02952      1.9965  0.00271069
         379     2.02001     1.99657  0.00270425
         380     2.00456     1.99659  0.00269722
         381     1.97795     1.99654  0.00269058
         382     1.99284     1.99653  0.00268356
         383     1.97539     1.99647  0.00267712
         384      1.9751     1.99642  0.00267072
         385     1.96924     1.99635  0.00266472
         386     1.99008     1.99633  0.00265786
         387     1.97307     1.99627  0.00265168
         388     1.98037     1.99623  0.00264516
         389     1.97197     1.99617  0.00263909
         390     1.97653     1.99612  0.00263281
         391     1.98673     1.99609  0.00262618
         392     1.98322     1.99606  0.00261969
         393     1.98227     1.99602  0.00261326
         394     1.98204     1.99599  0.00260687
         395     1.98199     1.99595  0.00260051
         396     1.99191     1.99594  0.00259396
         397     1.99281     1.99594  0.00258744
         398     2.01213     1.99598  0.00258126
         399     2.00831     1.99601  0.00257497
         400     1.98838     1.99599  0.00256861
         401     1.96497     1.99591  0.00256337
         402     1.97595     1.99586  0.00255747
         403     1.99452     1.99586  0.00255113
         404     2.00169     1.99587  0.00254485
         405      2.0052      1.9959  0.00253867
         406     1.98573     1.99587  0.00253254
         407      1.9647     1.99579  0.00252748
         408     1.93192     1.99564  0.00252613
         409     1.93696     1.99549  0.00252402
         410      1.9454     1.99537  0.00252082
         411     1.97023     1.99531  0.00251543
         412      1.9866     1.99529  0.00250941
         413     1.97481     1.99524  0.00250383
         414     1.96366     1.99516  0.00249894
         415     2.00475     1.99519  0.00249303
         416     2.04949     1.99532  0.00249045
         417     2.05319     1.99546  0.00248834
         418     2.01364      1.9955  0.00248277
         419     1.99246     1.99549  0.00247685
         420       1.955      1.9954  0.00247283
         421      1.9526     1.99529  0.00246905
         422     1.95055     1.99519  0.00246547
         423     1.92949     1.99503  0.00246453
         424      1.9191     1.99485  0.00246521
         425     1.91551     1.99467  0.00246647
         426     1.90566     1.99446  0.00246952
         427     1.93005     1.99431  0.00246834
         428     1.94228     1.99419  0.00246556
         429     1.93422     1.99405  0.00246377
         430     1.93308      1.9939  0.00246212
         431     1.96722     1.99384  0.00245718
         432     1.98508     1.99382  0.00245158
         433      1.9997     1.99384  0.00244595
         434     2.03331     1.99393  0.00244201
         435     2.03095     1.99401  0.00243788
         436     2.03603     1.99411  0.00243419
         437     2.05964     1.99426  0.00243324
         438     2.06602     1.99442  0.00243319
         439     2.07581     1.99461   0.0024347
         440      2.0566     1.99475  0.00243324
         441     2.07568     1.99493  0.00243463
         442     2.08619     1.99514  0.00243787
         443     2.06124     1.99529  0.00243692
         444     2.04685      1.9954   0.0024342
         445     2.06445     1.99556  0.00243367
         446     2.04707     1.99567  0.00243095
         447     2.02755     1.99575  0.00242656
         448     2.03508     1.99583  0.00242273
         449     2.08759     1.99604  0.00242594
         450     2.14628     1.99637  0.00244342
         451     2.12882     1.99666  0.00245558
         452     2.07718     1.99684   0.0024566
         453      2.0777     1.99702  0.00245766
         454     2.05555     1.99715  0.00245562
         455     2.03339     1.99723  0.00245152
         456     1.98307      1.9972  0.00244634
         457     1.97793     1.99716  0.00244135
         458     1.96551     1.99709    0.002437
         459     1.94385     1.99697  0.00243445
         460     1.93955     1.99685  0.00243235
         461      1.9643     1.99678   0.0024281
         462     1.97068     1.99672   0.0024235
         463     1.97941     1.99668  0.00241856
         464     1.98055     1.99665  0.00241359
         465     2.02633     1.99671  0.00240925
         466     2.03949      1.9968  0.00240582
         467     2.04789     1.99691  0.00240316
         468     2.02948     1.99698  0.00239903
         469      2.0306     1.99705  0.00239499
         470     2.04451     1.99715  0.00239202
         471     2.04994     1.99727  0.00238956
         472     2.01557     1.99731  0.00238481
         473     2.01739     1.99735  0.00238015
         474      2.0306     1.99742  0.00237616
         475     2.02462     1.99748  0.00237185
         476      2.0107      1.9975  0.00236703
         477     1.99605      1.9975  0.00236207
         478     1.99391     1.99749  0.00235714
         479     2.01286     1.99753  0.00235244
         480     2.03109     1.99759  0.00234858
         481     2.03391     1.99767  0.00234491
         482     2.03994     1.99776  0.00234168
         483     2.02465     1.99781  0.00233749
         484     2.01103     1.99784  0.00233282
         485     1.97713      1.9978  0.00232841
         486     1.97858     1.99776  0.00232395
         487     1.96686      1.9977  0.00232004
         488     1.94471     1.99759  0.00231783
         489     1.94966     1.99749  0.00231516
         490     2.00794     1.99751  0.00231053
         491     2.02194     1.99756  0.00230636
         492     1.99319     1.99755  0.00230169
         493     2.01544     1.99759  0.00229731
         494     2.00989     1.99761  0.00229279
         495     2.00814     1.99763  0.00228826
         496     1.97034     1.99758  0.00228431
         497     1.97172     1.99753  0.00228031
         498      1.9526     1.99744  0.00227751
         499      1.9449     1.99733  0.00227538
         500     1.95122     1.99724   0.0022727
