# VELOCITY:     ACTUAL_POFV:
         0.2  0.00787037
         0.6   0.0425926
           1   0.0671296
         1.4    0.101852
         1.8    0.346296
         2.2    0.601389
         2.6    0.757407
           3    0.467593
         3.4     0.10787
         3.8           0
         4.2           0
         4.6           0
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
