#   N_BLOCK:  ACCEPTANCE:
           1    0.238639
           2    0.238371
           3    0.238145
           4    0.238017
           5    0.237616
           6    0.237466
           7    0.237663
           8    0.238071
           9    0.238293
          10    0.238211
          11    0.238324
          12    0.238224
          13    0.238159
          14    0.238263
          15    0.238086
          16    0.237962
          17    0.238047
          18    0.238098
          19    0.238035
          20    0.238054
          21     0.23802
          22    0.237955
          23    0.238028
          24    0.238084
          25    0.237984
          26    0.237982
          27    0.237974
          28    0.237923
          29    0.238006
          30    0.237992
          31    0.237999
          32    0.237984
          33    0.237948
          34    0.237983
          35    0.238033
          36    0.238099
          37    0.238115
          38    0.238036
          39    0.238048
          40    0.238052
          41    0.238072
          42    0.238082
          43    0.238094
          44    0.238079
          45    0.238096
          46     0.23811
          47    0.238173
          48    0.238244
          49    0.238179
          50     0.23813
          51    0.238156
          52    0.238141
          53    0.238117
          54    0.238091
          55    0.238129
          56    0.238123
          57    0.238091
          58    0.238124
          59    0.238123
          60    0.238153
          61    0.238149
          62    0.238164
          63    0.238202
          64    0.238181
          65    0.238208
          66    0.238189
          67     0.23821
          68    0.238209
          69    0.238202
          70    0.238226
          71    0.238188
          72    0.238201
          73    0.238171
          74    0.238151
          75    0.238157
          76    0.238186
          77    0.238182
          78    0.238163
          79     0.23819
          80    0.238195
          81    0.238226
          82    0.238238
          83    0.238231
          84    0.238227
          85    0.238204
          86    0.238224
          87     0.23821
          88    0.238213
          89    0.238224
          90    0.238175
          91     0.23818
          92    0.238191
          93    0.238215
          94    0.238251
          95    0.238238
          96     0.23822
          97    0.238217
          98    0.238185
          99    0.238219
         100    0.238231
