#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168      1.3484      1.3522  0.00193784
         169     1.37721     1.35235  0.00193201
         170     1.39324     1.35259  0.00193557
         171     1.37648     1.35273  0.00192928
         172     1.37266     1.35285  0.00192154
         173     1.35826     1.35288  0.00191069
         174     1.34545     1.35283  0.00190019
         175     1.34705      1.3528  0.00188962
         176     1.33007     1.35267  0.00188329
         177     1.32378     1.35251  0.00187971
         178     1.30493     1.35224  0.00188806
         179     1.31419     1.35203  0.00188945
         180     1.32752     1.35189  0.00188385
         181     1.33912     1.35182  0.00187476
         182     1.31694     1.35163  0.00187423
         183     1.30978      1.3514  0.00187789
         184     1.32761     1.35127  0.00187213
         185     1.32314     1.35112  0.00186818
         186     1.30797     1.35089  0.00187248
         187      1.3225     1.35074  0.00186861
         188     1.32816     1.35062  0.00186253
         189     1.32346     1.35047  0.00185821
         190     1.31432     1.35028  0.00185814
         191     1.30342     1.35004  0.00186455
         192       1.307     1.34981  0.00186826
         193     1.31353     1.34963  0.00186801
         194     1.31859     1.34947  0.00186522
         195     1.29784      1.3492  0.00187435
         196     1.29413     1.34892  0.00188573
         197     1.30203     1.34868  0.00189111
         198     1.30114     1.34844  0.00189674
         199     1.32169     1.34831  0.00189197
         200     1.32627      1.3482  0.00188572
         201     1.32037     1.34806  0.00188141
         202     1.33331     1.34799  0.00187351
         203     1.32801     1.34789  0.00186686
         204      1.3113     1.34771  0.00186631
         205     1.31952     1.34757  0.00186226
         206     1.31156      1.3474  0.00186141
         207     1.28593      1.3471  0.00187595
         208     1.27408     1.34675  0.00189949
         209     1.26672     1.34636  0.00192861
         210     1.27425     1.34602  0.00194976
         211     1.28965     1.34575  0.00195873
         212     1.27169      1.3454  0.00198041
         213     1.26287     1.34502  0.00200866
         214      1.2609     1.34462  0.00203737
         215     1.28313     1.34434  0.00204786
         216     1.30623     1.34416  0.00204597
         217      1.3088       1.344  0.00204302
         218      1.2899     1.34375  0.00204866
         219     1.28914      1.3435  0.00205443
         220     1.28357     1.34323  0.00206307
         221     1.27727     1.34293  0.00207521
         222     1.26429     1.34258  0.00209588
         223     1.25246     1.34217  0.00212509
         224     1.24925     1.34176  0.00215571
         225     1.25751     1.34138   0.0021784
         226     1.27547     1.34109   0.0021882
         227     1.28742     1.34085   0.0021913
         228     1.29934     1.34067  0.00218924
         229     1.30625     1.34052  0.00218484
         230     1.30558     1.34037  0.00218061
         231     1.30004      1.3402  0.00217815
         232     1.28674     1.33997  0.00218091
         233     1.27489     1.33969  0.00218936
         234     1.27685     1.33942  0.00219641
         235     1.27833     1.33916  0.00220239
         236     1.26719     1.33885  0.00221407
         237     1.27511     1.33858    0.002221
         238     1.30756     1.33845  0.00221549
         239     1.31826     1.33837  0.00220783
         240     1.30666     1.33824  0.00220258
         241     1.30522      1.3381   0.0021977
         242     1.28542     1.33788  0.00219937
         243     1.30054     1.33773  0.00219568
         244     1.29984     1.33757  0.00219217
         245     1.30667     1.33745  0.00218685
         246     1.29117     1.33726  0.00218603
         247     1.31161     1.33716  0.00217965
         248     1.30831     1.33704  0.00217396
         249     1.27759      1.3368   0.0021783
         250     1.25723     1.33648  0.00219272
         251     1.26732     1.33621  0.00220123
         252     1.27772     1.33597  0.00220469
         253     1.26379     1.33569  0.00221436
         254     1.26848     1.33542   0.0022214
         255      1.2776      1.3352  0.00222423
         256     1.28052     1.33498  0.00222578
         257      1.3089     1.33488  0.00221943
         258     1.32918     1.33486  0.00221094
         259     1.33217     1.33485  0.00220242
         260     1.32287      1.3348  0.00219443
         261      1.3118     1.33472   0.0021878
         262     1.30401      1.3346  0.00218258
         263     1.31508     1.33452  0.00217555
         264     1.35028     1.33458  0.00216812
         265     1.36259     1.33469  0.00216252
         266      1.3656     1.33481  0.00215751
         267     1.36919     1.33493  0.00215327
         268     1.38089     1.33511  0.00215205
         269     1.39001     1.33531  0.00215371
         270     1.38576      1.3355  0.00215382
         271     1.35501     1.33557  0.00214708
         272     1.32657     1.33554  0.00213944
         273     1.34423     1.33557  0.00213184
         274     1.36262     1.33567  0.00212634
         275     1.36658     1.33578  0.00212158
         276     1.35751     1.33586  0.00211535
         277     1.33566     1.33586  0.00210772
         278     1.30207     1.33574  0.00210364
         279     1.28483     1.33555  0.00210399
         280     1.27549     1.33534  0.00210738
         281     1.28423     1.33516  0.00210772
         282     1.27051     1.33493  0.00211267
         283     1.27147      1.3347  0.00211708
         284     1.27211     1.33448  0.00212107
         285     1.28608     1.33431  0.00212041
         286     1.29678     1.33418  0.00211705
         287     1.29614     1.33405  0.00211382
         288     1.29083      1.3339   0.0021118
         289     1.28954     1.33375  0.00211007
         290     1.28881     1.33359  0.00210847
         291     1.27801      1.3334  0.00210986
         292     1.25483     1.33313  0.00211972
         293     1.27629     1.33294  0.00212135
         294     1.28748     1.33278  0.00211976
         295      1.2944     1.33265  0.00211656
         296     1.30024     1.33254  0.00211224
         297      1.2973     1.33242  0.00210846
         298     1.32448      1.3324  0.00210155
         299     1.33929     1.33242  0.00209465
         300     1.37185     1.33255  0.00209179
         301      1.3675     1.33267  0.00208806
         302     1.35703     1.33275   0.0020827
         303     1.33224     1.33275  0.00207583
         304     1.31332     1.33268  0.00206998
         305     1.30081     1.33258  0.00206583
         306     1.30884      1.3325  0.00206054
         307     1.30991     1.33243  0.00205514
         308     1.31203     1.33236  0.00204953
         309     1.30931     1.33229  0.00204426
         310     1.32043     1.33225  0.00203802
         311     1.33373     1.33225  0.00203147
         312     1.33466     1.33226  0.00202498
         313     1.32769     1.33225  0.00201856
         314     1.32833     1.33223  0.00201217
         315     1.32352     1.33221  0.00200597
         316       1.304     1.33212  0.00200161
         317     1.29327     1.33199  0.00199904
         318      1.2861     1.33185  0.00199796
         319       1.291     1.33172  0.00199579
         320     1.27925     1.33156  0.00199628
         321     1.26387     1.33135  0.00200117
         322     1.26768     1.33115   0.0020047
         323      1.2683     1.33095  0.00200791
         324     1.26138     1.33074  0.00201316
         325     1.27425     1.33057  0.00201446
         326     1.26893     1.33038  0.00201713
         327     1.29669     1.33027   0.0020136
         328     1.31548     1.33023  0.00200796
         329     1.34037     1.33026  0.00200209
         330     1.35218     1.33033  0.00199713
         331     1.33753     1.33035  0.00199121
         332     1.34288     1.33039  0.00198558
         333     1.35201     1.33045  0.00198067
         334     1.36027     1.33054  0.00197675
         335      1.3785     1.33068  0.00197603
         336     1.39201     1.33087  0.00197856
         337     1.39205     1.33105    0.001981
         338     1.38224      1.3312  0.00198092
         339     1.37429     1.33133  0.00197915
         340     1.34698     1.33137  0.00197387
         341     1.32832     1.33136   0.0019681
         342     1.32634     1.33135   0.0019624
         343      1.3108     1.33129  0.00195759
         344      1.3002      1.3312  0.00195399
         345     1.29105     1.33108  0.00195179
         346     1.32059     1.33105  0.00194638
         347     1.34429     1.33109  0.00194115
         348     1.35452     1.33116  0.00193674
         349     1.36087     1.33124  0.00193306
         350     1.35131      1.3313  0.00192838
         351     1.35546     1.33137  0.00192412
         352     1.34881     1.33142  0.00191929
         353     1.34304     1.33145  0.00191413
         354     1.33308     1.33145  0.00190873
         355     1.32623     1.33144  0.00190341
         356     1.33779     1.33146  0.00189815
         357     1.35809     1.33153   0.0018943
         358     1.36176     1.33162  0.00189089
         359     1.33414     1.33162  0.00188563
         360     1.31843     1.33159  0.00188075
         361     1.30394     1.33151   0.0018771
         362     1.31318     1.33146   0.0018726
         363     1.32719     1.33145  0.00186748
         364     1.31952     1.33142  0.00186263
         365     1.33074     1.33141  0.00185753
         366     1.33184     1.33141  0.00185246
         367     1.31427     1.33137    0.001848
         368     1.29629     1.33127  0.00184543
         369     1.28727     1.33115  0.00184428
         370      1.2964     1.33106  0.00184169
         371     1.31115     1.33101   0.0018375
         372     1.32297     1.33098  0.00183269
         373     1.31913     1.33095  0.00182805
         374     1.31305      1.3309  0.00182379
         375     1.31277     1.33086  0.00181957
         376     1.34799      1.3309   0.0018153
         377     1.34685     1.33094  0.00181098
         378     1.35301       1.331  0.00180713
         379     1.34667     1.33104  0.00180283
         380     1.33637     1.33106  0.00179814
         381     1.31863     1.33103  0.00179372
         382     1.32856     1.33102  0.00178904
         383     1.31693     1.33098  0.00178474
         384     1.31673     1.33094  0.00178048
         385     1.31283      1.3309  0.00177648
         386     1.32672     1.33089  0.00177191
         387     1.31538     1.33085  0.00176778
         388     1.32025     1.33082  0.00176344
         389     1.31465     1.33078   0.0017594
         390     1.31768     1.33074   0.0017552
         391     1.32449     1.33073  0.00175079
         392     1.32214     1.33071  0.00174646
         393     1.32151     1.33068  0.00174217
         394     1.32136     1.33066  0.00173791
         395     1.32133     1.33064  0.00173367
         396     1.32794     1.33063  0.00172931
         397     1.32854     1.33062  0.00172496
         398     1.34142     1.33065  0.00172084
         399     1.33887     1.33067  0.00171665
         400     1.32559     1.33066   0.0017124
         401     1.30998     1.33061  0.00170891
         402      1.3173     1.33057  0.00170498
         403     1.32968     1.33057  0.00170075
         404     1.33446     1.33058  0.00169657
         405      1.3368      1.3306  0.00169245
         406     1.32382     1.33058  0.00168836
         407      1.3098     1.33053  0.00168499
         408     1.28795     1.33042  0.00168409
         409     1.29131     1.33033  0.00168268
         410     1.29693     1.33025  0.00168055
         411     1.31349     1.33021  0.00167695
         412      1.3244     1.33019  0.00167294
         413     1.31654     1.33016  0.00166922
         414      1.3091     1.33011  0.00166596
         415      1.3365     1.33012  0.00166202
         416     1.36633     1.33021   0.0016603
         417     1.36879      1.3303  0.00165889
         418     1.34242     1.33033  0.00165518
         419      1.3283     1.33033  0.00165123
         420     1.30333     1.33026  0.00164855
         421     1.30173      1.3302  0.00164603
         422     1.30036     1.33013  0.00164365
         423     1.28633     1.33002  0.00164302
         424      1.2794      1.3299  0.00164348
         425       1.277     1.32978  0.00164432
         426     1.27044     1.32964  0.00164634
         427      1.2867     1.32954  0.00164556
         428     1.29486     1.32946  0.00164371
         429     1.28948     1.32936  0.00164251
         430     1.28872     1.32927  0.00164141
         431     1.31148     1.32923  0.00163812
         432     1.32339     1.32921  0.00163439
         433     1.33314     1.32922  0.00163064
         434     1.35554     1.32928  0.00162801
         435     1.35397     1.32934  0.00162525
         436     1.35735     1.32941  0.00162279
         437     1.37309     1.32951  0.00162216
         438     1.37735     1.32961  0.00162213
         439     1.38387     1.32974  0.00162313
         440     1.37107     1.32983  0.00162216
         441     1.38379     1.32995  0.00162309
         442      1.3908     1.33009  0.00162524
         443     1.37416     1.33019  0.00162462
         444     1.36457     1.33027   0.0016228
         445      1.3763     1.33037  0.00162245
         446     1.36471     1.33045  0.00162064
         447      1.3517      1.3305  0.00161771
         448     1.35672     1.33056  0.00161516
         449     1.39173     1.33069  0.00161729
         450     1.43085     1.33091  0.00162894
         451     1.41922     1.33111  0.00163706
         452     1.38479     1.33123  0.00163774
         453     1.38514     1.33135  0.00163844
         454     1.37037     1.33143  0.00163708
         455     1.35559     1.33149  0.00163435
         456     1.32205     1.33147  0.00163089
         457     1.31862     1.33144  0.00162757
         458     1.31034     1.33139  0.00162466
         459      1.2959     1.33131  0.00162296
         460     1.29303     1.33123  0.00162157
         461     1.30953     1.33118  0.00161873
         462     1.31379     1.33115  0.00161567
         463     1.31961     1.33112  0.00161237
         464     1.32037      1.3311  0.00160906
         465     1.35089     1.33114  0.00160616
         466     1.35966      1.3312  0.00160388
         467     1.36526     1.33128  0.00160211
         468     1.35299     1.33132  0.00159935
         469     1.35373     1.33137  0.00159666
         470     1.36301     1.33144  0.00159468
         471     1.36663     1.33151  0.00159304
         472     1.34371     1.33154  0.00158988
         473     1.34493     1.33157  0.00158677
         474     1.35373     1.33161  0.00158411
         475     1.34975     1.33165  0.00158123
         476     1.34047     1.33167  0.00157802
         477      1.3307     1.33167  0.00157471
         478     1.32927     1.33166  0.00157143
         479     1.34191     1.33168  0.00156829
         480     1.35406     1.33173  0.00156572
