#   N_BLOCK:  ACCEPTANCE:
           1    0.026834
           2   0.0264405
           3    0.027766
           4   0.0281705
           5   0.0275264
           6   0.0274347
           7   0.0280029
           8   0.0275043
           9   0.0271089
          10   0.0265202
          11   0.0260724
          12   0.0260183
          13   0.0261438
          14   0.0264161
          15   0.0260454
          16   0.0257511
          17   0.0253879
          18   0.0258353
          19   0.0257603
          20   0.0259403
          21   0.0258956
          22   0.0259233
          23   0.0259677
          24   0.0258093
          25   0.0260679
          26   0.0260474
          27   0.0260281
          28   0.0261156
          29   0.0261599
          30   0.0261785
          31   0.0263684
          32   0.0263322
          33   0.0263351
          34   0.0262257
          35   0.0261084
          36   0.0261561
          37   0.0261099
          38     0.02603
          39   0.0261424
          40   0.0261717
          41   0.0260683
          42   0.0261407
          43   0.0259836
          44   0.0259183
          45   0.0259931
          46   0.0260054
          47   0.0260148
          48   0.0258812
          49   0.0259657
          50   0.0259111
          51   0.0258311
          52   0.0257782
          53   0.0258058
          54   0.0257662
          55    0.025708
          56   0.0257289
          57   0.0257551
          58   0.0257364
          59   0.0258177
          60   0.0258258
          61   0.0257914
          62   0.0257695
          63   0.0257666
          64   0.0256715
          65   0.0256174
          66     0.02555
          67   0.0254828
          68   0.0254762
          69   0.0254312
          70   0.0254368
          71    0.025395
          72   0.0253209
          73   0.0254206
          74   0.0253827
          75   0.0254223
          76   0.0254464
          77   0.0254695
          78   0.0254272
          79   0.0254808
          80   0.0255083
          81   0.0254978
          82   0.0255234
          83   0.0254508
          84   0.0254175
          85   0.0254445
          86    0.025442
          87   0.0254268
          88   0.0254669
          89   0.0254209
          90   0.0254566
          91   0.0254766
          92   0.0254352
          93   0.0254377
          94    0.025501
          95    0.025492
          96   0.0255296
          97   0.0255505
          98   0.0255261
          99   0.0254856
         100   0.0255021
