#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.95237     2.15229   0.0202433
         169     1.95807     2.15114   0.0201562
         170     1.97616     2.15012   0.0200639
         171     1.99589     2.14921   0.0199668
         172     2.01607     2.14844   0.0198657
         173     2.05135     2.14788   0.0197588
         174     2.02689     2.14718   0.0196575
         175      1.9957     2.14632   0.0195642
         176     1.95331     2.14522   0.0194837
         177     1.94617      2.1441   0.0194061
         178     1.95061     2.14301   0.0193275
         179     1.95769     2.14197   0.0192472
         180     1.99507     2.14116   0.0191576
         181     1.98033     2.14027   0.0190723
         182     1.98654     2.13942   0.0189862
         183     2.00985     2.13872   0.0188957
         184     2.02167     2.13808   0.0188037
         185     2.03421     2.13752   0.0187104
         186     2.02062     2.13689   0.0186204
         187     2.00075     2.13616   0.0185351
         188     1.99376      2.1354   0.0184519
         189     1.99085     2.13464   0.0183702
         190     1.97665     2.13381   0.0182923
         191     1.94703     2.13283   0.0182226
         192     1.96093     2.13193   0.0181497
         193     1.97985     2.13115   0.0180728
         194     1.94051     2.13016   0.0180063
         195     1.94329     2.12921   0.0179394
         196     1.94557     2.12827   0.0178724
         197     1.96101     2.12742   0.0178018
         198     1.97571     2.12665   0.0177284
         199     2.04055     2.12622   0.0176446
         200     2.06034     2.12589   0.0175594
         201     2.03219     2.12543   0.0174782
         202     2.00442     2.12483    0.017402
         203     1.96486     2.12404   0.0173341
         204      1.9606     2.12324   0.0172676
         205     2.00844     2.12268   0.0171925
         206     2.01083     2.12213   0.0171176
         207      1.9999     2.12154   0.0170451
         208     1.96007     2.12077   0.0169808
         209     1.96669     2.12003   0.0169155
         210     1.95985     2.11927   0.0168522
         211     1.96873     2.11855   0.0167874
         212     1.98431     2.11792   0.0167201
         213     1.98019     2.11727   0.0166541
         214     2.02788     2.11686   0.0165816
         215     2.03294     2.11647    0.016509
         216     2.04291     2.11613   0.0164361
         217     2.03804     2.11577   0.0163643
         218     2.00238     2.11525   0.0162975
         219     2.00537     2.11474   0.0162308
         220     1.95683     2.11403   0.0161729
         221     1.93368     2.11321   0.0161203
         222     1.93147     2.11239   0.0160684
         223     1.94112     2.11162   0.0160147
         224     1.96142     2.11095   0.0159573
         225     1.97311     2.11034   0.0158981
         226     1.96768     2.10971   0.0158403
         227     1.97411     2.10911   0.0157818
         228     1.92203     2.10829   0.0157339
         229     1.90477      2.1074   0.0156902
         230     1.88814     2.10645    0.015651
         231     1.88466     2.10549   0.0156126
         232     1.89998      2.1046   0.0155704
         233     1.91413     2.10379   0.0155251
         234      1.9394     2.10308   0.0154746
         235     1.95351     2.10245   0.0154218
         236      1.9242     2.10169    0.015375
         237     1.91307      2.1009   0.0153307
         238     1.91024     2.10009   0.0152872
         239     1.93902     2.09942   0.0152381
         240     1.92601      2.0987   0.0151917
         241     1.92397     2.09797   0.0151459
         242     1.90964     2.09719   0.0151033
         243     1.91905     2.09646    0.015059
         244     1.91598     2.09572   0.0150154
         245     1.91899       2.095   0.0149714
         246     1.92486     2.09431   0.0149265
         247     1.95915     2.09376   0.0148761
         248     1.92968      2.0931   0.0148309
         249     1.92168     2.09241   0.0147873
         250     1.95081     2.09185    0.014739
         251     1.96129     2.09133   0.0146894
         252      1.9615     2.09081   0.0146402
         253     1.95771     2.09028   0.0145917
         254     1.94182      2.0897    0.014546
         255     1.91008       2.089    0.014506
         256     1.89406     2.08823   0.0144693
         257     1.89812     2.08749   0.0144319
         258     1.94537     2.08694   0.0143865
         259     1.99072     2.08657   0.0143357
         260     2.00154     2.08624   0.0142843
         261     1.98705     2.08586   0.0142346
         262     1.96213     2.08539   0.0141881
         263     1.95354     2.08489   0.0141431
         264     1.95631      2.0844   0.0140979
         265     1.95555     2.08392    0.014053
         266     1.95977     2.08345    0.014008
         267     1.96072     2.08299    0.013963
         268     1.96481     2.08255   0.0139179
         269     1.96757     2.08212   0.0138727
         270     1.95455     2.08165   0.0138294
         271     1.97356     2.08125   0.0137841
         272     1.97485     2.08086    0.013739
         273     1.99371     2.08054   0.0136924
         274     2.01345      2.0803   0.0136446
         275     1.99508     2.07999   0.0135985
         276     1.97282      2.0796   0.0135548
         277     2.01985     2.07938   0.0135075
         278     2.02962      2.0792   0.0134601
         279     2.01277     2.07896    0.013414
         280     1.99257     2.07866   0.0133696
         281     1.95838     2.07823   0.0133289
         282     1.93173     2.07771   0.0132918
         283     1.90787     2.07711   0.0132583
         284     1.92662     2.07658   0.0132222
         285     1.94431     2.07611    0.013184
         286     1.95415     2.07569   0.0131448
         287     1.95118     2.07525   0.0131061
         288     1.96154     2.07486   0.0130666
         289     1.95298     2.07444   0.0130282
         290     1.93745     2.07397   0.0129918
         291     1.94035     2.07351   0.0129553
         292     1.96452     2.07313   0.0129163
         293     1.97061     2.07278   0.0128769
         294     1.98603     2.07249   0.0128365
         295     1.95646     2.07209    0.012799
         296       1.943     2.07166   0.0127632
         297     1.95091     2.07125   0.0127267
         298     1.99302     2.07099   0.0126867
         299     2.01561      2.0708   0.0126456
         300     2.01084      2.0706   0.0126051
         301     2.01227     2.07041   0.0125647
         302     2.00528      2.0702   0.0125249
         303     2.03071     2.07006   0.0124843
         304     2.01931      2.0699   0.0124443
         305     2.02433     2.06975   0.0124044
         306     1.97654     2.06944   0.0123676
         307     1.95315     2.06906   0.0123331
         308     1.97458     2.06876   0.0122969
         309     1.96316     2.06842   0.0122619
         310     1.97058      2.0681   0.0122264
         311     2.00539      2.0679   0.0121887
         312     2.01286     2.06772   0.0121509
         313     2.00927     2.06754   0.0121135
         314     2.04118     2.06745   0.0120752
         315     2.00219     2.06724   0.0120387
         316     1.97524     2.06695   0.0120041
         317     1.96208     2.06662   0.0119708
         318     1.92969     2.06619   0.0119409
         319     1.93563     2.06578   0.0119105
         320     1.97001     2.06548    0.011877
         321     1.99085     2.06525   0.0118423
         322     2.01938     2.06511   0.0118064
         323      1.9855     2.06486   0.0117724
         324     1.96431     2.06455   0.0117401
         325     1.95123      2.0642   0.0117092
         326     1.94455     2.06384    0.011679
         327     1.93929     2.06346   0.0116495
         328     1.93972     2.06308   0.0116201
         329     1.94808     2.06273   0.0115901
         330     1.97398     2.06246   0.0115581
         331     1.97352     2.06219   0.0115263
         332     1.97592     2.06193   0.0114945
         333     1.96061     2.06163    0.011464
         334     1.97335     2.06136   0.0114327
         335     2.00931     2.06121   0.0113996
         336     2.03266     2.06112    0.011366
         337     2.03709     2.06105   0.0113325
         338     2.01732     2.06092   0.0112997
         339      2.0129     2.06078   0.0112673
         340     1.99578     2.06059   0.0112358
         341     2.01394     2.06045   0.0112036
         342     2.01378     2.06032   0.0111717
         343     2.03281     2.06024   0.0111394
         344     2.02665     2.06014   0.0111075
         345     2.02304     2.06003   0.0110758
         346     2.01588      2.0599   0.0110445
         347     2.02147     2.05979   0.0110133
         348     2.01103     2.05965   0.0109825
         349     2.03558     2.05958   0.0109512
         350     2.07969     2.05964   0.0109201
         351     2.11383     2.05979   0.0108901
         352     2.08896     2.05988   0.0108595
         353     2.06618      2.0599   0.0108287
         354     2.05245     2.05987   0.0107981
         355     2.06316     2.05988   0.0107677
         356      2.0423     2.05983   0.0107376
         357     2.03205     2.05976   0.0107078
         358     2.03195     2.05968   0.0106782
         359     2.04777     2.05965   0.0106485
         360     2.02583     2.05955   0.0106193
         361     2.02151     2.05945   0.0105904
         362     1.97945     2.05923   0.0105635
         363     1.96014     2.05895   0.0105379
         364     1.99242     2.05877   0.0105105
         365     1.98099     2.05856   0.0104839
         366     1.99309     2.05838   0.0104568
         367      2.0213     2.05828   0.0104288
         368     2.02142     2.05818   0.0104009
         369     2.01447     2.05806   0.0103734
         370     1.94786     2.05776   0.0103496
         371     1.94485     2.05746   0.0103262
         372     1.93843     2.05714   0.0103034
         373     1.94751     2.05684     0.01028
         374       1.954     2.05657   0.0102562
         375     1.93746     2.05625   0.0102337
         376     1.97314     2.05603   0.0102089
         377     1.98776     2.05585   0.0101834
         378      1.9878     2.05567   0.0101581
         379     1.97482     2.05545   0.0101335
         380     1.96427     2.05521   0.0101097
         381     1.95609     2.05495   0.0100865
         382     1.94979     2.05468   0.0100639
         383     1.95658     2.05442   0.0100408
         384     1.94643     2.05414   0.0100186
         385     1.93407     2.05383  0.00999747
         386     1.93387     2.05352   0.0099764
         387     1.97122     2.05331  0.00995289
         388     1.99426     2.05315   0.0099284
         389     2.01736     2.05306   0.0099033
         390     2.06834      2.0531  0.00987799
         391     2.04595     2.05308  0.00985274
         392     1.98317      2.0529  0.00982922
         393     1.98981     2.05274  0.00980552
         394      1.9896     2.05258  0.00978194
         395     2.02663     2.05252   0.0097574
         396     2.00999     2.05241  0.00973335
         397     1.99476     2.05226  0.00970991
         398     1.98079     2.05209  0.00968718
         399     1.95465     2.05184  0.00966598
         400     1.94887     2.05158  0.00964524
         401     1.94051     2.05131  0.00962516
         402      1.9439     2.05104  0.00960493
         403     1.95656     2.05081  0.00958395
         404     1.98074     2.05063   0.0095618
         405     1.97086     2.05043  0.00954022
         406     1.97044     2.05024  0.00951876
         407     1.99909     2.05011   0.0094962
         408     2.05253     2.05012  0.00947293
         409     2.06304     2.05015  0.00944982
         410     2.04904     2.05015  0.00942677
         411     2.04896     2.05014  0.00940383
         412     2.03271      2.0501   0.0093811
         413     2.02524     2.05004  0.00935858
         414     2.01645     2.04996  0.00933633
         415     2.00607     2.04985  0.00931443
         416     2.00467     2.04975  0.00929267
         417     2.00924     2.04965   0.0092709
         418     1.98964     2.04951  0.00924983
         419     2.02517     2.04945  0.00922793
         420     2.02839      2.0494   0.0092061
         421     2.04814     2.04939  0.00918423
         422     2.01385     2.04931  0.00916286
         423     2.03349     2.04927  0.00914127
         424     2.02328     2.04921  0.00911992
         425     2.01565     2.04913   0.0090988
         426     1.97598     2.04896  0.00907906
         427     1.96093     2.04875  0.00906014
         428     1.97943     2.04859  0.00904042
         429     2.00729      2.0485  0.00901986
         430     2.05191      2.0485  0.00899888
         431     2.06781     2.04855  0.00897812
         432     2.06854     2.04859  0.00895745
         433      2.0742     2.04865  0.00893696
         434     2.04079     2.04864  0.00891639
         435     2.01859     2.04857  0.00889616
         436     2.02636     2.04852   0.0088759
         437     2.03303     2.04848  0.00885566
         438     2.05001     2.04848  0.00883544
         439     2.12598     2.04866  0.00881708
         440     2.11649     2.04881  0.00879839
         441     2.13185       2.049  0.00878045
         442     2.06802     2.04905  0.00876069
         443      2.0445     2.04904  0.00874092
         444     2.00419     2.04893  0.00872182
         445     2.04225     2.04892  0.00870223
         446      2.0884     2.04901  0.00868317
         447     2.03958     2.04899  0.00866377
         448     2.00089     2.04888   0.0086451
         449      1.9719     2.04871  0.00862754
