#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         166     1.59672     1.59602 9.44477e-05
         167     1.59633     1.59602    9.39e-05
         168      1.5961     1.59602 9.33424e-05
         169     1.59654     1.59602 9.28407e-05
         170     1.59623     1.59602 9.23028e-05
         171     1.59639     1.59603 9.17878e-05
         172     1.59634     1.59603 9.12724e-05
         173     1.59646     1.59603 9.07783e-05
         174     1.59682     1.59604 9.03708e-05
         175     1.59721     1.59604 9.01028e-05
         176     1.59676     1.59605 8.96844e-05
         177     1.59658     1.59605 8.92288e-05
         178     1.59613     1.59605 8.87287e-05
         179     1.59631     1.59605 8.82452e-05
         180     1.59703     1.59606 8.79222e-05
         181     1.59613     1.59606 8.74372e-05
         182     1.59617     1.59606 8.69588e-05
         183     1.59624     1.59606 8.64896e-05
         184      1.5964     1.59606 8.60397e-05
         185     1.59644     1.59606 8.55994e-05
         186     1.59738     1.59607 8.54338e-05
         187     1.59615     1.59607 8.49781e-05
         188     1.59696     1.59607 8.46576e-05
         189     1.59647     1.59608 8.42351e-05
         190     1.59709     1.59608 8.39597e-05
         191     1.59649     1.59608 8.35473e-05
         192      1.5965     1.59609 8.31398e-05
         193     1.59677     1.59609 8.27833e-05
         194     1.59663     1.59609 8.24026e-05
         195     1.59655      1.5961 8.20129e-05
         196     1.59624      1.5961  8.1598e-05
         197     1.59673      1.5961  8.1247e-05
         198     1.59556      1.5961 8.08817e-05
         199      1.5964      1.5961 8.04892e-05
         200     1.59616      1.5961 8.00875e-05
         201     1.59659      1.5961 7.97263e-05
         202     1.59692      1.5961 7.94335e-05
         203     1.59685     1.59611 7.91265e-05
         204     1.59614     1.59611 7.87388e-05
         205     1.59648     1.59611 7.83755e-05
         206     1.59624     1.59611 7.79977e-05
         207       1.597     1.59612 7.77399e-05
         208     1.59647     1.59612 7.73847e-05
         209     1.59664     1.59612 7.70542e-05
         210     1.59624     1.59612 7.66895e-05
         211     1.59648     1.59612 7.63447e-05
         212     1.59605     1.59612 7.59854e-05
         213      1.5963     1.59612 7.56333e-05
         214     1.59605     1.59612 7.52806e-05
         215     1.59633     1.59612 7.49364e-05
         216     1.59662     1.59613 7.46251e-05
         217     1.59604     1.59612 7.42823e-05
         218     1.59691     1.59613 7.40292e-05
         219     1.59688     1.59613 7.37708e-05
         220     1.59673     1.59613 7.34862e-05
         221     1.59678     1.59614 7.32117e-05
         222      1.5966     1.59614 7.29115e-05
         223     1.59625     1.59614 7.25862e-05
         224     1.59681     1.59614 7.23231e-05
         225      1.5958     1.59614 7.20178e-05
         226     1.59748     1.59615 7.19426e-05
         227     1.59672     1.59615 7.16703e-05
         228     1.59666     1.59615 7.13903e-05
         229     1.59696     1.59616 7.11653e-05
         230     1.59631     1.59616 7.08591e-05
         231     1.59695     1.59616 7.06346e-05
         232     1.59631     1.59616 7.03332e-05
         233      1.5965     1.59616 7.00463e-05
         234     1.59619     1.59616  6.9747e-05
         235     1.59695     1.59617 6.95302e-05
         236     1.59709     1.59617  6.9345e-05
         237     1.59662     1.59617  6.9078e-05
         238     1.59626     1.59617 6.87887e-05
         239      1.5963     1.59617  6.8503e-05
         240     1.59668     1.59617 6.82502e-05
         241     1.59711     1.59618 6.80765e-05
         242     1.59597     1.59618 6.78005e-05
         243     1.59671     1.59618 6.75576e-05
         244     1.59688     1.59618  6.7341e-05
         245     1.59628     1.59618 6.70674e-05
         246     1.59632     1.59618  6.6797e-05
         247     1.59637     1.59618 6.65306e-05
         248     1.59707     1.59619 6.63592e-05
         249     1.59623     1.59619 6.60929e-05
         250     1.59639     1.59619 6.58333e-05
         251     1.59639     1.59619 6.55761e-05
         252     1.59696     1.59619 6.53864e-05
         253     1.59625     1.59619 6.51283e-05
         254     1.59654     1.59619 6.48864e-05
         255      1.5968      1.5962 6.46755e-05
         256     1.59664      1.5962 6.44457e-05
         257     1.59626      1.5962 6.41955e-05
         258     1.59592      1.5962 6.39558e-05
         259     1.59597      1.5962  6.3715e-05
         260     1.59656      1.5962 6.34856e-05
         261     1.59677      1.5962 6.32798e-05
         262     1.59637      1.5962 6.30417e-05
         263      1.5964      1.5962 6.28064e-05
         264     1.59652      1.5962 6.25802e-05
         265     1.59663      1.5962 6.23652e-05
         266      1.5964      1.5962 6.21351e-05
         267      1.5962      1.5962 6.19024e-05
         268     1.59669     1.59621 6.16982e-05
         269     1.59632     1.59621 6.14704e-05
         270     1.59663     1.59621 6.12625e-05
         271      1.5967     1.59621 6.10631e-05
         272     1.59593     1.59621 6.08476e-05
         273     1.59611     1.59621 6.06257e-05
         274     1.59652     1.59621  6.0415e-05
