# VELOCITY:     ACTUAL_POFV:
         0.2           0
         0.6           0
           1           0
         1.4           0
         1.8    0.162963
         2.2    0.562963
         2.6     1.19167
           3    0.573611
         3.4   0.0087963
         3.8           0
         4.2           0
         4.6           0
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
