# SA_step Temperature Energy Energy_error
176 0.413868 -0.344446 0.00152419
177 0.411799 -0.255294 0.00309586
178 0.40974 -0.255294 0.00309586
179 0.407691 -0.293946 0.00262064
180 0.405653 -0.293946 0.00262064
181 0.403625 -0.339895 0.00203871
182 0.401606 -0.0194463 0.00547401
183 0.399598 -0.0194463 0.00547401
184 0.3976 -0.158551 0.00230071
185 0.395612 0.21934 0.00518142
186 0.393634 0.207564 0.00513228
187 0.391666 0.207564 0.00513228
188 0.389708 -0.215442 0.00317016
189 0.387759 -0.219315 0.00189228
190 0.385821 -0.295994 0.00225234
191 0.383891 -0.378272 0.00140571
192 0.381972 -0.271876 0.00222696
193 0.380062 -0.271047 0.00200152
194 0.378162 -0.282517 0.00205721
195 0.376271 -0.391384 0.00187035
196 0.37439 -0.352817 0.00237553
197 0.372518 -0.352309 0.00238267
198 0.370655 -0.169493 0.00434981
199 0.368802 -0.384891 0.00139425
200 0.366958 -0.190036 0.00183495
201 0.365123 -0.190036 0.00183495
202 0.363297 -0.35665 0.00151338
203 0.361481 -0.35665 0.00151338
204 0.359674 -0.357026 0.00150275
205 0.357875 -0.35299 0.00157311
206 0.356086 -0.348352 0.00159274
207 0.354305 -0.408173 0.00148207
208 0.352534 -0.399309 0.00130637
209 0.350771 -0.385989 0.00113126
210 0.349017 -0.385989 0.00113126
211 0.347272 -0.385989 0.00113126
212 0.345536 -0.380763 0.00136154
213 0.343808 -0.422667 0.00110016
214 0.342089 -0.374212 0.0018297
215 0.340379 -0.301773 0.00131855
216 0.338677 -0.356139 0.00166816
217 0.336983 -0.356139 0.00166816
218 0.335298 -0.356139 0.00166816
219 0.333622 -0.258956 0.0033427
220 0.331954 -0.258956 0.0033427
221 0.330294 0.0835231 0.00440424
222 0.328643 0.0835231 0.00440424
223 0.326999 0.0835231 0.00440424
224 0.325364 0.085695 0.00440141
225 0.323738 -0.00873796 0.00329616
226 0.322119 -0.00873796 0.00329616
227 0.320508 0.0742818 0.00285598
228 0.318906 -0.189675 0.00181992
229 0.317311 -0.309308 0.00183261
230 0.315725 -0.394344 0.000923409
231 0.314146 -0.393585 0.00130093
232 0.312575 -0.327493 0.00205074
233 0.311012 -0.400129 0.0010893
234 0.309457 -0.387777 0.00111035
235 0.30791 -0.377461 0.00125375
236 0.306371 -0.4071 0.000892594
237 0.304839 -0.418624 0.000874959
238 0.303315 -0.427503 0.00123639
239 0.301798 -0.441323 0.00100249
240 0.300289 -0.403166 0.00115536
241 0.298788 -0.367554 0.0013351
242 0.297294 -0.406626 0.00117768
243 0.295807 -0.434057 0.00109893
244 0.294328 -0.427886 0.00157961
245 0.292856 -0.407642 0.00226571
246 0.291392 -0.429288 0.00157365
247 0.289935 -0.435386 0.00108709
248 0.288486 -0.383973 0.0019366
249 0.287043 -0.383973 0.0019366
250 0.285608 -0.312504 0.00370953
251 0.28418 -0.387289 0.00220854
252 0.282759 -0.347993 0.00197709
253 0.281345 -0.317953 0.00280927
254 0.279938 -0.324402 0.00225384
255 0.278539 -0.279502 0.00299616
256 0.277146 -0.313427 0.00225605
257 0.27576 -0.350018 0.00162633
258 0.274382 -0.371017 0.00130233
259 0.27301 -0.379438 0.00205019
260 0.271645 -0.380816 0.0013701
261 0.270286 -0.288458 0.00358605
262 0.268935 -0.380103 0.00176615
263 0.26759 -0.434933 0.00116059
264 0.266252 -0.436171 0.000981882
265 0.264921 -0.406711 0.00144435
266 0.263596 -0.40279 0.00145803
267 0.262278 -0.344805 0.00180214
268 0.260967 -0.34444 0.00159572
269 0.259662 -0.34444 0.00159572
270 0.258364 -0.370531 0.00112144
271 0.257072 -0.218816 0.0012047
272 0.255787 -0.189294 0.00217866
273 0.254508 -0.065034 0.00208347
274 0.253235 -0.178004 0.00254244
275 0.251969 0.0286647 0.00493648
276 0.250709 -0.202164 0.00270075
277 0.249456 -0.198751 0.00310165
278 0.248208 -0.198751 0.00310165
279 0.246967 -0.198751 0.00310165
280 0.245733 -0.198751 0.00310165
281 0.244504 -0.198751 0.00310165
282 0.243281 -0.0944265 0.00381023
283 0.242065 -0.214947 0.00342706
284 0.240855 -0.214947 0.00342706
285 0.23965 -0.298543 0.00396579
286 0.238452 -0.368558 0.00140393
287 0.23726 -0.368558 0.00140393
288 0.236074 -0.332639 0.0031451
289 0.234893 -0.358041 0.00266883
290 0.233719 -0.407592 0.00177511
291 0.23255 -0.380873 0.0015222
292 0.231387 -0.21502 0.00316753
293 0.23023 -0.181655 0.00217914
294 0.229079 -0.212758 0.00233749
295 0.227934 -0.202514 0.00166439
296 0.226794 -0.29506 0.0022117
297 0.22566 -0.271293 0.00138678
298 0.224532 -0.337781 0.00189763
299 0.223409 -0.26935 0.00291548
300 0.222292 -0.26935 0.00291548
301 0.221181 -0.164951 0.00275906
302 0.220075 -0.0447048 0.00308526
303 0.218974 -0.0447048 0.00308526
304 0.21788 -0.0447048 0.00308526
305 0.21679 -0.0447048 0.00308526
306 0.215706 -0.0447048 0.00308526
307 0.214628 -0.0447048 0.00308526
308 0.213555 -0.00693311 0.00232305
309 0.212487 -0.099598 0.00161016
310 0.211424 -0.139018 0.00195041
311 0.210367 -0.180537 0.0020789
312 0.209315 -0.11139 0.00225786
313 0.208269 -0.11139 0.00225786
314 0.207227 -0.11139 0.00225786
315 0.206191 -0.11139 0.00225786
316 0.20516 -0.000222241 0.00217373
317 0.204135 0.140532 0.003199
318 0.203114 0.0497211 0.00324754
319 0.202098 -0.0852684 0.00334319
320 0.201088 0.0941439 0.00488469
321 0.200082 0.0941439 0.00488469
322 0.199082 0.0941439 0.00488469
