=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     700
Total Generations:   3000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 161 | Best Fitness: 91.4634
Generation 162 | Best Fitness: 90.6124
Generation 163 | Best Fitness: 90.6124
Generation 164 | Best Fitness: 90.6124
Generation 165 | Best Fitness: 90.6124
Generation 166 | Best Fitness: 87.6083
Generation 167 | Best Fitness: 87.6083
Generation 168 | Best Fitness: 87.6083
Generation 169 | Best Fitness: 87.6083
Generation 170 | Best Fitness: 87.2216
Generation 171 | Best Fitness: 86.5479
Generation 172 | Best Fitness: 86.1613
Generation 173 | Best Fitness: 86.1613
Generation 174 | Best Fitness: 85.9544
Generation 175 | Best Fitness: 85.9544
Generation 176 | Best Fitness: 85.9544
Generation 177 | Best Fitness: 85.9544
Generation 178 | Best Fitness: 85.9544
Generation 179 | Best Fitness: 85.6116
Generation 180 | Best Fitness: 85.6116
Generation 181 | Best Fitness: 85.6116
Generation 182 | Best Fitness: 85.4967
Generation 183 | Best Fitness: 85.4967
Generation 184 | Best Fitness: 85.4967
Generation 185 | Best Fitness: 85.4967
Generation 186 | Best Fitness: 85.104
Generation 187 | Best Fitness: 84.964
Generation 188 | Best Fitness: 84.4564
Generation 189 | Best Fitness: 83.9316
Generation 190 | Best Fitness: 82.4654
Generation 191 | Best Fitness: 82.4654
Generation 192 | Best Fitness: 82.4654
Generation 193 | Best Fitness: 82.2469
Generation 194 | Best Fitness: 82.126
Generation 195 | Best Fitness: 81.6812
Generation 196 | Best Fitness: 81.5797
Generation 197 | Best Fitness: 81.1445
Generation 198 | Best Fitness: 80.8051
Generation 199 | Best Fitness: 80.2163
Generation 200 | Best Fitness: 79.8769
Generation 201 | Best Fitness: 79.8769
Generation 202 | Best Fitness: 79.802
Generation 203 | Best Fitness: 79.6911
Generation 204 | Best Fitness: 77.6123
Generation 205 | Best Fitness: 77.4725
Generation 206 | Best Fitness: 77.4725
Generation 207 | Best Fitness: 77.1174
Generation 208 | Best Fitness: 77.0734
Generation 209 | Best Fitness: 76.3489
Generation 210 | Best Fitness: 76.3489
Generation 211 | Best Fitness: 76.3489
Generation 212 | Best Fitness: 75.8228
Generation 213 | Best Fitness: 75.6151
Generation 214 | Best Fitness: 75.6151
Generation 215 | Best Fitness: 75.6151
Generation 216 | Best Fitness: 75.5647
Generation 217 | Best Fitness: 75.5589
Generation 218 | Best Fitness: 75.5589
Generation 219 | Best Fitness: 75.5084
Generation 220 | Best Fitness: 75.5084
Generation 221 | Best Fitness: 75.3966
Generation 222 | Best Fitness: 75.3966
Generation 223 | Best Fitness: 75.0177
Generation 224 | Best Fitness: 75.0177
Generation 225 | Best Fitness: 75.0177
Generation 226 | Best Fitness: 75.0177
Generation 227 | Best Fitness: 75.0177
Generation 228 | Best Fitness: 75.0177
Generation 229 | Best Fitness: 74.8938
Generation 230 | Best Fitness: 74.8938
Generation 231 | Best Fitness: 73.8254
Generation 232 | Best Fitness: 73.5349
Generation 233 | Best Fitness: 73.109
Generation 234 | Best Fitness: 72.8185
Generation 235 | Best Fitness: 72.8185
Generation 236 | Best Fitness: 72.8185
Generation 237 | Best Fitness: 72.8185
Generation 238 | Best Fitness: 72.8185
Generation 239 | Best Fitness: 72.8185
Generation 240 | Best Fitness: 72.8185
Generation 241 | Best Fitness: 71.7399
Generation 242 | Best Fitness: 71.7399
Generation 243 | Best Fitness: 71.3496
Generation 244 | Best Fitness: 71.1829
Generation 245 | Best Fitness: 70.7926
Generation 246 | Best Fitness: 70.7926
Generation 247 | Best Fitness: 70.7926
Generation 248 | Best Fitness: 70.7926
Generation 249 | Best Fitness: 70.7926
Generation 250 | Best Fitness: 70.7607
Generation 251 | Best Fitness: 70.7607
Generation 252 | Best Fitness: 70.5551
Generation 253 | Best Fitness: 70.5551
Generation 254 | Best Fitness: 70.5551
Generation 255 | Best Fitness: 70.5551
Generation 256 | Best Fitness: 70.537
Generation 257 | Best Fitness: 70.537
Generation 258 | Best Fitness: 70.537
Generation 259 | Best Fitness: 70.4715
Generation 260 | Best Fitness: 70.4534
Generation 261 | Best Fitness: 70.4534
Generation 262 | Best Fitness: 70.4191
Generation 263 | Best Fitness: 70.4191
Generation 264 | Best Fitness: 70.3545
Generation 265 | Best Fitness: 70.3021
Generation 266 | Best Fitness: 69.9618
Generation 267 | Best Fitness: 69.8448
Generation 268 | Best Fitness: 69.8448
Generation 269 | Best Fitness: 69.8448
Generation 270 | Best Fitness: 69.8448
Generation 271 | Best Fitness: 69.8448
Generation 272 | Best Fitness: 69.7149
Generation 273 | Best Fitness: 69.7149
Generation 274 | Best Fitness: 69.7149
Generation 275 | Best Fitness: 69.7149
Generation 276 | Best Fitness: 69.7045
Generation 277 | Best Fitness: 69.649
Generation 278 | Best Fitness: 69.649
Generation 279 | Best Fitness: 69.6385
Generation 280 | Best Fitness: 69.6385
Generation 281 | Best Fitness: 69.6385
Generation 282 | Best Fitness: 69.2583
Generation 283 | Best Fitness: 69.2583
Generation 284 | Best Fitness: 69.2583
Generation 285 | Best Fitness: 69.2583
Generation 286 | Best Fitness: 69.2583
Generation 287 | Best Fitness: 69.2583
Generation 288 | Best Fitness: 69.2583
Generation 289 | Best Fitness: 69.2583
Generation 290 | Best Fitness: 69.2262
Generation 291 | Best Fitness: 69.0716
Generation 292 | Best Fitness: 69.0243
Generation 293 | Best Fitness: 69.0243
Generation 294 | Best Fitness: 69.0243
Generation 295 | Best Fitness: 69.0243
Generation 296 | Best Fitness: 69.0243
Generation 297 | Best Fitness: 69.0243
Generation 298 | Best Fitness: 69.0243
Generation 299 | Best Fitness: 69.0243
Generation 300 | Best Fitness: 69.0243
Generation 301 | Best Fitness: 69.0243
Generation 302 | Best Fitness: 69.0243
Generation 303 | Best Fitness: 69.0243
Generation 304 | Best Fitness: 68.9069
Generation 305 | Best Fitness: 68.7132
Generation 306 | Best Fitness: 68.6528
Generation 307 | Best Fitness: 68.6528
Generation 308 | Best Fitness: 68.6423
Generation 309 | Best Fitness: 68.6423
Generation 310 | Best Fitness: 68.6423
Generation 311 | Best Fitness: 68.4573
Generation 312 | Best Fitness: 68.1431
Generation 313 | Best Fitness: 68.1431
Generation 314 | Best Fitness: 68.1431
Generation 315 | Best Fitness: 68.1431
Generation 316 | Best Fitness: 68.1431
Generation 317 | Best Fitness: 68.1431
Generation 318 | Best Fitness: 68.1431
Generation 319 | Best Fitness: 68.1431
Generation 320 | Best Fitness: 68.1431
Generation 321 | Best Fitness: 68.1431
Generation 322 | Best Fitness: 68.1431
Generation 323 | Best Fitness: 68.1431
Generation 324 | Best Fitness: 68.1431
Generation 325 | Best Fitness: 68.1431
Generation 326 | Best Fitness: 68.1431
Generation 327 | Best Fitness: 68.1431
Generation 328 | Best Fitness: 68.1431
Generation 329 | Best Fitness: 68.1431
Generation 330 | Best Fitness: 68.1431
Generation 331 | Best Fitness: 68.1431
Generation 332 | Best Fitness: 68.1431
Generation 333 | Best Fitness: 68.1431
Generation 334 | Best Fitness: 68.1431
Generation 335 | Best Fitness: 68.1431
Generation 336 | Best Fitness: 68.1431
Generation 337 | Best Fitness: 68.1431
Generation 338 | Best Fitness: 68.1431
Generation 339 | Best Fitness: 68.1431
