#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.65603     2.07495   0.0430539
         169     1.65721     2.07248   0.0428701
         170     1.65846     2.07004    0.042687
         171     1.65974     2.06764   0.0425048
         172     1.66106     2.06528   0.0423233
         173     1.66239     2.06295   0.0421427
         174     1.66371     2.06065   0.0419629
         175     1.66499     2.05839    0.041784
         176     1.66622     2.05616    0.041606
         177     1.66736     2.05397   0.0414288
         178     1.66838      2.0518   0.0412527
         179     1.66927     2.04966   0.0410775
         180     1.67001     2.04756   0.0409035
         181     1.67056     2.04547   0.0407305
         182     1.67092     2.04341   0.0405586
         183     1.67107     2.04138    0.040388
         184       1.671     2.03937   0.0402186
         185     1.67072     2.03737   0.0400506
         186     1.67021      2.0354   0.0398839
         187     1.66947     2.03344   0.0397186
         188     1.66853      2.0315   0.0395547
         189     1.66738     2.02958   0.0393923
         190     1.66603     2.02766   0.0392314
         191     1.66452     2.02576    0.039072
         192     1.66284     2.02387   0.0389142
         193     1.66103     2.02199    0.038758
         194      1.6591     2.02012   0.0386033
         195     1.65708     2.01826   0.0384502
         196       1.655     2.01641   0.0382987
         197     1.65287     2.01456   0.0381487
         198     1.65071     2.01272   0.0380003
         199     1.64855     2.01089   0.0378534
         200     1.64642     2.00907   0.0377079
         201     1.64433     2.00726    0.037564
         202      1.6423     2.00545   0.0374214
         203     1.64034     2.00365   0.0372803
         204     1.63848     2.00186   0.0371405
         205     1.63673     2.00008    0.037002
         206     1.63511     1.99831   0.0368648
         207     1.63362     1.99655   0.0367288
         208     1.63228     1.99479   0.0365939
         209     1.63111     1.99305   0.0364602
         210      1.6301     1.99133   0.0363275
         211     1.62927     1.98961   0.0361958
         212     1.62863     1.98791   0.0360651
         213     1.62819     1.98622   0.0359353
         214     1.62796     1.98454   0.0358064
         215     1.62795     1.98289   0.0356782
         216     1.62817     1.98124   0.0355508
         217     1.62863     1.97962   0.0354241
         218     1.62935     1.97801    0.035298
         219     1.63034     1.97642   0.0351725
         220     1.63161     1.97486   0.0350476
         221     1.63316     1.97331   0.0349231
         222     1.63502     1.97179    0.034799
         223     1.63718     1.97029   0.0346753
         224     1.63966     1.96881   0.0345519
         225     1.64245     1.96736   0.0344287
         226     1.64556     1.96594   0.0343058
         227     1.64899     1.96454   0.0341831
         228     1.65272     1.96317   0.0340605
         229     1.65674     1.96183   0.0339381
         230     1.66103     1.96053   0.0338157
         231     1.66558     1.95925   0.0336934
         232     1.67036       1.958   0.0335712
         233     1.67534     1.95679    0.033449
         234     1.68049     1.95561   0.0333269
         235     1.68578     1.95446   0.0332049
         236     1.69116     1.95335   0.0330829
         237     1.69659     1.95226    0.032961
         238     1.70204     1.95121   0.0328393
         239     1.70747     1.95019   0.0327177
         240     1.71284      1.9492   0.0325964
         241     1.71811     1.94824   0.0324752
         242     1.72325     1.94731   0.0323543
         243     1.72824     1.94641   0.0322337
         244     1.73304     1.94554   0.0321135
         245     1.73763     1.94469   0.0319936
         246     1.74198     1.94387   0.0318742
         247     1.74609     1.94306   0.0317552
         248     1.74994     1.94229   0.0316367
         249     1.75352     1.94153   0.0315187
         250     1.75683     1.94079   0.0314013
         251     1.75986     1.94007   0.0312845
         252     1.76261     1.93936   0.0311682
         253      1.7651     1.93868   0.0310527
         254     1.76732       1.938   0.0309377
         255     1.76929     1.93734   0.0308235
         256     1.77101     1.93669   0.0307099
         257     1.77249     1.93605   0.0305971
         258     1.77375     1.93542   0.0304849
         259      1.7748      1.9348   0.0303736
         260     1.77565     1.93419   0.0302629
         261     1.77632     1.93358    0.030153
         262     1.77682     1.93299   0.0300438
         263     1.77717     1.93239   0.0299354
         264     1.77736     1.93181   0.0298278
         265     1.77743     1.93122   0.0297209
         266     1.77738     1.93065   0.0296148
         267     1.77722     1.93007   0.0295095
         268     1.77696      1.9295   0.0294049
         269     1.77662     1.92893   0.0293011
         270      1.7762     1.92837    0.029198
         271      1.7757      1.9278   0.0290957
         272     1.77514     1.92724   0.0289942
         273     1.77453     1.92668   0.0288934
         274     1.77386     1.92612   0.0287933
         275     1.77314     1.92557    0.028694
         276     1.77238     1.92501   0.0285954
         277     1.77159     1.92446   0.0284975
         278     1.77075     1.92391   0.0284003
         279     1.76987     1.92335   0.0283039
         280     1.76895      1.9228   0.0282082
         281     1.76799     1.92225   0.0281132
         282     1.76699      1.9217   0.0280189
         283     1.76594     1.92115   0.0279253
         284     1.76484      1.9206   0.0278324
         285     1.76369     1.92005   0.0277402
         286     1.76249      1.9195   0.0276487
         287     1.76122     1.91895   0.0275578
         288     1.75988     1.91839   0.0274677
         289     1.75847     1.91784   0.0273782
         290     1.75699     1.91729   0.0272894
         291     1.75541     1.91673   0.0272013
         292     1.75375     1.91617   0.0271139
         293     1.75199     1.91561   0.0270271
         294     1.75012     1.91505    0.026941
         295     1.74815     1.91448   0.0268557
         296     1.74608     1.91391    0.026771
         297     1.74388     1.91334   0.0266869
         298     1.74157     1.91277   0.0266036
         299     1.73915     1.91218    0.026521
         300      1.7366      1.9116    0.026439
         301     1.73394     1.91101   0.0263578
         302     1.73116     1.91041   0.0262772
         303     1.72828     1.90981   0.0261974
         304     1.72528     1.90921   0.0261182
         305     1.72219     1.90859   0.0260398
         306     1.71901     1.90797   0.0259621
         307     1.71574     1.90735   0.0258851
         308     1.71241     1.90671   0.0258087
         309       1.709     1.90607   0.0257332
         310     1.70554     1.90543   0.0256583
         311     1.70203     1.90477   0.0255841
         312     1.69849     1.90411   0.0255106
         313     1.69492     1.90344   0.0254379
         314     1.69133     1.90277   0.0253659
         315     1.68772     1.90209   0.0252945
         316     1.68411      1.9014   0.0252239
         317     1.68049      1.9007   0.0251539
         318     1.67687     1.89999   0.0250847
         319     1.67326     1.89928   0.0250161
         320     1.66964     1.89857   0.0249482
         321     1.66602     1.89784    0.024881
         322      1.6624     1.89711   0.0248145
         323     1.65877     1.89637   0.0247486
         324     1.65514     1.89563   0.0246834
         325     1.65149     1.89488   0.0246189
