#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.45685    -5.92278    0.046058
         153    -5.45773    -5.91974   0.0458572
         154    -5.45873    -5.91674    0.045657
         155    -5.45924    -5.91379   0.0454578
         156    -5.45988    -5.91088   0.0452594
         157     -5.4602    -5.90801   0.0450621
         158    -5.46083    -5.90518   0.0448656
         159    -5.46178    -5.90239   0.0446701
         160    -5.46229    -5.89964   0.0444755
         161      -5.463    -5.89693   0.0442818
         162    -5.46481    -5.89426   0.0440888
         163    -5.46578    -5.89163   0.0438966
         164    -5.46666    -5.88904   0.0437053
         165    -5.46777    -5.88649    0.043515
         166    -5.46896    -5.88397   0.0433255
         167    -5.47053     -5.8815   0.0431367
         168    -5.47216    -5.87906   0.0429487
         169    -5.47325    -5.87666   0.0427616
         170    -5.47484     -5.8743   0.0425754
         171    -5.47541    -5.87196   0.0423902
         172    -5.47674    -5.86967    0.042206
         173    -5.47836    -5.86741   0.0420226
         174    -5.47919    -5.86517   0.0418403
         175    -5.48042    -5.86298   0.0416589
         176    -5.48141    -5.86081   0.0414786
         177    -5.48274    -5.85867   0.0412992
         178    -5.48378    -5.85657   0.0411209
         179    -5.48451    -5.85449   0.0409437
         180    -5.48476    -5.85243   0.0407677
         181    -5.48482     -5.8504    0.040593
         182    -5.48497    -5.84839   0.0404196
         183    -5.48476    -5.84641   0.0402475
         184    -5.48432    -5.84444   0.0400769
         185    -5.48351    -5.84249   0.0399077
         186    -5.48247    -5.84055   0.0397401
         187    -5.48137    -5.83863   0.0395739
         188    -5.47992    -5.83672   0.0394094
         189    -5.47873    -5.83483   0.0392464
         190    -5.47691    -5.83295    0.039085
         191    -5.47508    -5.83107   0.0389253
         192    -5.47311    -5.82921   0.0387672
         193    -5.47133    -5.82735   0.0386106
         194     -5.4684     -5.8255   0.0384559
         195    -5.46632    -5.82366   0.0383028
         196    -5.46373    -5.82182   0.0381513
         197    -5.46143       -5.82   0.0380015
         198    -5.45942    -5.81817   0.0378532
         199    -5.45789    -5.81636   0.0377063
         200    -5.45534    -5.81456   0.0375609
         201    -5.45361    -5.81276   0.0374169
         202    -5.45181    -5.81098   0.0372743
         203    -5.44994     -5.8092   0.0371331
         204    -5.44774    -5.80743   0.0369934
         205    -5.44597    -5.80566   0.0368549
         206    -5.44448    -5.80391   0.0367177
         207    -5.44299    -5.80217   0.0365817
         208    -5.44211    -5.80043   0.0364467
         209    -5.44065    -5.79871    0.036313
         210    -5.43952      -5.797   0.0361803
         211    -5.43858     -5.7953   0.0360487
         212    -5.43814    -5.79362    0.035918
         213    -5.43806    -5.79195   0.0357881
         214     -5.4382     -5.7903   0.0356591
         215    -5.43857    -5.78866   0.0355307
         216    -5.43858    -5.78704   0.0354032
         217     -5.4396    -5.78544   0.0352762
         218    -5.44028    -5.78386   0.0351499
         219     -5.4414    -5.78229   0.0350242
         220    -5.44265    -5.78075    0.034899
         221    -5.44436    -5.77923   0.0347742
         222    -5.44652    -5.77773   0.0346499
         223    -5.44884    -5.77625   0.0345259
         224    -5.45164     -5.7748   0.0344021
         225     -5.4549    -5.77338   0.0342786
         226    -5.45832    -5.77199   0.0341553
         227     -5.4625    -5.77062    0.034032
         228    -5.46607    -5.76929   0.0339089
         229    -5.47022    -5.76798    0.033786
         230    -5.47492    -5.76671   0.0336631
         231    -5.47895    -5.76546   0.0335405
         232    -5.48438    -5.76425   0.0334178
         233    -5.48954    -5.76307   0.0332951
         234    -5.49528    -5.76193   0.0331725
         235    -5.50096    -5.76082   0.0330499
         236     -5.5064    -5.75974   0.0329275
         237      -5.512    -5.75869   0.0328051
         238    -5.51743    -5.75768   0.0326829
         239     -5.5228     -5.7567    0.032561
         240    -5.52792    -5.75574   0.0324392
         241    -5.53337    -5.75482   0.0323178
         242    -5.53851    -5.75393   0.0321966
         243    -5.54361    -5.75306   0.0320757
         244    -5.54865    -5.75222   0.0319552
         245    -5.55316    -5.75141   0.0318351
         246    -5.55773    -5.75062   0.0317154
         247    -5.56127    -5.74986   0.0315963
         248      -5.565    -5.74911   0.0314777
         249    -5.56801    -5.74838   0.0313596
         250    -5.57058    -5.74767   0.0312423
         251    -5.57334    -5.74698   0.0311255
         252    -5.57628     -5.7463   0.0310094
         253    -5.57805    -5.74564   0.0308939
         254    -5.58016    -5.74499   0.0307792
         255    -5.58203    -5.74435   0.0306651
         256    -5.58351    -5.74372   0.0305518
         257    -5.58492     -5.7431   0.0304391
         258    -5.58642    -5.74249   0.0303272
         259    -5.58728    -5.74189    0.030216
         260    -5.58779     -5.7413   0.0301056
         261    -5.58814    -5.74071    0.029996
         262    -5.58833    -5.74013   0.0298871
         263    -5.58838    -5.73956   0.0297791
         264    -5.58814    -5.73898   0.0296718
         265    -5.58764    -5.73841   0.0295653
         266    -5.58763    -5.73784   0.0294596
         267    -5.58737    -5.73728   0.0293547
         268    -5.58718    -5.73672   0.0292505
         269     -5.5869    -5.73616    0.029147
         270    -5.58671    -5.73561   0.0290443
         271      -5.586    -5.73506   0.0289424
         272    -5.58508    -5.73451   0.0288413
         273    -5.58442    -5.73396   0.0287408
         274    -5.58385    -5.73341   0.0286412
         275    -5.58264    -5.73286   0.0285423
         276    -5.58138    -5.73231   0.0284441
         277    -5.58055    -5.73176   0.0283467
         278    -5.57921    -5.73121   0.0282501
         279     -5.5786    -5.73067   0.0281541
         280    -5.57794    -5.73012   0.0280588
         281    -5.57724    -5.72958   0.0279643
         282    -5.57635    -5.72904   0.0278704
         283     -5.5751    -5.72849   0.0277772
         284    -5.57349    -5.72795   0.0276848
         285    -5.57229     -5.7274    0.027593
         286    -5.57072    -5.72685    0.027502
         287    -5.56938     -5.7263   0.0274116
         288    -5.56812    -5.72575   0.0273219
         289    -5.56649     -5.7252    0.027233
         290    -5.56446    -5.72465   0.0271447
         291     -5.5631    -5.72409   0.0270571
         292    -5.56133    -5.72354   0.0269702
         293    -5.55978    -5.72298   0.0268839
         294    -5.55766    -5.72241   0.0267983
         295    -5.55528    -5.72185   0.0267135
         296    -5.55323    -5.72128   0.0266293
         297    -5.55077     -5.7207   0.0265458
         298    -5.54835    -5.72013   0.0264631
         299     -5.5458    -5.71954    0.026381
         300    -5.54269    -5.71895   0.0262996
         301    -5.53961    -5.71836    0.026219
         302    -5.53672    -5.71776   0.0261391
         303    -5.53358    -5.71715   0.0260599
         304    -5.53018    -5.71653   0.0259814
         305    -5.52685    -5.71591   0.0259037
         306    -5.52419    -5.71528   0.0258266
         307    -5.52055    -5.71465   0.0257503
         308    -5.51729    -5.71401   0.0256746
         309    -5.51368    -5.71336   0.0255997
         310    -5.50972     -5.7127   0.0255256
         311    -5.50572    -5.71204   0.0254522
         312     -5.5026    -5.71137   0.0253794
         313    -5.49901    -5.71069   0.0253074
         314    -5.49495       -5.71   0.0252361
         315    -5.49134    -5.70931   0.0251656
         316    -5.48772    -5.70861   0.0250957
         317     -5.4841     -5.7079   0.0250265
         318    -5.48049    -5.70718    0.024958
         319    -5.47687    -5.70646   0.0248902
         320    -5.47325    -5.70573   0.0248231
         321    -5.46963      -5.705   0.0247567
         322      -5.466    -5.70425   0.0246909
         323    -5.46176     -5.7035   0.0246259
         324    -5.45827    -5.70275   0.0245615
         325     -5.4546    -5.70198   0.0244978
         326    -5.45092    -5.70121   0.0244348
         327    -5.44737    -5.70044   0.0243724
         328    -5.44365    -5.69965   0.0243106
         329    -5.44051    -5.69887   0.0242495
         330     -5.4366    -5.69807    0.024189
         331    -5.43313    -5.69727   0.0241292
         332    -5.42905    -5.69646     0.02407
         333    -5.42556    -5.69565   0.0240115
         334    -5.42148    -5.69483   0.0239536
         335    -5.41773      -5.694   0.0238964
         336    -5.41356    -5.69317   0.0238399
         337     -5.4099    -5.69233   0.0237839
         338    -5.40601    -5.69148   0.0237287
         339    -5.40176    -5.69062    0.023674
         340    -5.39808    -5.68976     0.02362
         341    -5.39468     -5.6889   0.0235666
         342    -5.39175    -5.68803   0.0235137
         343    -5.38914    -5.68716   0.0234613
         344    -5.38643    -5.68628   0.0234094
         345    -5.38379    -5.68541    0.023358
         346    -5.38139    -5.68453    0.023307
         347    -5.37955    -5.68365   0.0232564
         348    -5.37752    -5.68277   0.0232062
         349    -5.37578    -5.68189   0.0231563
         350    -5.37464    -5.68101   0.0231068
         351    -5.37395    -5.68014   0.0230575
         352    -5.37326    -5.67927   0.0230085
         353    -5.37319     -5.6784   0.0229597
         354    -5.37358    -5.67754   0.0229109
         355    -5.37399    -5.67668   0.0228624
         356      -5.375    -5.67584   0.0228138
         357    -5.37571      -5.675   0.0227654
         358    -5.37733    -5.67416    0.022717
         359    -5.37877    -5.67334   0.0226686
         360    -5.38049    -5.67253   0.0226202
         361    -5.38246    -5.67172   0.0225719
