#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.475764   -0.435257   0.0029584
         153   -0.466512   -0.435461  0.00294611
         154   -0.398929   -0.435224  0.00293651
         155   -0.354792   -0.434705  0.00296306
         156   -0.362278   -0.434241  0.00298022
         157   -0.377222   -0.433877  0.00298328
         158   -0.372376   -0.433488  0.00298969
         159   -0.366029   -0.433064  0.00300084
         160   -0.363679    -0.43263  0.00301325
         161   -0.367626   -0.432226  0.00302146
         162   -0.403669    -0.43205  0.00300795
         163    -0.42175   -0.431987  0.00299016
         164   -0.422137   -0.431927  0.00297253
         165   -0.437543   -0.431961  0.00295471
         166    -0.45084   -0.432075   0.0029391
         167   -0.403815   -0.431905  0.00292637
         168   -0.427237   -0.431878  0.00290908
         169    -0.46976   -0.432102  0.00290049
         170   -0.493626   -0.432464  0.00290592
         171   -0.468019   -0.432672  0.00289636
         172   -0.462138   -0.432843  0.00288458
         173   -0.440816   -0.432889  0.00286827
         174   -0.421617   -0.432824  0.00285252
         175   -0.423824   -0.432773  0.00283668
         176   -0.398569   -0.432578  0.00282722
         177   -0.388884   -0.432332    0.002822
         178   -0.360602   -0.431929  0.00283477
         179   -0.374985   -0.431611  0.00283673
         180   -0.395171   -0.431408  0.00282818
         181   -0.411693   -0.431299  0.00281465
         182   -0.378507   -0.431009   0.0028141
         183   -0.368568   -0.430668  0.00281933
         184   -0.394966   -0.430474  0.00281067
         185   -0.387743   -0.430243  0.00280496
         186   -0.365408   -0.429894  0.00281145
         187   -0.387658   -0.429668  0.00280548
         188   -0.395531   -0.429487  0.00279642
         189   -0.388885   -0.429272  0.00278987
         190   -0.374951   -0.428986  0.00278979
         191   -0.358478   -0.428617   0.0027995
         192   -0.364041   -0.428281  0.00280505
         193   -0.373421   -0.427996  0.00280488
         194   -0.382102    -0.42776  0.00280038
         195   -0.350013   -0.427361  0.00281426
         196   -0.344822    -0.42694  0.00283124
         197   -0.356606   -0.426583  0.00283929
         198   -0.355558   -0.426224  0.00284752
         199   -0.385884   -0.426022  0.00284041
         200   -0.393307   -0.425858  0.00283092
         201   -0.384026    -0.42565  0.00282447
         202   -0.403093   -0.425538   0.0028127
         203   -0.395432    -0.42539  0.00280275
         204   -0.370813   -0.425122  0.00280175
         205   -0.382578   -0.424915  0.00279576
         206   -0.370225   -0.424649  0.00279476
         207   -0.332381   -0.424204  0.00281658
         208   -0.314413   -0.423676  0.00285207
         209   -0.303634   -0.423101  0.00289568
         210   -0.314991   -0.422587   0.0029273
         211   -0.337846   -0.422185  0.00294085
         212   -0.310711   -0.421659  0.00297361
         213     -0.2975   -0.421076  0.00301624
         214   -0.295164   -0.420488    0.003059
         215   -0.328242   -0.420059  0.00307471
         216   -0.363236   -0.419796  0.00307171
         217   -0.366406    -0.41955  0.00306739
         218   -0.338225   -0.419177  0.00307592
         219   -0.336873   -0.418801  0.00308475
         220   -0.328712   -0.418391  0.00309779
         221   -0.319358   -0.417943  0.00311601
         222   -0.299386   -0.417409  0.00314741
         223   -0.282102   -0.416802  0.00319125
         224   -0.277518   -0.416181  0.00323701
         225   -0.289684   -0.415618  0.00327108
         226    -0.31718   -0.415183  0.00328548
         227   -0.334434   -0.414827  0.00329021
         228   -0.352584   -0.414554  0.00328708
         229   -0.363141    -0.41433  0.00328039
         230   -0.361102   -0.414098  0.00327428
         231   -0.353677   -0.413837  0.00327053
         232   -0.333374    -0.41349  0.00327477
         233    -0.31578    -0.41307  0.00328746
         234   -0.318707   -0.412667  0.00329805
         235   -0.320717   -0.412276  0.00330715
         236   -0.304311   -0.411818  0.00332462
         237   -0.316415   -0.411416  0.00333488
         238   -0.365209   -0.411222  0.00332651
         239   -0.380821   -0.411095  0.00331502
         240   -0.362874   -0.410894   0.0033073
         241   -0.361305   -0.410688  0.00329997
         242   -0.331715   -0.410362  0.00330243
         243   -0.354539   -0.410132  0.00329682
         244   -0.353171   -0.409898  0.00329156
         245   -0.363333   -0.409708  0.00328361
         246   -0.340156   -0.409426  0.00328241
         247   -0.371109    -0.40927  0.00327278
         248   -0.365739   -0.409095  0.00326429
         249   -0.319219   -0.408734  0.00327108
         250   -0.289362   -0.408256  0.00329266
         251   -0.304526   -0.407843  0.00330537
         252   -0.320087   -0.407495  0.00331055
         253   -0.299145   -0.407067  0.00332505
         254   -0.306189    -0.40667  0.00333559
         255   -0.320193    -0.40633  0.00333971
         256   -0.324408    -0.40601  0.00334196
         257   -0.366976   -0.405859   0.0033324
         258   -0.397916   -0.405828  0.00331963
         259   -0.402023   -0.405813  0.00330685
         260   -0.387338   -0.405742  0.00329489
         261    -0.37127    -0.40561  0.00328491
         262   -0.359641   -0.405434  0.00327706
         263   -0.376627   -0.405325  0.00326643
         264   -0.429438   -0.405416  0.00325533
         265   -0.447466   -0.405575  0.00324691
         266   -0.452287   -0.405751  0.00323945
         267    -0.45773   -0.405945  0.00323316
         268   -0.474727   -0.406202  0.00323127
         269   -0.488899   -0.406509  0.00323385
         270   -0.481908   -0.406789  0.00323391
         271    -0.43565   -0.406895  0.00322373
         272   -0.393543   -0.406846  0.00321225
         273   -0.420221   -0.406895  0.00320085
         274   -0.447792   -0.407044  0.00319265
         275   -0.453221   -0.407212  0.00318545
         276   -0.439046   -0.407327    0.003176
         277   -0.407336   -0.407328  0.00316453
         278   -0.356021   -0.407143  0.00315853
         279    -0.33051   -0.406868  0.00315913
         280   -0.316663   -0.406546  0.00316423
         281   -0.329909   -0.406273   0.0031647
         282   -0.309229   -0.405929  0.00317213
         283   -0.310371   -0.405592  0.00317884
         284   -0.311675   -0.405261   0.0031848
         285   -0.332765   -0.405007  0.00318377
         286   -0.348686    -0.40481  0.00317872
         287     -0.3474    -0.40461  0.00317394
         288   -0.339939   -0.404385  0.00317085
         289   -0.337672   -0.404154  0.00316827
         290   -0.336935   -0.403922  0.00316581
         291   -0.320439   -0.403636   0.0031679
         292   -0.285952   -0.403233  0.00318259
         293   -0.318172   -0.402942  0.00318494
         294    -0.33424   -0.402709  0.00318267
         295   -0.345726   -0.402515  0.00317773
         296    -0.35395   -0.402351  0.00317123
         297   -0.350279   -0.402176   0.0031654
         298   -0.390534   -0.402137  0.00315502
         299   -0.412568   -0.402172  0.00314466
         300   -0.461462   -0.402369  0.00314038
         301   -0.454498   -0.402543  0.00313472
         302   -0.438717   -0.402662  0.00312663
         303   -0.401168   -0.402657  0.00311631
         304   -0.373521   -0.402562  0.00310753
         305   -0.354275   -0.402403  0.00310137
         306   -0.366545   -0.402286  0.00309345
         307    -0.36845   -0.402176  0.00308534
         308   -0.371338   -0.402076  0.00307695
         309   -0.367195   -0.401963  0.00306906
         310   -0.384596   -0.401907  0.00305967
         311   -0.404041   -0.401914  0.00304984
         312   -0.405021   -0.401924  0.00304008
         313   -0.395092   -0.401902  0.00303045
         314   -0.395943   -0.401883  0.00302085
         315   -0.388406    -0.40184  0.00301157
         316   -0.359313   -0.401706  0.00300504
         317   -0.343124   -0.401521  0.00300124
         318    -0.33278   -0.401305  0.00299958
         319   -0.339439   -0.401111  0.00299644
         320   -0.322574   -0.400865  0.00299711
         321   -0.298767   -0.400547   0.0030046
         322   -0.305407   -0.400252  0.00300976
         323   -0.305756   -0.399959  0.00301463
         324   -0.295605   -0.399637  0.00302248
         325   -0.314355   -0.399375  0.00302455
         326   -0.307464   -0.399093  0.00302838
         327   -0.348613   -0.398938  0.00302305
         328   -0.377118   -0.398872  0.00301457
         329   -0.414288   -0.398919  0.00300577
         330   -0.431793   -0.399018  0.00299831
         331   -0.409526    -0.39905  0.00298942
         332   -0.417501   -0.399106  0.00298093
         333   -0.432083   -0.399205  0.00297363
         334    -0.44406   -0.399339  0.00296775
         335   -0.471592   -0.399555  0.00296672
         336   -0.491551   -0.399828   0.0029705
         337    -0.49143     -0.4001   0.0029741
         338    -0.47694   -0.400328  0.00297397
         339   -0.464435   -0.400517  0.00297121
         340   -0.424029   -0.400586  0.00296327
         341   -0.395797   -0.400572  0.00295462
         342   -0.392841   -0.400549  0.00294606
         343   -0.369596   -0.400459  0.00293886
         344   -0.353488   -0.400322  0.00293348
         345   -0.340306   -0.400148  0.00293013
         346    -0.38487   -0.400104    0.002922
         347   -0.420251   -0.400162  0.00291415
         348   -0.435074   -0.400263  0.00290751
         349   -0.444787    -0.40039  0.00290197
         350   -0.430081   -0.400475  0.00289492
         351   -0.436708   -0.400578  0.00288851
         352   -0.426501   -0.400652  0.00288125
         353   -0.418177   -0.400702  0.00287351
         354   -0.402577   -0.400707   0.0028654
         355   -0.392715   -0.400684  0.00285742
         356   -0.410424   -0.400712  0.00284952
         357   -0.440439   -0.400823  0.00284371
         358   -0.446341    -0.40095  0.00283861
         359   -0.404105   -0.400959  0.00283072
         360   -0.380592   -0.400902  0.00282342
         361   -0.359487   -0.400788  0.00281793
         362   -0.373173   -0.400711  0.00281117
         363   -0.394152   -0.400693  0.00280349
         364   -0.382847   -0.400644  0.00279621
         365   -0.400011   -0.400643  0.00278855
         366   -0.401003   -0.400643  0.00278094
         367   -0.374542   -0.400572  0.00277427
         368    -0.34806    -0.40043   0.0027704
         369   -0.334113    -0.40025  0.00276871
         370   -0.348579    -0.40011  0.00276475
