#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.69278     1.69278           0
           2     1.69357     1.69317 0.000281758
           3     1.68282     1.68972  0.00282477
           4     1.69294     1.69053  0.00223013
           5     1.68312     1.68904  0.00222231
           6     1.69673     1.69033  0.00218988
           7     1.68453      1.6895   0.0020274
           8     1.68554       1.689  0.00183336
           9     1.68886     1.68899  0.00162972
          10     1.68889     1.68898  0.00146678
          11     1.68483      1.6886  0.00138105
          12     1.68106     1.68797  0.00140167
          13     1.68476     1.68772  0.00131546
          14     1.68945     1.68785  0.00122725
          15     1.68753     1.68783  0.00114562
          16     1.68124     1.68742  0.00114552
          17     1.68553      1.6873  0.00108352
          18     1.68526     1.68719  0.00102927
          19     1.68642     1.68715 0.000975892
          20     1.68491     1.68704 0.000933514
          21     1.68576     1.68698 0.000891037
          22     1.68621     1.68694 0.000851219
          23     1.68735     1.68696 0.000814393
          24      1.6874     1.68698 0.000780664
          25     1.68929     1.68707 0.000754916
          26     1.69179     1.68725 0.000747359
          27     1.68321      1.6871 0.000734507
          28     1.68023     1.68686 0.000748151
          29     1.69398      1.6871 0.000761555
          30      1.6916     1.68725 0.000750768
          31      1.6909     1.68737 0.000735714
          32     1.68609     1.68733 0.000713815
          33     1.68351     1.68721 0.000701525
          34     1.68604     1.68718 0.000681745
          35     1.68921     1.68724 0.000664724
          36     1.68882     1.68728 0.000647703
          37     1.68036     1.68709 0.000656688
          38     1.69341     1.68726 0.000660085
          39     1.68605     1.68723 0.000643885
          40      1.6865     1.68721 0.000628049
