#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271082    0.271082           0
           2    0.270729    0.270905 0.000124733
           3    0.270177    0.270663 0.000214843
           4    0.270031    0.270505 0.000211312
           5    0.270005    0.270405 0.000191216
           6    0.270261    0.270381 0.000160846
           7    0.270314    0.270371 0.000138155
           8    0.271108    0.270463  0.00014841
           9    0.270873    0.270509 0.000138726
          10    0.270265    0.270484 0.000126984
          11    0.270799    0.270513 0.000118622
          12    0.269425    0.270422 0.000139142
          13    0.270274    0.270411 0.000128904
          14     0.27031    0.270404 0.000119897
          15     0.27066    0.270421 0.000113118
          16    0.270839    0.270447 0.000109019
          17    0.269929    0.270417 0.000106779
          18    0.270183    0.270404 0.000101631
          19    0.269732    0.270368 0.000102249
          20    0.270304    0.270365 9.71864e-05
          21    0.270557    0.270374 9.29867e-05
          22    0.269817    0.270349 9.21459e-05
          23    0.270684    0.270363 8.92835e-05
          24     0.27101     0.27039 8.95321e-05
          25    0.270653    0.270401 8.65676e-05
          26     0.26971    0.270374 8.72217e-05
          27    0.270529     0.27038 8.41791e-05
          28    0.270395    0.270381 8.11745e-05
          29    0.270456    0.270383 7.84168e-05
          30    0.271085    0.270407 7.92176e-05
          31    0.270803    0.270419 7.76853e-05
          32    0.269458    0.270389 8.08533e-05
          33     0.27126    0.270416 8.25954e-05
          34    0.271424    0.270445  8.5322e-05
          35     0.27084    0.270457 8.36252e-05
          36    0.270141    0.270448 8.17615e-05
          37    0.270407    0.270447 7.95593e-05
          38    0.270585     0.27045 7.75493e-05
          39    0.270692    0.270457 7.58071e-05
          40    0.270595     0.27046 7.39907e-05
