#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.41785     4.41785           0
           2     4.41503     4.41644 0.000997068
           3     4.40474     4.41254  0.00325262
           4     4.41145     4.41227   0.0024509
           5     4.39237     4.40829  0.00406411
           6     4.42348     4.41082  0.00410021
           7     4.41217     4.41101    0.003519
           8     4.40777     4.41061  0.00310236
           9     4.38582     4.40785   0.0037877
          10     4.33464     4.40053  0.00773732
          11     4.38767     4.39936  0.00712172
          12     4.40982     4.40023  0.00658135
          13     4.40532     4.40063  0.00608669
          14     4.41041     4.40132  0.00569189
          15      4.4141     4.40218  0.00537574
          16     4.41576     4.40302  0.00510638
          17     4.39167     4.40236  0.00484948
          18      4.4292     4.40385  0.00480382
          19     4.39939     4.40361  0.00455671
          20     4.40608     4.40374  0.00433055
          21     4.41766      4.4044  0.00417476
          22      4.3992     4.40416  0.00399169
          23     4.40821     4.40434  0.00382202
          24     4.41717     4.40487      0.0037
          25     4.38212     4.40396  0.00366222
          26     4.41638     4.40444  0.00355238
          27     4.42674     4.40527  0.00351548
          28     4.41288     4.40554  0.00340043
          29      4.4166     4.40592  0.00330451
          30     4.41569     4.40625  0.00321035
          31     4.40187     4.40611  0.00310989
          32     4.39672     4.40581   0.0030265
          33     4.38813     4.40528  0.00298182
          34     4.42764     4.40593   0.0029658
          35     4.39382     4.40559  0.00290118
          36     4.43158     4.40631  0.00290907
          37     4.41661     4.40659  0.00284374
          38     4.40161     4.40646  0.00277193
          39     4.42641     4.40697  0.00274767
          40     4.39474     4.40666  0.00269592
