#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.345434    0.345434           0
           2    0.345123    0.345279 0.000109967
           3    0.345044    0.345201 9.71741e-05
           4    0.344778    0.345095 0.000116928
           5    0.344918     0.34506 9.87419e-05
           6    0.345006    0.345051 8.26921e-05
           7    0.344585    0.344984 9.39265e-05
           8    0.345343    0.345029 9.22577e-05
           9    0.344948     0.34502 8.24445e-05
          10    0.343807    0.344899 0.000136917
          11    0.343248    0.344749  0.00018964
          12    0.345147    0.344782 0.000176722
          13     0.34366    0.344695 0.000182983
          14    0.343822    0.344633 0.000180243
          15    0.344028    0.344593 0.000172679
          16    0.344981    0.344617 0.000163583
          17    0.343822     0.34457 0.000160512
          18    0.344661    0.344575 0.000151675
          19    0.343948    0.344542 0.000147244
          20    0.344411    0.344536 0.000140028
          21    0.344558    0.344537 0.000133365
          22    0.344214    0.344522 0.000128109
          23    0.344513    0.344522 0.000122539
          24    0.345221    0.344551 0.000120844
          25    0.343474    0.344508 0.000123445
          26    0.344567     0.34451 0.000118718
          27    0.344631    0.344514 0.000114406
          28     0.34509    0.344535 0.000112154
          29    0.345186    0.344557 0.000110507
          30    0.344272    0.344548 0.000107232
          31    0.344136    0.344535 0.000104593
          32    0.345214    0.344556 0.000103458
          33    0.344288    0.344548 0.000100641
          34    0.343019    0.344503 0.000107251
          35    0.344433    0.344501 0.000104205
          36    0.344614    0.344504 0.000101358
          37    0.343784    0.344485 0.000100472
          38    0.345071      0.3445 9.90067e-05
          39     0.34587    0.344535 0.000102509
          40     0.34556    0.344561   0.0001031
