#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.423454    0.423454           0
           2    0.423995    0.423724 0.000191294
           3    0.425781     0.42441 0.000574139
           4    0.420793    0.423506 0.000893661
           5    0.420027     0.42281 0.000947887
           6    0.423328    0.422896 0.000793823
           7     0.42854    0.423703  0.00101007
           8    0.424902    0.423853 0.000894881
           9    0.421505    0.423592 0.000832587
          10    0.423868    0.423619 0.000749785
          11    0.425218    0.423765 0.000695571
          12    0.423782    0.423766 0.000637608
          13    0.423256    0.423727  0.00058977
          14    0.421831    0.423591 0.000562978
          15    0.423634    0.423594 0.000525453
          16    0.422626    0.423534 0.000496086
          17    0.423005    0.423503 0.000467879
          18    0.423874    0.423523  0.00044234
          19     0.42586    0.423646 0.000435823
          20    0.426351    0.423781 0.000434509
          21    0.426658    0.423918 0.000434872
          22    0.424431    0.423942 0.000415729
          23    0.423741    0.423933 0.000397746
          24    0.423267    0.423905 0.000382141
          25    0.425255    0.423959 0.000370647
          26    0.422492    0.423903 0.000360661
          27    0.425525    0.423963 0.000352273
          28    0.423634    0.423951 0.000339888
          29    0.423653    0.423941 0.000328323
          30    0.423408    0.423923 0.000317859
          31     0.41961    0.423784 0.000336683
          32    0.426996    0.423884 0.000340793
          33    0.425588    0.423936 0.000334355
          34    0.424177    0.423943 0.000324596
          35    0.421665    0.423878 0.000321781
          36    0.424306     0.42389 0.000313063
          37    0.425026    0.423921 0.000306103
          38    0.426141    0.423979 0.000303575
          39    0.430581    0.424148 0.000339726
          40    0.423124    0.424123 0.000332196
