#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.59085     5.59085           0
           2     5.61325     5.60205   0.0079181
           3     5.61357     5.60589  0.00613934
           4      5.6249     5.61064  0.00617586
           5     5.56216     5.60095  0.00998046
           6     5.58776     5.59875  0.00855569
           7     5.64457     5.60529   0.0095139
           8     5.58411     5.60265  0.00868525
           9     5.60118     5.60248  0.00772176
          10     5.60754     5.60299  0.00696609
          11     5.62867     5.60532  0.00671274
          12     5.59847     5.60475  0.00617757
          13     5.62023     5.60594  0.00581602
          14     5.63413     5.60796  0.00573842
          15     5.59012     5.60677  0.00547772
          16     5.62143     5.60768   0.0052115
          17     5.57078     5.60551  0.00533792
          18     5.59917     5.60516  0.00505298
          19      5.5681     5.60321  0.00514979
          20     5.57218     5.60166  0.00512068
          21      5.6047      5.6018  0.00487888
          22     5.56299     5.60004  0.00496586
          23     5.57838      5.5991  0.00483844
          24      5.6165     5.59982  0.00469085
          25     5.57984     5.59902  0.00457083
          26     5.61619     5.59968  0.00444246
          27     5.58251     5.59905  0.00432324
          28     5.59523     5.59891  0.00417098
          29     5.60614     5.59916  0.00403459
          30     5.62126      5.5999  0.00396679
          31     5.60291     5.59999  0.00384002
          32      5.5938      5.5998   0.0037249
          33     5.59922     5.59978  0.00361207
          34      5.6175      5.6003  0.00354322
          35     5.58032     5.59973  0.00348768
          36     5.63352     5.60067  0.00351482
          37      5.6158     5.60108  0.00344353
          38     5.59572     5.60094  0.00335579
          39     5.61578     5.60132  0.00329126
          40     5.61475     5.60166  0.00322606
