#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.199177    0.199177           0
           2    0.201984    0.200581 0.000992439
           3    0.195677    0.198946  0.00148957
           4    0.202021    0.199715  0.00130053
           5    0.204985    0.200769  0.00140406
           6    0.202639    0.201081  0.00120415
           7    0.203473    0.201423  0.00107955
           8    0.196821    0.200847  0.00108711
           9    0.200365    0.200794 0.000967643
          10    0.203073    0.201022 0.000897333
          11    0.200389    0.200964 0.000817595
          12    0.204852    0.201288 0.000811108
          13    0.201739    0.201323 0.000749456
          14    0.201699     0.20135 0.000696406
          15    0.204908    0.201587 0.000689188
          16    0.201477     0.20158 0.000646148
          17    0.200542    0.201519 0.000611017
          18    0.207546    0.201854 0.000662482
          19    0.199226    0.201716 0.000641886
          20    0.200274    0.201643 0.000613827
          21    0.201968    0.201659 0.000584792
          22    0.205733    0.201844 0.000586796
          23    0.200943    0.201805 0.000562589
          24    0.201526    0.201793 0.000539268
          25    0.196804    0.201594 0.000553401
          26    0.197433    0.201434 0.000554776
          27    0.200188    0.201387 0.000536144
          28    0.202551    0.201429 0.000518603
          29    0.196959    0.201275 0.000523121
          30    0.199079    0.201202  0.00051078
          31    0.201558    0.201213 0.000494433
          32    0.198362    0.201124 0.000486941
          33    0.200701    0.201111 0.000472354
          34    0.201749     0.20113 0.000458834
          35    0.197435    0.201024 0.000457707
          36    0.203918    0.201105 0.000451997
          37    0.201919    0.201127 0.000440317
          38    0.201281    0.201131 0.000428748
          39    0.197626    0.201041  0.00042707
          40    0.198853    0.200986 0.000419883
