#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420432    0.420432           0
           2    0.422069    0.421251 0.000578658
           3    0.420862    0.421121 0.000400033
           4    0.418887    0.420563 0.000569141
           5    0.419605    0.420371 0.000486452
           6    0.418779    0.420106 0.000472255
           7    0.421345    0.420283 0.000436698
           8    0.421355    0.420417 0.000402149
           9    0.420444     0.42042 0.000357477
          10    0.419507    0.420328 0.000333178
          11    0.420208    0.420317 0.000303069
          12    0.418678    0.420181 0.000307073
          13    0.418276    0.420034  0.00031649
          14    0.421149    0.420114 0.000303729
          15    0.419244    0.420056 0.000288968
          16    0.420761      0.4201  0.00027425
          17    0.422196    0.420223 0.000284494
          18    0.421964     0.42032  0.00028465
          19    0.419399    0.420271 0.000273763
          20    0.419446     0.42023  0.00026317
          21    0.421143    0.420274 0.000254202
          22    0.420396    0.420279 0.000242708
          23    0.420855    0.420304 0.000233441
          24    0.420299    0.420304 0.000223715
          25    0.419724    0.420281 0.000215968
          26    0.418038    0.420195 0.000224235
          27    0.422074    0.420264 0.000226478
          28    0.419927    0.420252  0.00021871
          29    0.419413    0.420223 0.000213073
          30    0.421051    0.420251  0.00020775
          31    0.421023    0.420276 0.000202537
          32     0.42142    0.420311  0.00019934
          33    0.420173    0.420307 0.000193344
          34    0.419404    0.420281 0.000189472
          35    0.420443    0.420285 0.000184116
          36    0.418997     0.42025 0.000182448
          37    0.419574    0.420231 0.000178427
          38    0.419937    0.420224   0.0001739
          39    0.420262    0.420225 0.000169444
          40     0.42029    0.420226 0.000165216
