#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.96484     2.96484           0
           2     2.98363     2.97423  0.00664464
           3     2.96724      2.9719  0.00482137
           4     2.97199     2.97192  0.00361607
           5     2.98007     2.97355  0.00323954
           6     2.98699     2.97579  0.00338675
           7     2.97594     2.97581  0.00290299
           8      2.9886     2.97741  0.00294742
           9     2.99506     2.97937  0.00320656
          10      2.9964     2.98108  0.00330735
          11     2.97336     2.98037  0.00308018
          12     2.96927     2.97945   0.0029593
          13     2.98859     2.98015  0.00281394
          14     2.97302     2.97964  0.00265869
          15       2.972     2.97913  0.00252976
          16     2.97666     2.97898  0.00237636
          17     2.96539     2.97818  0.00236722
          18     2.96444     2.97742   0.0023556
          19     2.98275      2.9777  0.00224826
          20     2.97664     2.97764  0.00213647
          21     2.98556     2.97802  0.00206772
          22     2.97377     2.97783  0.00198275
          23     2.98991     2.97835  0.00196488
          24     2.97764     2.97832  0.00188324
          25     2.96735     2.97788  0.00185838
          26      2.9819     2.97804  0.00179332
          27     2.97633     2.97797  0.00172802
          28     2.98765     2.97832  0.00170047
          29     2.97964     2.97837  0.00164244
          30     2.99243     2.97883  0.00165323
          31     2.98849     2.97915  0.00162899
          32     2.97571     2.97904  0.00158162
          33      2.9705     2.97878  0.00155472
          34     2.99099     2.97914  0.00154994
          35     2.98997     2.97945  0.00153625
          36     2.98075     2.97948  0.00149401
          37     2.97688     2.97941  0.00145528
          38     2.98638      2.9796  0.00142848
          39      2.9824     2.97967  0.00139366
          40     2.97685      2.9796   0.0013606
