#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.110714    0.110714           0
           2    0.111369    0.111041 0.000231676
           3    0.109801    0.110628 0.000371169
           4    0.112151    0.111009 0.000431593
           5    0.112329    0.111273 0.000418369
           6    0.113365    0.111622 0.000472137
           7     0.11262    0.111764 0.000425699
           8    0.109687    0.111505  0.00044466
           9     0.11095    0.111443 0.000399497
          10    0.111598    0.111459 0.000359849
          11    0.110952    0.111413 0.000330074
          12    0.112164    0.111475 0.000308446
          13    0.112901    0.111585 0.000303604
          14    0.113388    0.111714 0.000308016
          15    0.112963    0.111797  0.00029854
          16    0.111138    0.111756 0.000282708
          17    0.112701    0.111811 0.000271488
          18     0.11664     0.11208 0.000365644
          19    0.108751    0.111904 0.000386099
          20     0.11188    0.111903 0.000366796
          21    0.107908    0.111713 0.000395602
          22    0.112192    0.111735 0.000378218
          23    0.110469     0.11168 0.000365752
          24    0.110571    0.111633 0.000353419
          25     0.11063    0.111593 0.000341555
          26    0.110488    0.111551 0.000331054
          27    0.111612    0.111553   0.0003188
          28    0.112226    0.111577 0.000308319
          29    0.110827    0.111551  0.00029877
          30    0.111921    0.111564 0.000289064
          31    0.111045    0.111547 0.000280223
          32    0.111131    0.111534 0.000271767
          33     0.11542    0.111652 0.000287914
          34    0.110237     0.11161 0.000282435
          35    0.108699    0.111527 0.000286351
          36    0.112128    0.111544 0.000278884
          37    0.114844    0.111633 0.000285259
          38    0.110352    0.111599 0.000279737
          39    0.111577    0.111598 0.000272565
          40    0.111397    0.111593 0.000265797
