#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.56971     3.56971           0
           2     3.57926     3.57449  0.00337871
           3     3.58263      3.5772  0.00316089
           4     3.58307     3.57867  0.00269003
           5     3.58662     3.58026  0.00257906
           6     3.57219     3.57891  0.00247515
           7     3.59795     3.58163  0.00329221
           8     3.57125     3.58034  0.00312625
           9     3.55415     3.57743  0.00390463
          10     3.58308     3.57799  0.00355491
          11     3.57653     3.57786   0.0032342
          12      3.5742     3.57755  0.00297903
          13     3.57295      3.5772  0.00277087
          14     3.57311     3.57691  0.00258834
          15     3.57555     3.57682  0.00241737
          16     3.58875     3.57756  0.00237855
          17     3.58041     3.57773  0.00224454
          18      3.5618     3.57685  0.00228778
          19     3.58339     3.57719  0.00219318
          20     3.58056     3.57736  0.00208999
          21     3.59822     3.57835  0.00221404
          22     3.56656     3.57782  0.00217735
          23     3.60898     3.57917  0.00246843
          24     3.61601     3.58071  0.00280255
          25     3.58962     3.58106  0.00271305
          26     3.58266     3.58112   0.0026094
          27     3.59139      3.5815  0.00254032
          28     3.58141      3.5815  0.00244959
          29     3.60615     3.58235  0.00250821
          30     3.58611     3.58248  0.00242773
          31     3.59466     3.58287    0.002381
          32     3.59782     3.58334  0.00235197
          33     3.57583     3.58311  0.00229166
          34     3.58957      3.5833  0.00223211
          35     3.57822     3.58315  0.00217305
          36     3.60024     3.58363  0.00216392
          37      3.5652     3.58313  0.00216202
          38      3.5933      3.5834  0.00212161
          39     3.58549     3.58345  0.00206788
          40     3.58783     3.58356  0.00201908
