#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.893907    0.893907           0
           2    0.890054    0.891981  0.00136207
           3     0.89195     0.89197 0.000908086
           4    0.892145    0.892014  0.00068211
           5    0.878038    0.889219  0.00255892
           6    0.896855    0.890491  0.00242835
           7    0.895146    0.891156  0.00217055
           8    0.880856    0.889869  0.00224892
           9    0.899879    0.890981  0.00225736
          10    0.884098    0.890293  0.00213398
          11    0.892188    0.890465  0.00194693
          12    0.876081    0.889266  0.00212183
          13    0.876623    0.888294  0.00217009
          14    0.888914    0.888338  0.00201554
          15     0.88272    0.887964  0.00191564
          16    0.888359    0.887988  0.00179608
          17    0.869293    0.886889  0.00199896
          18    0.898992    0.887561   0.0019978
          19    0.885753    0.887466  0.00189491
          20    0.896166    0.887901  0.00184943
          21    0.887169    0.887866  0.00176169
          22    0.892567     0.88808  0.00169452
          23    0.892076    0.888253  0.00162973
          24    0.888975    0.888284   0.0015621
          25    0.882625    0.888057  0.00151593
          26    0.887687    0.888043  0.00145769
          27    0.881587    0.887804  0.00142318
          28    0.890367    0.887895  0.00137529
          29    0.888445    0.887914    0.001328
          30    0.885277    0.887826  0.00128664
          31    0.904876    0.888376   0.0013576
          32    0.884802    0.888265  0.00131976
          33    0.881645    0.888064  0.00129492
          34     0.86371    0.887348   0.0014414
          35    0.882095    0.887198  0.00140801
          36     0.89772     0.88749   0.0013989
          37    0.879742    0.887281  0.00137668
          38    0.882829    0.887163  0.00134542
          39     0.89176    0.887281  0.00131608
          40    0.887606    0.887289   0.0012832
