#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.41663     7.41663           0
           2     7.40278     7.40971  0.00489646
           3     7.37277      7.3974   0.0105707
           4     7.40779     7.39999  0.00824144
           5     7.32113     7.38422   0.0155729
           6     7.39619     7.38622   0.0131044
           7     7.41566     7.39042   0.0118881
           8     7.40164     7.39182   0.0104845
           9     7.41604     7.39451  0.00965858
          10     7.44317     7.39938  0.00984206
          11     7.43595      7.4027  0.00949223
          12     7.39372     7.40195  0.00873067
          13     7.33389     7.39672  0.00950025
          14     7.41817     7.39825  0.00894435
          15     7.40874     7.39895  0.00837533
          16     7.37222     7.39728  0.00801678
          17     7.38159     7.39636  0.00759811
          18     7.43523     7.39852  0.00747655
          19     7.32984      7.3949  0.00790877
          20      7.4112     7.39572  0.00755519
          21     7.39096     7.39549  0.00719881
          22     7.37734     7.39466   0.0069187
          23     7.37353     7.39375   0.0066786
          24     7.36944     7.39273  0.00647669
          25     7.36213     7.39151  0.00633224
          26     7.37308      7.3908  0.00612824
          27     7.44723     7.39289  0.00624746
          28     7.36776     7.39199  0.00608848
          29     7.34845     7.39049  0.00606086
          30     7.42271     7.39157  0.00595323
          31     7.41786     7.39241  0.00582129
          32     7.39651     7.39254  0.00564078
          33     7.44709     7.39419  0.00570689
          34     7.33995      7.3926  0.00575769
          35     7.37602     7.39212  0.00561265
          36     7.43499     7.39332  0.00558162
          37     7.37354     7.39278  0.00545629
          38     7.35876     7.39189  0.00538566
          39     7.37576     7.39147  0.00526341
          40     7.40323     7.39177  0.00514003
