#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0515824   0.0515824           0
           2   0.0509326   0.0512575 0.000229725
           3   0.0518949     0.05147 0.000231408
           4   0.0500246   0.0511087 0.000357833
           5   0.0509793   0.0510828   0.0002872
           6    0.051176   0.0510983 0.000239753
           7   0.0508102   0.0510572 0.000209005
           8   0.0505741   0.0509968 0.000191402
           9    0.052689   0.0511848 0.000245708
          10    0.049159   0.0509822 0.000292977
          11   0.0506979   0.0509564 0.000267481
          12   0.0500183   0.0508782 0.000256359
          13    0.050838   0.0508751 0.000236658
          14   0.0517239   0.0509357 0.000227387
          15   0.0506638   0.0509176 0.000212949
          16   0.0505236    0.050893 0.000201059
          17   0.0499052   0.0508349 0.000197449
          18   0.0509676   0.0508423 0.000186617
          19   0.0505844   0.0508287 0.000177288
          20    0.050568   0.0508156 0.000168902
          21   0.0518212   0.0508635  0.00016751
          22   0.0493922   0.0507967 0.000172732
          23   0.0505751    0.050787  0.00016549
          24   0.0504401   0.0507726 0.000159225
          25   0.0507347    0.050771 0.000152863
          26   0.0504029   0.0507569 0.000147638
          27   0.0509453   0.0507639 0.000142335
          28   0.0482932   0.0506756 0.000162314
          29   0.0500382   0.0506536 0.000158198
          30   0.0496162   0.0506191  0.00015666
          31   0.0505606   0.0506172 0.000151617
          32   0.0500074   0.0505981 0.000148072
          33   0.0501283   0.0505839 0.000144268
          34   0.0514324   0.0506088 0.000142166
          35   0.0485906   0.0505512 0.000149342
          36   0.0509176   0.0505614  0.00014554
          37   0.0500448   0.0505474 0.000142274
          38   0.0499651   0.0505321 0.000139353
          39   0.0491662    0.050497 0.000140112
          40   0.0513812   0.0505192 0.000138342
