#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.397294    0.397294           0
           2    0.398376    0.397835 0.000382616
           3    0.397837    0.397836 0.000255078
           4    0.396204    0.397428 0.000401796
           5    0.397304    0.397403 0.000322199
           6    0.396899    0.397319 0.000279218
           7    0.398444     0.39748 0.000281819
           8    0.396321    0.397335  0.00028135
           9    0.398424    0.397456 0.000274866
          10    0.396523    0.397363 0.000262733
          11    0.397412    0.397367 0.000238886
          12    0.397879     0.39741 0.000222761
          13    0.396756     0.39736 0.000211224
          14    0.396688    0.397312 0.000201503
          15    0.397309    0.397311  0.00018807
          16    0.397803    0.397342 0.000178809
          17     0.39825    0.397396 0.000176088
          18    0.397608    0.397407 0.000166701
          19    0.396505     0.39736 0.000164554
          20    0.397098    0.397347 0.000156848
          21    0.397168    0.397338 0.000149609
          22    0.398345    0.397384 0.000149647
          23    0.397631    0.397395 0.000143525
          24    0.395651    0.397322 0.000154853
          25    0.397432    0.397327 0.000148722
          26    0.397699    0.397341 0.000143689
          27    0.396461    0.397308 0.000142011
          28    0.397409    0.397312 0.000136985
          29    0.396065    0.397269 0.000138848
          30    0.396697     0.39725 0.000135523
          31    0.397316    0.397252 0.000131168
          32    0.397183     0.39725 0.000127087
          33    0.395949     0.39721 0.000129205
          34    0.396902    0.397201 0.000125723
          35    0.396821     0.39719 0.000122599
          36    0.396169    0.397162 0.000122434
          37    0.397154    0.397162 0.000119125
          38    0.396801    0.397152 0.000116368
          39    0.398491    0.397187 0.000118336
          40    0.398699    0.397224 0.000121271
