#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804408   -0.804408           0
           2   -0.804941   -0.804675 0.000188402
           3   -0.804107   -0.804485 0.000199174
           4   -0.804763   -0.804555 0.000161044
           5   -0.804071   -0.804458 0.000155245
           6   -0.804443   -0.804456 0.000129392
           7   -0.804076   -0.804401 0.000121729
           8   -0.804342   -0.804394 0.000106738
           9   -0.804435   -0.804398 9.49769e-05
          10   -0.804157   -0.804374 8.84952e-05
          11   -0.804735   -0.804407 8.63165e-05
          12     -0.8049   -0.804448 8.83386e-05
          13   -0.804498   -0.804452 8.16267e-05
          14   -0.804447   -0.804452 7.57968e-05
          15   -0.804499   -0.804455 7.08087e-05
          16   -0.804495   -0.804457 6.64283e-05
          17   -0.804444   -0.804457 6.25253e-05
          18   -0.804524    -0.80446 5.91654e-05
          19   -0.804376   -0.804456  5.6219e-05
          20   -0.804208   -0.804443 5.47609e-05
          21   -0.804616   -0.804452 5.27658e-05
          22   -0.804264   -0.804443 5.10524e-05
          23   -0.804314   -0.804438 4.91384e-05
          24   -0.804218   -0.804428 4.79345e-05
          25   -0.804123   -0.804416 4.75474e-05
          26   -0.804955   -0.804437  5.0034e-05
          27   -0.804614   -0.804443 4.86064e-05
          28   -0.804307   -0.804439  4.7115e-05
          29   -0.804605   -0.804444 4.58375e-05
          30   -0.804325    -0.80444 4.44818e-05
          31   -0.804412   -0.804439 4.30566e-05
          32   -0.804141    -0.80443  4.2711e-05
          33   -0.804764    -0.80444 4.25961e-05
          34    -0.80462   -0.804446 4.16717e-05
          35    -0.80416   -0.804437 4.12726e-05
          36   -0.804732   -0.804446 4.09314e-05
          37    -0.80499    -0.80446   4.239e-05
          38   -0.804426   -0.804459 4.12839e-05
          39   -0.803702    -0.80444 4.45602e-05
          40   -0.804503   -0.804442 4.34739e-05
