#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462186   -0.462186           0
           2   -0.462188   -0.462187  5.6568e-07
           3   -0.462111   -0.462162 2.07316e-05
           4   -0.461933   -0.462104 5.18314e-05
           5   -0.461951   -0.462074 4.97269e-05
           6   -0.462269   -0.462106 5.10151e-05
           7   -0.462148   -0.462112 4.40709e-05
           8   -0.462046   -0.462104 3.93396e-05
           9   -0.462309   -0.462127 4.10165e-05
          10   -0.462469   -0.462161 4.91404e-05
          11   -0.462122   -0.462157  4.4802e-05
          12   -0.462387   -0.462176 4.49556e-05
          13    -0.46214   -0.462174 4.15841e-05
          14   -0.462042   -0.462164 3.96695e-05
          15   -0.462414   -0.462181 4.03704e-05
          16    -0.46212   -0.462177 3.80248e-05
          17   -0.461986   -0.462166 3.74115e-05
          18   -0.461883    -0.46215  3.8483e-05
          19   -0.462079   -0.462146 3.66381e-05
          20   -0.462238   -0.462151  3.5088e-05
          21    -0.46186   -0.462137 3.60511e-05
          22   -0.462195    -0.46214  3.4507e-05
          23   -0.462011   -0.462134 3.34597e-05
          24   -0.461999   -0.462129 3.25373e-05
          25   -0.462211   -0.462132 3.14028e-05
          26    -0.46235    -0.46214 3.12995e-05
          27   -0.462232   -0.462144 3.03227e-05
          28   -0.461948   -0.462137  3.0031e-05
          29   -0.462003   -0.462132 2.93491e-05
          30   -0.462261   -0.462136 2.86862e-05
          31   -0.462133   -0.462136 2.77611e-05
          32   -0.462381   -0.462144 2.79267e-05
          33   -0.462066   -0.462141 2.71801e-05
          34   -0.462344   -0.462147 2.70229e-05
          35    -0.46235   -0.462153 2.68635e-05
          36   -0.462102   -0.462152 2.61553e-05
          37   -0.461908   -0.462145  2.6262e-05
          38   -0.462051   -0.462143 2.56882e-05
          39   -0.462502   -0.462152 2.66274e-05
          40   -0.462166   -0.462152  2.5964e-05
