#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504659   -0.504659           0
           2   -0.504923   -0.504791 9.33381e-05
           3   -0.504652   -0.504745 7.28853e-05
           4   -0.504548   -0.504696 6.92656e-05
           5   -0.504464   -0.504649 6.91452e-05
           6   -0.504777   -0.504671 6.07841e-05
           7   -0.504657   -0.504669 5.21336e-05
           8    -0.50478   -0.504683 4.74337e-05
           9   -0.504886   -0.504705  4.7267e-05
          10   -0.504718   -0.504706 4.25563e-05
          11   -0.504732   -0.504709 3.87486e-05
          12   -0.504606     -0.5047 3.64498e-05
          13   -0.504888   -0.504715  3.6395e-05
          14    -0.50456   -0.504704 3.54379e-05
          15   -0.504522   -0.504691 3.50761e-05
          16   -0.504702   -0.504692 3.28898e-05
          17   -0.504736   -0.504695 3.10545e-05
          18   -0.504727   -0.504696 2.93826e-05
          19   -0.504676   -0.504695 2.78567e-05
          20   -0.504596    -0.50469 2.68992e-05
          21   -0.504739   -0.504693  2.5716e-05
          22   -0.504787   -0.504697 2.48994e-05
          23    -0.50468   -0.504696  2.3828e-05
          24   -0.504653   -0.504694 2.29044e-05
          25    -0.50492   -0.504703  2.3694e-05
          26   -0.505046   -0.504717 2.61818e-05
          27   -0.504775   -0.504719 2.53024e-05
          28   -0.504492   -0.504711 2.56641e-05
          29   -0.504502   -0.504703 2.57652e-05
          30   -0.504742   -0.504705 2.49379e-05
          31   -0.504591   -0.504701 2.44007e-05
          32   -0.505036   -0.504712  2.5782e-05
          33   -0.504672    -0.50471 2.50287e-05
          34     -0.5049   -0.504716 2.49058e-05
          35   -0.504695   -0.504715 2.42011e-05
          36   -0.504824   -0.504718 2.37166e-05
          37   -0.504738   -0.504719 2.30814e-05
          38   -0.504637   -0.504717 2.25741e-05
          39   -0.504796   -0.504719 2.20873e-05
          40   -0.504941   -0.504724 2.22215e-05
